Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-04;231,0;231,0;231,0;231,0;93;21483,0;
2008-01-09;231,0;231,0;231,0;231,0;2;462,0;0,0
2008-01-16;214,0;214,0;214,0;214,0;67;14338,0;-7,36
2008-01-25;230,0;230,0;230,0;230,0;42;9660,0;7,48
2008-01-28;230,0;230,0;230,0;230,0;5;1150,0;0,0
2008-01-29;230,0;230,0;230,0;230,0;10;2300,0;0,0
2008-02-15;215,0;215,0;215,0;215,0;20;4300,0;-6,52
2008-02-18;215,0;215,0;215,0;215,0;20;4300,0;0,0
2008-02-19;210,0;210,0;210,0;210,0;24;5040,0;-2,33
2008-02-20;210,0;210,0;210,0;210,0;30;6300,0;0,0
2008-02-26;225,0;225,0;225,0;225,0;39;8775,0;7,14
2008-02-29;225,0;225,0;225,0;225,0;10;2250,0;0,0
2008-03-03;225,0;225,0;225,0;225,0;26;5850,0;0,0
2008-03-04;225,0;225,0;225,0;225,0;40;9000,0;0,0
2008-03-10;210,0;210,0;210,0;210,0;60;12600,0;-6,67
2008-03-11;210,0;210,0;210,0;210,0;134;28140,0;0,0
2008-03-13;210,0;210,0;210,0;210,0;9;1890,0;0,0
2008-03-14;213,0;213,0;213,0;213,0;64;13632,0;1,43
2008-03-17;213,0;213,0;213,0;213,0;9;1917,0;0,0
2008-03-18;225,0;225,0;225,0;225,0;344;77400,0;5,63
2008-03-25;225,0;225,0;225,0;225,0;50;11250,0;0,0
2008-03-26;225,0;225,0;225,0;225,0;60;13500,0;0,0
2008-03-27;225,0;225,0;225,0;225,0;4;900,0;0,0
2008-03-28;230,0;230,0;230,0;230,0;20;4600,0;2,22
2008-03-31;230,0;230,0;230,0;230,0;10;2300,0;0,0
2008-04-02;230,0;230,0;230,0;230,0;10;2300,0;0,0
2008-04-03;230,0;230,0;230,0;230,0;20;4600,0;0,0
2008-04-04;215,0;215,0;215,0;215,0;99;21285,0;-6,52
2008-04-07;215,0;215,0;215,0;215,0;81;17415,0;0,0
2008-04-08;215,0;215,0;215,0;215,0;72;15480,0;0,0
2008-04-10;210,0;210,0;210,0;210,0;60;12600,0;-2,33
