Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2025-04-28;5600;5600;5600;5600;4977;27871200,0;
2025-04-29;5600;5610;5600;5610;5036;28226780,0;0,18
2025-04-30;5600;5600;5495;5495;897;4976108,0;-2,05
2025-05-01;5600;5600;5495;5495;897;4976108,0;0,0
2025-05-02;5300;5600;5300;5600;11767;64130150,0;1,91
2025-05-05;5500;5500;5350;5350;606;3287550,0;-4,46
2025-05-06;5500;5500;5390;5390;2640;14374800,0;0,75
2025-05-07;5205;5350;5205;5350;2069;10919148,0;-0,74
2025-05-08;5340;5340;5220;5220;12670;66897600,0;-2,43
2025-05-09;5320;5595;5320;5595;11998;65479085,0;7,18
2025-05-12;5400;5450;5400;5450;876;4752300,0;-2,59
2025-05-13;5400;5400;5400;5400;3164;17085600,0;-0,92
2025-05-14;5400;5400;5400;5400;3186;17204400,0;0,0
2025-05-15;5400;5400;5400;5400;364;1965600,0;0,0
2025-05-16;5310;5450;5310;5450;5256;28277280,0;0,93
2025-05-19;5400;5400;5395;5395;796;4296410,0;-1,01
2025-05-20;5375;5375;5340;5340;989;5298568,0;-1,02
2025-05-21;5330;5330;5330;5330;2541;13543530,0;-0,19
2025-05-22;5205;5225;5205;5225;3145;16401175,0;-1,97
2025-05-23;5205;5300;5205;5300;6088;31977220,0;1,44
2025-05-26;5245;5300;5245;5300;16339;86147378,0;0,0
2025-05-27;5225;5350;5225;5350;790;4177125,0;0,94
2025-05-28;5350;5355;5350;5355;1762;9431105,0;0,09
2025-05-29;5350;5355;5350;5355;1762;9431105,0;0,0
2025-05-30;5345;5350;5345;5350;1938;10363455,0;-0,09
2025-06-02;5350;5350;5350;5350;1289;6896150,0;0,0
2025-06-03;5350;5350;5350;5350;601;3215350,0;0,0
2025-06-04;5340;5340;5340;5340;1287;6872580,0;-0,19
2025-06-05;5300;5350;5300;5350;2156;11480700,0;0,19
2025-06-10;5300;5730;5300;5730;11541;63648615,0;7,1
2025-06-11;5410;5600;5410;5600;3273;18017865,0;-2,27
2025-06-12;5600;5600;5550;5550;446;2486450,0;-0,89
2025-06-13;5550;5595;5550;5595;1143;6369368,0;0,81
2025-06-16;5415;5600;5415;5600;433;2384748,0;0,09
2025-06-17;5650;5650;5500;5500;1854;10336050,0;-1,79
2025-06-18;5500;5500;5500;5500;1794;9867000,0;0,0
2025-06-19;5500;5595;5500;5595;3675;20387062,0;1,73
2025-06-20;5595;5600;5595;5600;2138;11967455,0;0,09
2025-06-23;5600;5600;5595;5595;1468;8217130,0;-0,09
2025-06-24;5595;5595;5500;5500;2198;12193405,0;-1,7
2025-06-25;5500;5500;5450;5450;663;3629925,0;-0,91
2025-06-26;5450;5500;5450;5500;2932;16052700,0;0,92
2025-06-27;5445;5445;5445;5445;5610;30546450,0;-1,0
2025-06-30;5040;5340;5040;5340;7468;38758920,0;-1,93
2025-07-01;5050;5295;5050;5295;5640;29172900,0;-0,84
2025-07-02;5290;5290;5285;5285;1838;9718425,0;-0,19
2025-07-03;5100;5250;5100;5250;571;2954925,0;-0,66
2025-07-04;5250;5250;5200;5200;4331;22629475,0;-0,95
2025-07-07;5150;5200;5150;5200;1392;7203600,0;0,0
2025-07-08;5200;5200;5150;5150;12302;63662850,0;-0,96
2025-07-09;5100;5250;5100;5250;7236;37446300,0;1,94
2025-07-10;5245;5245;5240;5240;962;5043285,0;-0,19
2025-07-11;5225;5350;5225;5350;6666;35246475,0;2,1
2025-07-14;5335;5335;5290;5290;390;2071875,0;-1,12
2025-07-15;5270;5270;5255;5255;244;1284050,0;-0,66
2025-07-16;5250;5255;5250;5255;980;5147450,0;0,0
2025-07-17;5245;5250;5245;5250;4477;23493058,0;-0,1
2025-07-18;5250;5265;5250;5265;596;3133470,0;0,29
2025-07-21;5285;5285;5270;5270;4727;24946742,0;0,09
2025-07-22;5255;5295;5255;5295;770;4061750,0;0,47
2025-07-23;5250;5495;5250;5495;2957;15886482,0;3,78
2025-07-24;5495;5495;5400;5400;152;828020,0;-1,73
2025-07-25;5495;5495;5300;5300;158;852805,0;-1,85
2025-07-28;5300;5300;5300;5300;1533;8124900,0;0,0
2025-07-29;5300;5360;5300;5360;714;3805620,0;1,13
2025-07-30;5350;5360;5350;5360;619;3314745,0;0,0
2025-07-31;5355;5355;5300;5300;764;4070210,0;-1,12
2025-08-01;5300;5300;5280;5280;102;539580,0;-0,38
2025-08-04;5280;5280;5250;5250;298;1568970,0;-0,57
2025-08-05;5250;5300;5250;5300;1368;7216200,0;0,95
2025-08-06;5300;5300;5250;5250;1097;5786675,0;-0,94
2025-08-07;5300;5300;5250;5250;1097;5786675,0;0,0
2025-08-08;4860;5250;4860;5250;6989;35329395,0;0,0
2025-08-11;5250;5250;5250;5250;4028;21147000,0;0,0
2025-08-12;5240;5245;5240;5245;253;1326352,0;-0,1
2025-08-13;5050;5200;5050;5200;1621;8307625,0;-0,86
2025-08-14;5150;5240;5150;5240;866;4498870,0;0,77
2025-08-15;5150;5240;5150;5240;866;4498870,0;0,0
2025-08-18;5240;5240;5230;5230;915;4790025,0;-0,19
2025-08-19;5230;5230;5230;5230;806;4215380,0;0,0
2025-08-20;5125;5200;5125;5200;918;4739175,0;-0,57
2025-08-21;5200;5200;5200;5200;892;4638400,0;0,0
2025-08-22;5200;5200;5200;5200;339;1762800,0;0,0
2025-08-25;5200;5200;5200;5200;1071;5569200,0;0,0
2025-08-26;5165;5180;5165;5180;1329;6874252,0;-0,38
2025-08-27;5175;5180;5175;5180;1783;9231482,0;0,0
2025-08-28;5175;5180;5175;5180;462;2392005,0;0,0
2025-08-29;5150;5215;5150;5215;1854;9608355,0;0,68
2025-09-01;5195;5215;5195;5215;1182;6152310,0;0,0
2025-09-02;5200;5305;5200;5305;3338;17532845,0;1,73
