Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2011-01-03;714,0;714,0;714,0;714,0;570;406980,0;
2011-01-04;750,0;750,0;750,0;750,0;1932;1449000,0;5,04
2011-01-05;750,0;750,0;750,0;750,0;4876;3657000,0;0,0
2011-01-06;737,5;737,5;737,5;737,5;1616;1191800,0;-1,67
2011-01-07;745,0;745,0;745,0;745,0;1346;1002770,0;1,02
2011-01-10;747,5;747,5;747,5;747,5;16;11960,0;0,34
2011-01-11;745,0;745,0;745,0;745,0;1150;856750,0;-0,33
2011-01-12;750,0;750,0;750,0;750,0;200;150000,0;0,67
2011-01-13;750,0;750,0;750,0;750,0;754;565500,0;0,0
2011-01-14;775,0;775,0;775,0;775,0;454;351850,0;3,33
2011-01-17;775,0;775,0;775,0;775,0;158;122450,0;0,0
2011-01-18;775,0;775,0;775,0;775,0;110;85250,0;0,0
2011-01-19;777,5;777,5;777,5;777,5;52;40430,0;0,32
2011-01-20;777,5;777,5;777,5;777,5;38;29545,0;0,0
2011-01-24;779,0;779,0;779,0;779,0;628;489212,0;0,19
2011-01-25;775,0;775,0;775,0;775,0;688;533200,0;-0,51
2011-01-26;775,5;775,5;775,5;775,5;158;122529,0;0,06
2011-01-28;775,5;775,5;775,5;775,5;6;4653,0;0,0
2011-01-31;775,0;775,0;775,0;775,0;928;719200,0;-0,06
2011-02-02;775,5;775,5;775,5;775,5;42;32571,0;0,06
2011-02-03;777,5;777,5;777,5;777,5;154;119735,0;0,26
2011-02-04;775,5;775,5;775,5;775,5;90;69795,0;-0,26
2011-02-07;775,0;775,0;775,0;775,0;582;451050,0;-0,06
2011-02-08;775,0;775,0;775,0;775,0;454;351850,0;0,0
2011-02-10;780,0;780,0;780,0;780,0;228;177840,0;0,65
2011-02-11;780,0;780,0;780,0;780,0;52;40560,0;0,0
2011-03-02;788,0;788,0;788,0;788,0;6;4728,0;1,03
2011-03-07;875,0;875,0;875,0;875,0;606;530250,0;11,04
2011-03-08;875,0;875,0;875,0;875,0;2;1750,0;0,0
2011-03-10;850,0;850,0;850,0;850,0;216;183600,0;-2,86
2011-03-11;850,0;850,0;850,0;850,0;8;6800,0;0,0
2011-03-14;800,0;800,0;800,0;800,0;250;200000,0;-5,88
2011-03-15;800,0;800,0;800,0;800,0;242;193600,0;0,0
2011-03-21;800,0;800,0;800,0;800,0;22;17600,0;0,0
2011-03-23;800,0;800,0;800,0;800,0;96;76800,0;0,0
2011-03-24;800,0;800,0;800,0;800,0;10;8000,0;0,0
2011-03-29;800,0;800,0;800,0;800,0;2;1600,0;0,0
2011-04-01;800,0;800,0;800,0;800,0;866;692800,0;0,0
2011-04-06;800,0;800,0;800,0;800,0;6;4800,0;0,0
2011-04-11;800,5;800,5;800,5;800,5;874;699637,0;0,06
2011-04-13;802,5;802,5;802,5;802,5;16;12840,0;0,25
2011-04-15;812,5;812,5;812,5;812,5;30;24375,0;1,25
2011-04-28;801,5;801,5;801,5;801,5;1176;942564,0;-1,35
2011-04-29;801,5;801,5;801,5;801,5;154;123431,0;0,0
2011-05-03;800,0;800,0;800,0;800,0;590;472000,0;-0,19
2011-05-05;800,0;800,0;800,0;800,0;20;16000,0;0,0
