Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-16;925,0;925,0;925,0;925,0;120;111000,0;
2008-01-18;937,5;937,5;937,5;937,5;32;30000,0;1,35
2008-01-24;937,5;937,5;937,5;937,5;6;5625,0;0,0
2008-01-30;925,0;925,0;925,0;925,0;38;35150,0;-1,33
2008-01-31;937,5;937,5;937,5;937,5;20;18750,0;1,35
2008-02-01;937,5;937,5;937,5;937,5;10;9375,0;0,0
2008-02-05;937,5;937,5;937,5;937,5;6;5625,0;0,0
2008-02-14;937,5;937,5;937,5;937,5;38;35625,0;0,0
2008-02-18;937,5;937,5;937,5;937,5;20;18750,0;0,0
2008-02-21;925,0;925,0;925,0;925,0;20;18500,0;-1,33
2008-02-22;925,0;925,0;925,0;925,0;154;142450,0;0,0
2008-02-25;925,0;925,0;925,0;925,0;38;35150,0;0,0
2008-02-26;925,0;925,0;925,0;925,0;8;7400,0;0,0
2008-02-29;925,0;925,0;925,0;925,0;614;567950,0;0,0
2008-03-03;937,5;937,5;937,5;937,5;5976;5602500,0;1,35
2008-03-04;937,5;937,5;937,5;937,5;52;48750,0;0,0
2008-03-05;937,5;937,5;937,5;937,5;166;155625,0;0,0
2008-03-06;937,5;937,5;937,5;937,5;86;80625,0;0,0
2008-03-07;937,5;937,5;937,5;937,5;10;9375,0;0,0
2008-03-10;937,5;937,5;937,5;937,5;200;187500,0;0,0
2008-03-11;937,5;937,5;937,5;937,5;6;5625,0;0,0
2008-03-19;937,5;937,5;937,5;937,5;208;195000,0;0,0
2008-03-21;937,5;937,5;937,5;937,5;56;52500,0;0,0
2008-03-25;937,5;937,5;937,5;937,5;500;468750,0;0,0
2008-03-26;942,5;942,5;942,5;942,5;66;62205,0;0,53
2008-03-27;942,5;942,5;942,5;942,5;24;22620,0;0,0
2008-03-28;950,0;950,0;950,0;950,0;278;264100,0;0,8
2008-04-01;1000,0;1000,0;1000,0;1000,0;26;26000,0;5,26
2008-04-02;1000,0;1000,0;1000,0;1000,0;574;574000,0;0,0
2008-04-03;1000,0;1000,0;1000,0;1000,0;156;156000,0;0,0
2008-04-04;1000,0;1000,0;1000,0;1000,0;100;100000,0;0,0
2008-04-08;1000,0;1000,0;1000,0;1000,0;104;104000,0;0,0
2008-04-09;1000,0;1000,0;1000,0;1000,0;100;100000,0;0,0
2008-04-10;1000,0;1000,0;1000,0;1000,0;100;100000,0;0,0
2008-04-11;1000,0;1000,0;1000,0;1000,0;140;140000,0;0,0
2008-04-15;1000,0;1000,0;1000,0;1000,0;24;24000,0;0,0
2008-04-17;1000,0;1000,0;1000,0;1000,0;4500;4500000,0;0,0
2008-04-18;1000,0;1000,0;1000,0;1000,0;600;600000,0;0,0
2008-04-22;1000,0;1000,0;1000,0;1000,0;18;18000,0;0,0
2008-04-25;1000,0;1000,0;1000,0;1000,0;80;80000,0;0,0
2008-04-28;1000,0;1000,0;1000,0;1000,0;12;12000,0;0,0
2008-05-02;1000,0;1000,0;1000,0;1000,0;54;54000,0;0,0
2008-05-07;1000,0;1000,0;1000,0;1000,0;50;50000,0;0,0
2008-05-08;1000,0;1000,0;1000,0;1000,0;72;72000,0;0,0
2008-05-13;1000,0;1000,0;1000,0;1000,0;24;24000,0;0,0
2008-05-14;1000,0;1000,0;1000,0;1000,0;20;20000,0;0,0
2008-05-15;1000,0;1000,0;1000,0;1000,0;6;6000,0;0,0
2008-05-16;1000,0;1000,0;1000,0;1000,0;54;54000,0;0,0
2008-05-19;1000,0;1000,0;1000,0;1000,0;40;40000,0;0,0
2008-05-20;1000,0;1000,0;1000,0;1000,0;6;6000,0;0,0
2008-05-26;1000,0;1000,0;1000,0;1000,0;12;12000,0;0,0
2008-06-02;943,0;943,0;943,0;943,0;162;152766,0;-5,7
2008-06-10;950,0;950,0;950,0;950,0;180;171000,0;0,74
2008-06-12;950,0;950,0;950,0;950,0;10;9500,0;0,0
2008-06-16;950,0;950,0;950,0;950,0;192;182400,0;0,0
2008-06-18;950,0;950,0;950,0;950,0;14;13300,0;0,0
2008-06-19;950,0;950,0;950,0;950,0;36;34200,0;0,0
2008-06-20;950,0;950,0;950,0;950,0;10;9500,0;0,0
2008-06-23;962,5;962,5;962,5;962,5;176;169400,0;1,32
2008-06-25;967,5;967,5;967,5;967,5;50;48375,0;0,52
2008-06-26;975,0;975,0;975,0;975,0;60;58500,0;0,78
2008-06-27;987,5;987,5;987,5;987,5;20;19750,0;1,28
2008-06-30;995,0;995,0;995,0;995,0;66;65670,0;0,76
2008-07-01;1000,0;1000,0;1000,0;1000,0;104;104000,0;0,5
2008-07-02;1000,0;1000,0;1000,0;1000,0;30;30000,0;0,0
2008-07-03;1000,0;1000,0;1000,0;1000,0;42;42000,0;0,0
2008-07-04;1000,0;1000,0;1000,0;1000,0;158;158000,0;0,0
2008-07-07;1000,0;1000,0;1000,0;1000,0;80;80000,0;0,0
2008-07-08;1000,0;1000,0;1000,0;1000,0;28;28000,0;0,0
2008-07-09;1000,0;1000,0;1000,0;1000,0;32;32000,0;0,0
2008-07-10;1000,0;1000,0;1000,0;1000,0;40;40000,0;0,0
2008-07-11;1000,0;1000,0;1000,0;1000,0;24;24000,0;0,0
2008-07-14;1000,0;1000,0;1000,0;1000,0;38;38000,0;0,0
2008-07-15;1000,0;1000,0;1000,0;1000,0;20;20000,0;0,0
2008-07-16;1000,0;1000,0;1000,0;1000,0;24;24000,0;0,0
2008-07-17;1000,0;1000,0;1000,0;1000,0;26;26000,0;0,0
2008-07-18;1000,0;1000,0;1000,0;1000,0;64;64000,0;0,0
2008-07-21;1000,0;1000,0;1000,0;1000,0;34;34000,0;0,0
2008-07-22;1000,0;1000,0;1000,0;1000,0;106;106000,0;0,0
2008-07-23;1000,0;1000,0;1000,0;1000,0;30;30000,0;0,0
2008-07-24;1000,0;1000,0;1000,0;1000,0;24;24000,0;0,0
2008-07-25;1000,0;1000,0;1000,0;1000,0;40;40000,0;0,0
2008-07-28;1000,0;1000,0;1000,0;1000,0;32;32000,0;0,0
2008-07-29;1000,0;1000,0;1000,0;1000,0;28;28000,0;0,0
2008-07-30;1000,0;1000,0;1000,0;1000,0;26;26000,0;0,0
2008-08-04;1000,0;1000,0;1000,0;1000,0;16;16000,0;0,0
2008-08-05;1000,0;1000,0;1000,0;1000,0;16;16000,0;0,0
2008-08-06;1002,5;1002,5;1002,5;1002,5;108;108270,0;0,25
2008-08-08;1005,0;1005,0;1005,0;1005,0;130;130650,0;0,25
2008-08-11;1005,0;1005,0;1005,0;1005,0;100;100500,0;0,0
2008-08-12;1006,5;1006,5;1006,5;1006,5;120;120780,0;0,15
2008-08-13;1006,5;1006,5;1006,5;1006,5;670;674355,0;0,0
2008-08-14;1007,5;1007,5;1007,5;1007,5;100;100750,0;0,1
2008-08-18;1012,5;1012,5;1012,5;1012,5;100;101250,0;0,5
2008-08-19;1017,5;1017,5;1017,5;1017,5;138;140415,0;0,49
2008-08-20;1020,0;1020,0;1020,0;1020,0;308;314160,0;0,25
2008-08-21;1022,5;1022,5;1022,5;1022,5;194;198365,0;0,25
2008-08-22;1025,0;1025,0;1025,0;1025,0;116;118900,0;0,24
2008-08-25;1025,0;1025,0;1025,0;1025,0;212;217300,0;0,0
2008-08-26;1025,0;1025,0;1025,0;1025,0;80;82000,0;0,0
2008-08-27;1025,0;1025,0;1025,0;1025,0;264;270600,0;0,0
2008-08-28;1025,0;1025,0;1025,0;1025,0;164;168100,0;0,0
2008-08-29;1025,0;1025,0;1025,0;1025,0;760;779000,0;0,0
2008-09-01;1025,0;1025,0;1025,0;1025,0;276;282900,0;0,0
2008-09-02;1025,0;1025,0;1025,0;1025,0;224;229600,0;0,0
2008-09-03;1025,0;1025,0;1025,0;1025,0;200;205000,0;0,0
2008-09-04;1025,0;1025,0;1025,0;1025,0;588;602700,0;0,0
2008-09-05;1025,0;1025,0;1025,0;1025,0;160;164000,0;0,0
