Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2010-04-12;714,0;714,0;714,0;714,0;1000;714000,0;
2010-04-22;750,0;750,0;750,0;750,0;16526;12394500,0;5,04
2010-05-12;812,5;812,5;812,5;812,5;36;29250,0;8,33
2010-05-17;750,0;750,0;750,0;750,0;24000;18000000,0;-7,69
2010-05-21;775,0;775,0;775,0;775,0;6892;5341300,0;3,33
2010-06-01;775,0;775,0;775,0;775,0;40;31000,0;0,0
2010-06-04;775,5;775,5;775,5;775,5;20;15510,0;0,06
2010-06-10;775,5;775,5;775,5;775,5;20;15510,0;0,0
2010-06-15;775,0;775,0;775,0;775,0;30;23250,0;-0,06
2010-06-23;750,0;750,0;750,0;750,0;24;18000,0;-3,23
2010-06-24;750,0;750,0;750,0;750,0;36;27000,0;0,0
2010-06-25;750,0;750,0;750,0;750,0;150;112500,0;0,0
2010-06-29;750,0;750,0;750,0;750,0;22;16500,0;0,0
2010-06-30;750,0;750,0;750,0;750,0;720;540000,0;0,0
2010-07-01;750,0;750,0;750,0;750,0;820;615000,0;0,0
2010-07-02;750,0;750,0;750,0;750,0;26;19500,0;0,0
2010-07-05;750,0;750,0;750,0;750,0;400;300000,0;0,0
2010-07-06;750,0;750,0;750,0;750,0;288;216000,0;0,0
2010-07-08;750,0;750,0;750,0;750,0;520;390000,0;0,0
2010-07-12;750,0;750,0;750,0;750,0;68;51000,0;0,0
2010-07-13;750,0;750,0;750,0;750,0;4;3000,0;0,0
2010-07-15;725,0;725,0;725,0;725,0;64;46400,0;-3,33
2010-07-16;750,0;750,0;750,0;750,0;100;75000,0;3,45
2010-07-19;750,0;750,0;750,0;750,0;52;39000,0;0,0
2010-07-20;750,0;750,0;750,0;750,0;20;15000,0;0,0
2010-07-21;750,0;750,0;750,0;750,0;2;1500,0;0,0
2010-07-22;750,0;750,0;750,0;750,0;140;105000,0;0,0
2010-07-23;750,0;750,0;750,0;750,0;56;42000,0;0,0
2010-07-26;750,0;750,0;750,0;750,0;100;75000,0;0,0
2010-07-27;750,0;750,0;750,0;750,0;80;60000,0;0,0
2010-07-28;750,0;750,0;750,0;750,0;70;52500,0;0,0
2010-07-29;750,0;750,0;750,0;750,0;398;298500,0;0,0
2010-07-30;750,0;750,0;750,0;750,0;860;645000,0;0,0
2010-08-02;750,0;750,0;750,0;750,0;18;13500,0;0,0
2010-08-03;750,0;750,0;750,0;750,0;402;301500,0;0,0
2010-08-05;750,0;750,0;750,0;750,0;540;405000,0;0,0
2010-08-06;750,0;750,0;750,0;750,0;480;360000,0;0,0
2010-08-09;750,0;750,0;750,0;750,0;100;75000,0;0,0
2010-08-10;750,0;750,0;750,0;750,0;62;46500,0;0,0
2010-08-12;750,0;750,0;750,0;750,0;80;60000,0;0,0
2010-08-13;750,0;750,0;750,0;750,0;122;91500,0;0,0
2010-08-16;750,0;750,0;750,0;750,0;170;127500,0;0,0
2010-08-18;737,5;737,5;737,5;737,5;56;41300,0;-1,67
2010-08-19;737,5;737,5;737,5;737,5;114;84075,0;0,0
2010-08-23;737,5;737,5;737,5;737,5;50;36875,0;0,0
2010-08-24;725,0;725,0;725,0;725,0;100;72500,0;-1,69
2010-08-25;712,5;712,5;712,5;712,5;146;104025,0;-1,72
2010-08-26;700,0;700,0;700,0;700,0;214;149800,0;-1,75
2010-08-30;701,5;701,5;701,5;701,5;30;21045,0;0,21
2010-08-31;700,0;700,0;700,0;700,0;24;16800,0;-0,21
2010-09-01;701,0;701,0;701,0;701,0;16;11216,0;0,14
2010-09-02;700,0;700,0;700,0;700,0;36;25200,0;-0,14
