Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2016-05-31;2150,0;2150,0;2150,0;2150,0;495;1064250,0;
2016-06-01;2310,6666666666665;2310,6666666666665;2310,6666666666665;2310,6666666666665;15;34660,0;7,47
2016-06-02;2483,333333333333;2483,333333333333;2483,333333333333;2483,333333333333;328;814533,0;7,47
2016-06-03;2670,0;2670,0;2670,0;2670,0;30;80100,0;7,52
2016-06-06;2870,0;2870,0;2870,0;2870,0;21;60270,0;7,49
2016-06-07;3084,6666666666665;3084,6666666666665;3084,6666666666665;3084,6666666666665;7;21593,0;7,48
2016-06-08;3316,0;3316,0;3316,0;3316,0;9;29844,0;7,5
2016-06-09;3564,6666666666665;3564,6666666666665;3564,6666666666665;3564,6666666666665;600;2138800,0;7,5
2016-06-10;3831,3333333333335;3831,3333333333335;3831,3333333333335;3831,3333333333335;88;337157,0;7,48
2016-06-13;4118,666666666667;4118,666666666667;4118,666666666667;4118,666666666667;322;1326211,0;7,5
2016-06-14;4427,333333333333;4427,333333333333;4427,333333333333;4427,333333333333;370;1638113,0;7,49
2016-06-15;4759,333333333333;4759,333333333333;4759,333333333333;4759,333333333333;6619;31502027,0;7,5
2016-06-16;5116,666666666667;5116,666666666667;5116,666666666667;5116,666666666667;2464;12607467,0;7,51
2016-06-17;5500,0;5500,0;5500,0;5500,0;2043;11236500,0;7,49
2016-06-20;5912,666666666667;5912,666666666667;5912,666666666667;5912,666666666667;6666;39413836,0;7,5
2016-06-21;5778,0;5778,0;5778,0;5778,0;32988;190604664,0;-2,28
2016-06-22;5344,666666666667;5344,666666666667;5344,666666666667;5344,666666666667;6925;37011817,0;-7,5
2016-06-23;5333,333333333333;5333,333333333333;5333,333333333333;5333,333333333333;20434;108981333,0;-0,21
2016-06-24;5378,666666666667;5378,666666666667;5378,666666666667;5378,666666666667;5401;29050179,0;0,85
2016-06-27;5778,0;5778,0;5778,0;5778,0;7288;42110064,0;7,42
2016-06-28;5955,333333333333;5955,333333333333;5955,333333333333;5955,333333333333;5667;33748874,0;3,07
2016-06-29;6044,666666666667;6044,666666666667;6044,666666666667;6044,666666666667;4801;29020445,0;1,5
2016-06-30;5866,666666666667;5866,666666666667;5866,666666666667;5866,666666666667;2587;15177067,0;-2,94
2016-07-01;5875,333333333333;5875,333333333333;5875,333333333333;5875,333333333333;3292;19341597,0;0,15
2016-07-04;5688,666666666667;5688,666666666667;5688,666666666667;5688,666666666667;4239;24114258,0;-3,18
2016-07-05;5954,666666666667;5954,666666666667;5954,666666666667;5954,666666666667;8224;48971179,0;4,68
2016-07-07;5640,0;5640,0;5640,0;5640,0;2076;11708640,0;-5,28
2016-07-08;5778,0;5778,0;5778,0;5778,0;1626;9395028,0;2,45
2016-07-11;5344,666666666667;5344,666666666667;5344,666666666667;5344,666666666667;618;3303004,0;-7,5
2016-07-12;4978,0;4978,0;4978,0;4978,0;3373;16790794,0;-6,86
2016-07-13;5246,0;5246,0;5246,0;5246,0;1278;6704388,0;5,38
2016-07-14;5244,666666666667;5244,666666666667;5244,666666666667;5244,666666666667;1041;5459698,0;-0,03
2016-07-15;5288,666666666667;5288,666666666667;5288,666666666667;5288,666666666667;2004;10598488,0;0,84
2016-07-18;5244,666666666667;5244,666666666667;5244,666666666667;5244,666666666667;423;2218494,0;-0,83
2016-07-19;5244,666666666667;5244,666666666667;5244,666666666667;5244,666666666667;2022;10604716,0;0,0
2016-07-20;5244,666666666667;5244,666666666667;5244,666666666667;5244,666666666667;1686;8842508,0;0,0
2016-07-21;5244,666666666667;5244,666666666667;5244,666666666667;5244,666666666667;861;4515658,0;0,0
2016-07-22;5324,666666666667;5324,666666666667;5324,666666666667;5324,666666666667;411;2188438,0;1,53
2016-07-25;5244,666666666667;5244,666666666667;5244,666666666667;5244,666666666667;447;2344366,0;-1,5
2016-07-26;5244,666666666667;5244,666666666667;5244,666666666667;5244,666666666667;607;3183513,0;0,0
2016-07-27;5244,666666666667;5244,666666666667;5244,666666666667;5244,666666666667;709;3718469,0;0,0
2016-07-28;5244,666666666667;5244,666666666667;5244,666666666667;5244,666666666667;996;5223688,0;0,0
2016-07-29;5333,333333333333;5333,333333333333;5333,333333333333;5333,333333333333;2088;11136000,0;1,69
2016-08-01;5333,333333333333;5333,333333333333;5333,333333333333;5333,333333333333;1038;5536000,0;0,0
2016-08-02;5288,666666666667;5288,666666666667;5288,666666666667;5288,666666666667;697;3686201,0;-0,84
2016-08-03;5246,0;5246,0;5246,0;5246,0;2283;11976618,0;-0,81
2016-08-04;5244,666666666667;5244,666666666667;5244,666666666667;5244,666666666667;1357;7117013,0;-0,03
2016-08-05;5270,666666666667;5270,666666666667;5270,666666666667;5270,666666666667;243;1280772,0;0,5
2016-08-09;5270,666666666667;5270,666666666667;5270,666666666667;5270,666666666667;1231;6488191,0;0,0
2016-08-10;5244,666666666667;5244,666666666667;5244,666666666667;5244,666666666667;403;2113601,0;-0,49
2016-08-11;5244,0;5244,0;5244,0;5244,0;411;2155284,0;-0,01
2016-08-12;5164,666666666667;5164,666666666667;5164,666666666667;5164,666666666667;645;3331210,0;-1,51
2016-08-16;5165,333333333333;5165,333333333333;5165,333333333333;5165,333333333333;561;2897752,0;0,01
2016-08-17;5164,666666666667;5164,666666666667;5164,666666666667;5164,666666666667;1485;7669530,0;-0,01
2016-08-18;5173,333333333333;5173,333333333333;5173,333333333333;5173,333333333333;687;3554080,0;0,17
2016-08-19;5173,333333333333;5173,333333333333;5173,333333333333;5173,333333333333;1551;8023840,0;0,0
2016-08-22;5178,0;5178,0;5178,0;5178,0;867;4489326,0;0,09
2016-08-23;5173,333333333333;5173,333333333333;5173,333333333333;5173,333333333333;1065;5509600,0;-0,09
2016-08-24;5200,0;5200,0;5200,0;5200,0;2605;13546000,0;0,52
2016-08-25;5200,0;5200,0;5200,0;5200,0;2889;15022800,0;0,0
2016-08-26;5200,0;5200,0;5200,0;5200,0;1720;8944000,0;0,0
2016-08-29;5200,0;5200,0;5200,0;5200,0;2001;10405200,0;0,0
2016-08-30;5222,0;5222,0;5222,0;5222,0;580;3028760,0;0,42
2016-08-31;5226,666666666667;5226,666666666667;5226,666666666667;5226,666666666667;808;4223147,0;0,09
2016-09-01;5298,0;5298,0;5298,0;5298,0;2329;12339042,0;1,36
