Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-02;1346,25;1346,25;1346,25;1346,25;17;22886,0;
2008-01-07;1442,5;1442,5;1442,5;1442,5;12;17310,0;7,15
2008-01-16;1441,875;1441,875;1441,875;1441,875;44;63442,0;-0,04
2008-01-24;1442,5;1442,5;1442,5;1442,5;22;31735,0;0,04
2008-01-25;1346,25;1346,25;1346,25;1346,25;89;119816,0;-6,67
2008-01-29;1298,125;1298,125;1298,125;1298,125;142;184334,0;-3,57
2008-01-31;1298,125;1298,125;1298,125;1298,125;14;18174,0;0,0
2008-02-01;1298,125;1298,125;1298,125;1298,125;100;129812,0;0,0
2008-02-04;1298,125;1298,125;1298,125;1298,125;3;3894,0;0,0
2008-02-05;1298,125;1298,125;1298,125;1298,125;56;72695,0;0,0
2008-02-08;1298,125;1298,125;1298,125;1298,125;280;363475,0;0,0
2008-02-18;1442,5;1442,5;1442,5;1442,5;97;139922,0;11,12
2008-02-19;1442,5;1442,5;1442,5;1442,5;120;173100,0;0,0
2008-02-20;1442,5;1442,5;1442,5;1442,5;16;23080,0;0,0
2008-03-28;1550,625;1550,625;1550,625;1550,625;12;18608,0;7,5
2008-04-08;1683,125;1683,125;1683,125;1683,125;56;94255,0;8,54
2008-04-11;1682,5;1682,5;1682,5;1682,5;20;33650,0;-0,04
2008-04-24;1682,5;1682,5;1682,5;1682,5;3;5048,0;0,0
2008-05-06;1682,5;1682,5;1682,5;1682,5;8;13460,0;0,0
2008-05-16;1730,625;1730,625;1730,625;1730,625;20;34612,0;2,86
2008-05-19;1730,625;1730,625;1730,625;1730,625;59;102107,0;0,0
2008-05-26;1730,625;1730,625;1730,625;1730,625;64;110760,0;0,0
2008-05-27;1730,625;1730,625;1730,625;1730,625;16;27690,0;0,0
2008-05-30;1730,625;1730,625;1730,625;1730,625;24;41535,0;0,0
2008-06-02;1730,625;1730,625;1730,625;1730,625;142;245749,0;0,0
2008-06-03;1730,625;1730,625;1730,625;1730,625;110;190369,0;0,0
2008-06-04;1730,625;1730,625;1730,625;1730,625;80;138450,0;0,0
2008-06-13;1682,5;1682,5;1682,5;1682,5;2731;4594908,0;-2,78
2008-06-30;1634,375;1634,375;1634,375;1634,375;16;26150,0;-2,86
2008-07-01;1658,75;1658,75;1658,75;1658,75;24;39810,0;1,49
2008-07-03;1682,5;1682,5;1682,5;1682,5;16;26920,0;1,43
2008-07-04;1683,125;1683,125;1683,125;1683,125;12;20198,0;0,04
2008-07-07;1683,125;1683,125;1683,125;1683,125;16;26930,0;0,0
2008-07-09;1731,25;1731,25;1731,25;1731,25;19;32894,0;2,86
2008-07-11;1731,25;1731,25;1731,25;1731,25;190;328938,0;0,0
2008-07-18;1731,25;1731,25;1731,25;1731,25;224;387800,0;0,0
2008-07-21;1731,25;1731,25;1731,25;1731,25;52;90025,0;0,0
2008-07-28;1731,25;1731,25;1731,25;1731,25;32;55400,0;0,0
2008-07-30;1755,0;1755,0;1755,0;1755,0;14;24570,0;1,37
2008-08-05;1807,5;1807,5;1807,5;1807,5;65;117488,0;2,99
2008-08-06;1807,5;1807,5;1807,5;1807,5;62;112065,0;0,0
2008-08-08;1808,125;1808,125;1808,125;1808,125;19;34354,0;0,03
2008-08-11;1807,5;1807,5;1807,5;1807,5;16;28920,0;-0,03
2008-08-12;1807,5;1807,5;1807,5;1807,5;72;130140,0;0,0
2008-08-13;1807,5;1807,5;1807,5;1807,5;19;34342,0;0,0
2008-08-18;1826,875;1826,875;1826,875;1826,875;366;668636,0;1,07
2008-08-20;1843,75;1843,75;1843,75;1843,75;24;44250,0;0,92
2008-08-22;1875,0;1875,0;1875,0;1875,0;16;30000,0;1,69
2008-08-26;1923,75;1923,75;1923,75;1923,75;62;119272,0;2,6
2008-08-27;2019,375;2019,375;2019,375;2019,375;64;129240,0;4,97
2008-09-02;1851,25;1851,25;1851,25;1851,25;16;29620,0;-8,33
2008-09-03;1851,25;1851,25;1851,25;1851,25;80;148100,0;0,0
2008-09-04;1851,25;1851,25;1851,25;1851,25;32;59240,0;0,0
2008-09-08;1851,25;1851,25;1851,25;1851,25;16;29620,0;0,0
2008-09-09;1851,25;1851,25;1851,25;1851,25;3188;5901785,0;0,0
2008-09-10;1851,25;1851,25;1851,25;1851,25;43;79604,0;0,0
2008-09-11;1851,25;1851,25;1851,25;1851,25;16;29620,0;0,0
2008-09-15;1851,25;1851,25;1851,25;1851,25;16;29620,0;0,0
2008-09-17;1851,25;1851,25;1851,25;1851,25;16;29620,0;0,0
2008-09-18;1860,625;1860,625;1860,625;1860,625;16;29770,0;0,51
2008-09-22;1851,25;1851,25;1851,25;1851,25;16;29620,0;-0,5
2008-09-23;1851,25;1851,25;1851,25;1851,25;120;222150,0;0,0
2008-09-25;1851,25;1851,25;1851,25;1851,25;49;90711,0;0,0
2008-09-29;1851,25;1851,25;1851,25;1851,25;16;29620,0;0,0
2008-10-02;1851,25;1851,25;1851,25;1851,25;16;29620,0;0,0
2008-10-03;1851,25;1851,25;1851,25;1851,25;80;148100,0;0,0
2008-10-06;1851,25;1851,25;1851,25;1851,25;16;29620,0;0,0
2008-10-08;1851,25;1851,25;1851,25;1851,25;16;29620,0;0,0
2008-10-10;1851,875;1851,875;1851,875;1851,875;16;29630,0;0,03
2008-10-13;1851,875;1851,875;1851,875;1851,875;32;59260,0;0,0
2008-10-14;1851,875;1851,875;1851,875;1851,875;16;29630,0;0,0
2008-10-16;1851,875;1851,875;1851,875;1851,875;16;29630,0;0,0
2008-10-20;1851,875;1851,875;1851,875;1851,875;16;29630,0;0,0
2008-10-21;1851,875;1851,875;1851,875;1851,875;16;29630,0;0,0
2008-10-23;1852,5;1852,5;1852,5;1852,5;16;29640,0;0,03
2008-10-24;1853,125;1853,125;1853,125;1853,125;16;29650,0;0,03
2008-10-28;1923,125;1923,125;1923,125;1923,125;28;53848,0;3,78
2008-10-29;1923,125;1923,125;1923,125;1923,125;16;30770,0;0,0
2008-10-30;1923,125;1923,125;1923,125;1923,125;33;63463,0;0,0
2008-11-03;1923,125;1923,125;1923,125;1923,125;16;30770,0;0,0
