Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-02-12;600,0;600,0;600,0;600,0;13;7800,0;
2008-02-28;598,0;598,0;598,0;598,0;8;4784,0;-0,33
2008-03-18;598,0;598,0;598,0;598,0;100;59800,0;0,0
2008-03-28;575,0;575,0;575,0;575,0;36;20700,0;-3,85
2008-04-04;550,0;550,0;550,0;550,0;14;7700,0;-4,35
2008-04-07;550,0;550,0;550,0;550,0;13;7150,0;0,0
2008-04-11;513,0;513,0;513,0;513,0;32;16416,0;-6,73
2008-04-15;500,0;500,0;500,0;500,0;8;4000,0;-2,53
2008-04-16;500,0;500,0;500,0;500,0;27;13500,0;0,0
2008-04-22;500,0;500,0;500,0;500,0;17;8500,0;0,0
2008-04-25;500,0;500,0;500,0;500,0;6;3000,0;0,0
2008-05-02;463,0;463,0;463,0;463,0;10;4630,0;-7,4
2008-05-05;450,0;450,0;450,0;450,0;27;12150,0;-2,81
2008-05-07;418,0;418,0;418,0;418,0;45;18810,0;-7,11
2008-05-15;418,0;418,0;418,0;418,0;1;418,0;0,0
2008-05-20;413,0;413,0;413,0;413,0;10;4130,0;-1,2
2008-05-26;359,0;359,0;359,0;359,0;18;6462,0;-13,08
2008-05-28;388,0;388,0;388,0;388,0;13465;5224420,0;8,08
2008-05-29;415,0;415,0;415,0;415,0;110;45650,0;6,96
2008-05-30;415,0;415,0;415,0;415,0;50;20750,0;0,0
2008-06-13;415,0;415,0;415,0;415,0;5;2075,0;0,0
2008-06-17;415,0;415,0;415,0;415,0;16;6640,0;0,0
2008-06-24;415,0;415,0;415,0;415,0;27;11205,0;0,0
2008-06-25;415,0;415,0;415,0;415,0;5;2075,0;0,0
2008-06-27;415,0;415,0;415,0;415,0;11;4565,0;0,0
2008-07-03;418,0;418,0;418,0;418,0;356;148808,0;0,72
2008-07-04;418,0;418,0;418,0;418,0;102;42636,0;0,0
2008-07-11;418,0;418,0;418,0;418,0;1;418,0;0,0
2008-07-22;419,0;419,0;419,0;419,0;9;3771,0;0,24
2008-07-24;450,0;450,0;450,0;450,0;9;4050,0;7,4
2008-07-28;475,0;475,0;475,0;475,0;10;4750,0;5,56
2008-07-29;500,0;500,0;500,0;500,0;115;57500,0;5,26
2008-08-01;538,0;538,0;538,0;538,0;13;6994,0;7,6
2008-08-11;550,0;550,0;550,0;550,0;14;7700,0;2,23
2008-08-13;580,0;580,0;580,0;580,0;11;6380,0;5,45
2008-08-18;625,0;625,0;625,0;625,0;55;34375,0;7,76
2008-08-19;650,0;650,0;650,0;650,0;10;6500,0;4,0
2008-08-20;699,0;699,0;699,0;699,0;9;6291,0;7,54
2008-08-21;750,0;750,0;750,0;750,0;8;6000,0;7,3
2008-08-22;800,0;800,0;800,0;800,0;36;28800,0;6,67
2008-08-25;855,0;855,0;855,0;855,0;86;73530,0;6,88
2008-08-26;875,0;875,0;875,0;875,0;24;21000,0;2,34
2008-08-27;900,0;900,0;900,0;900,0;31;27900,0;2,86
2008-08-28;900,0;900,0;900,0;900,0;65;58500,0;0,0
2008-08-29;900,0;900,0;900,0;900,0;10;9000,0;0,0
2008-09-01;900,0;900,0;900,0;900,0;54;48600,0;0,0
2008-09-02;900,0;900,0;900,0;900,0;3;2700,0;0,0
2008-09-03;940,0;940,0;940,0;940,0;32;30080,0;4,44
2008-09-04;938,0;938,0;938,0;938,0;13;12194,0;-0,21
2008-09-09;875,0;875,0;875,0;875,0;29;25375,0;-6,72
2008-09-10;825,0;825,0;825,0;825,0;15;12375,0;-5,71
2008-09-11;825,0;825,0;825,0;825,0;61;50325,0;0,0
2008-09-12;825,0;825,0;825,0;825,0;31;25575,0;0,0
2008-09-15;825,0;825,0;825,0;825,0;14;11550,0;0,0
2008-09-16;825,0;825,0;825,0;825,0;10;8250,0;0,0
2008-09-17;825,0;825,0;825,0;825,0;49;40425,0;0,0
2008-09-18;825,0;825,0;825,0;825,0;2;1650,0;0,0
2008-09-19;825,0;825,0;825,0;825,0;1;825,0;0,0
2008-09-24;825,0;825,0;825,0;825,0;1;825,0;0,0
2008-09-25;825,0;825,0;825,0;825,0;20;16500,0;0,0
2008-10-01;850,0;850,0;850,0;850,0;14;11900,0;3,03
2008-10-03;850,0;850,0;850,0;850,0;2;1700,0;0,0
2008-10-08;850,0;850,0;850,0;850,0;14;11900,0;0,0
2008-10-23;786,0;786,0;786,0;786,0;8;6288,0;-7,53
2008-10-24;786,0;786,0;786,0;786,0;8;6288,0;0,0
2008-10-30;786,0;786,0;786,0;786,0;4;3144,0;0,0
2008-11-07;786,0;786,0;786,0;786,0;8;6288,0;0,0
2008-11-18;786,0;786,0;786,0;786,0;8;6288,0;0,0
2008-11-26;786,0;786,0;786,0;786,0;3;2358,0;0,0
2008-12-19;525,0;525,0;525,0;525,0;20;10500,0;-33,21
2008-12-22;525,0;525,0;525,0;525,0;72;37800,0;0,0
2009-01-05;488,0;488,0;488,0;488,0;11;5368,0;-7,05
2009-01-06;488,0;488,0;488,0;488,0;21;10248,0;0,0
2009-01-07;488,0;488,0;488,0;488,0;16;7808,0;0,0
2009-01-09;488,0;488,0;488,0;488,0;1;488,0;0,0
2009-02-02;475,0;475,0;475,0;475,0;10;4750,0;-2,66
2009-02-04;475,0;475,0;475,0;475,0;12;5700,0;0,0
2009-02-05;475,0;475,0;475,0;475,0;6;2850,0;0,0
2009-02-18;475,0;475,0;475,0;475,0;40;19000,0;0,0
2009-02-27;475,0;475,0;475,0;475,0;2;950,0;0,0
2009-03-05;473,0;473,0;473,0;473,0;18;8514,0;-0,42
2009-03-06;473,0;473,0;473,0;473,0;11;5203,0;0,0
2009-03-10;473,0;473,0;473,0;473,0;10;4730,0;0,0
2009-03-11;463,0;463,0;463,0;463,0;40;18520,0;-2,11
2009-03-12;463,0;463,0;463,0;463,0;36;16668,0;0,0
2009-03-16;463,0;463,0;463,0;463,0;19;8797,0;0,0
2009-03-17;463,0;463,0;463,0;463,0;1;463,0;0,0
2009-03-20;463,0;463,0;463,0;463,0;10;4630,0;0,0
2009-03-24;463,0;463,0;463,0;463,0;30;13890,0;0,0
2009-03-25;463,0;463,0;463,0;463,0;1;463,0;0,0
2009-03-26;475,0;475,0;475,0;475,0;8;3800,0;2,59
2009-04-02;475,0;475,0;475,0;475,0;10;4750,0;0,0
2009-04-03;475,0;475,0;475,0;475,0;4;1900,0;0,0
2009-04-07;475,0;475,0;475,0;475,0;9;4275,0;0,0
2009-05-06;475,0;475,0;475,0;475,0;5;2375,0;0,0
2009-05-11;475,0;475,0;475,0;475,0;10;4750,0;0,0
2009-06-24;409,0;409,0;409,0;409,0;10;4090,0;-13,89
2009-07-08;409,0;409,0;409,0;409,0;46;18814,0;0,0
2009-07-14;409,0;409,0;409,0;409,0;1;409,0;0,0
2009-07-23;435,0;435,0;435,0;435,0;10;4350,0;6,36
2009-08-11;425,0;425,0;425,0;425,0;70;29750,0;-2,3
2009-08-12;425,0;425,0;425,0;425,0;2;850,0;0,0
2009-08-14;425,0;425,0;425,0;425,0;30;12750,0;0,0
2009-08-18;425,0;425,0;425,0;425,0;30;12750,0;0,0
2009-08-21;413,0;413,0;413,0;413,0;8;3304,0;-2,82
2009-08-24;413,0;413,0;413,0;413,0;2;826,0;0,0
2009-08-26;413,0;413,0;413,0;413,0;5;2065,0;0,0
2009-09-01;413,0;413,0;413,0;413,0;11;4543,0;0,0
2009-09-02;385,0;385,0;385,0;385,0;45;17325,0;-6,78
2009-09-04;385,0;385,0;385,0;385,0;10;3850,0;0,0
2009-09-08;385,0;385,0;385,0;385,0;14;5390,0;0,0
2009-09-09;385,0;385,0;385,0;385,0;111;42735,0;0,0
2009-09-10;385,0;385,0;385,0;385,0;3;1155,0;0,0
2009-09-11;386,0;386,0;386,0;386,0;50;19300,0;0,26
2009-09-16;386,0;386,0;386,0;386,0;5;1930,0;0,0
2009-09-24;375,0;375,0;375,0;375,0;25;9375,0;-2,85
2009-09-25;375,0;375,0;375,0;375,0;2;750,0;0,0
2009-09-29;375,0;375,0;375,0;375,0;7;2625,0;0,0
2009-10-01;375,0;375,0;375,0;375,0;64;24000,0;0,0
2009-10-02;375,0;375,0;375,0;375,0;40;15000,0;0,0
2009-10-13;375,0;375,0;375,0;375,0;3;1125,0;0,0
2009-10-15;375,0;375,0;375,0;375,0;1;375,0;0,0
2009-10-21;375,0;375,0;375,0;375,0;2;750,0;0,0
2009-10-27;376,0;376,0;376,0;376,0;8;3008,0;0,27
2009-10-30;376,0;376,0;376,0;376,0;1;376,0;0,0
2009-11-10;376,0;376,0;376,0;376,0;1;376,0;0,0
2009-11-18;376,0;376,0;376,0;376,0;12;4512,0;0,0
2009-12-02;376,0;376,0;376,0;376,0;50;18800,0;0,0
