Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2016-12-23;6299;6299;6299;6299;179;1127521,0;
2016-12-27;6771;6771;6771;6771;49;331779,0;7,49
2016-12-28;7277;7277;7277;7277;5024;36559648,0;7,47
2016-12-29;7822;7822;7822;7822;314;2456108,0;7,49
2016-12-30;8408;8408;8408;8408;236;1984288,0;7,49
2017-01-02;7778;7778;7778;7778;4691;36486598,0;-7,49
2017-01-03;8361;8361;8361;8361;2913;24355593,0;7,5
2017-01-04;8398;8398;8398;8398;1397;11732006,0;0,44
2017-01-05;8789;8789;8789;8789;2344;20601416,0;4,66
2017-01-06;9375;9375;9375;9375;2448;22950000,0;6,67
2017-01-09;9180;9180;9180;9180;2321;21306780,0;-2,08
2017-01-10;8498;8498;8498;8498;1072;9109856,0;-7,43
2017-01-11;9063;9063;9063;9063;1476;13376988,0;6,65
2017-01-12;8789;8789;8789;8789;801;7039989,0;-3,02
2017-01-13;9072;9072;9072;9072;1856;16837632,0;3,22
2017-01-16;9092;9092;9092;9092;3097;28157924,0;0,22
2017-01-17;9180;9180;9180;9180;3618;33213240,0;0,97
2017-01-18;9766;9766;9766;9766;2782;27169012,0;6,38
2017-01-19;9765;9765;9765;9765;1533;14969745,0;-0,01
2017-01-20;9570;9570;9570;9570;718;6871260,0;-2,0
2017-01-23;9570;9570;9570;9570;360;3445200,0;0,0
2017-01-24;9570;9570;9570;9570;272;2603040,0;0,0
2017-01-25;9570;9570;9570;9570;945;9043650,0;0,0
2017-01-26;9569;9569;9569;9569;685;6554765,0;-0,01
2017-01-27;9668;9668;9668;9668;2865;27698820,0;1,03
2017-01-30;9570;9570;9570;9570;437;4182090,0;-1,01
2017-01-31;9766;9766;9766;9766;3906;38145996,0;2,05
2017-02-01;9766;9766;9766;9766;2718;26543988,0;0,0
2017-02-02;9766;9766;9766;9766;3675;35890050,0;0,0
2017-02-03;9746;9746;9746;9746;1581;15408426,0;-0,2
2017-02-06;9766;9766;9766;9766;1553;15166598,0;0,21
2017-02-07;9764;9764;9764;9764;2190;21383160,0;-0,02
2017-02-08;9570;9570;9570;9570;1450;13876500,0;-1,99
2017-02-09;9668;9668;9668;9668;2668;25794224,0;1,02
2017-02-10;9766;9766;9766;9766;3300;32227800,0;1,01
2017-02-13;9570;9570;9570;9570;281;2689170,0;-2,01
2017-02-14;9570;9570;9570;9570;599;5732430,0;0,0
2017-02-15;9570;9570;9570;9570;253;2421210,0;0,0
2017-02-16;9569;9569;9569;9569;307;2937683,0;-0,01
2017-02-17;9570;9570;9570;9570;1153;11034210,0;0,01
2017-02-20;9570;9570;9570;9570;2111;20202270,0;0,0
2017-02-21;8984;8984;8984;8984;795;7142280,0;-6,12
2017-02-22;9473;9473;9473;9473;1622;15365206,0;5,44
2017-02-23;9570;9570;9570;9570;4702;44998140,0;1,02
2017-02-24;10288;10288;10288;10288;5421;55771248,0;7,5
2017-02-27;10938;10938;10938;10938;5786;63287268,0;6,32
2017-02-28;10938;10938;10938;10938;3469;37943922,0;0,0
2017-03-01;11328;11328;11328;11328;1057;11973696,0;3,57
2017-03-02;11289;11289;11289;11289;601;6784689,0;-0,34
2017-03-03;11289;11289;11289;11289;1392;15714288,0;0,0
2017-03-06;11289;11289;11289;11289;1257;14190273,0;0,0
2017-03-07;11289;11289;11289;11289;2332;26325948,0;0,0
2017-03-08;11230;11230;11230;11230;1317;14789910,0;-0,52
2017-03-09;11229;11229;11229;11229;1709;19190361,0;-0,01
2017-03-10;11230;11230;11230;11230;3441;38642430,0;0,01
2017-03-13;11133;11133;11133;11133;609;6779997,0;-0,86
2017-03-14;11133;11133;11133;11133;1343;14951619,0;0,0
2017-03-15;11133;11133;11133;11133;1465;16309845,0;0,0
2017-03-16;11133;11133;11133;11133;1263;14060979,0;0,0
2017-03-17;11133;11133;11133;11133;612;6813396,0;0,0
2017-03-20;11133;11133;11133;11133;1199;13348467,0;0,0
2017-03-21;11133;11133;11133;11133;2126;23668758,0;0,0
2017-03-22;11133;11133;11133;11133;1517;16888761,0;0,0
2017-03-23;11133;11133;11133;11133;1117;12435561,0;0,0
2017-03-24;11133;11133;11133;11133;783;8717139,0;0,0
2017-03-27;11133;11133;11133;11133;1644;18302652,0;0,0
2017-03-28;11133;11133;11133;11133;357;3974481,0;0,0
2017-03-29;11133;11133;11133;11133;669;7447977,0;0,0
2017-03-30;11133;11133;11133;11133;1140;12691620,0;0,0
2017-03-31;11133;11133;11133;11133;849;9451917,0;0,0
2017-04-03;11133;11133;11133;11133;1080;12023640,0;0,0
2017-04-04;11133;11133;11133;11133;952;10598616,0;0,0
2017-04-05;11123;11123;11123;11123;946;10522358,0;-0,09
2017-04-06;11113;11113;11113;11113;667;7412371,0;-0,09
2017-04-07;11113;11113;11113;11113;906;10068378,0;0,0
2017-04-10;11113;11113;11113;11113;1016;11290808,0;0,0
2017-04-11;10742;10742;10742;10742;30;322260,0;-3,34
2017-04-12;9937;9937;9937;9937;142;1411054,0;-7,49
2017-04-13;9766;9766;9766;9766;4785;46730310,0;-1,72
2017-04-14;9766;9766;9766;9766;1830;17871780,0;0,0
2017-04-18;9668;9668;9668;9668;579;5597772,0;-1,0
2017-04-19;9668;9668;9668;9668;903;8730204,0;0,0
2017-04-20;9668;9668;9668;9668;617;5965156,0;0,0
2017-04-21;9668;9668;9668;9668;1149;11108532,0;0,0
2017-04-24;9667;9667;9667;9667;695;6718565,0;-0,01
2017-04-25;9667;9667;9667;9667;1090;10537030,0;0,0
