Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-02;199,0;199,0;199,0;199,0;44;8756,0;
2008-01-04;200,0;200,0;200,0;200,0;30;6000,0;0,5
2008-02-12;200,0;200,0;200,0;200,0;3;600,0;0,0
2008-02-13;200,0;200,0;200,0;200,0;20;4000,0;0,0
2008-02-15;200,0;200,0;200,0;200,0;20;4000,0;0,0
2008-02-26;200,0;200,0;200,0;200,0;106;21200,0;0,0
2008-03-12;200,0;200,0;200,0;200,0;5;1000,0;0,0
2008-03-17;200,0;200,0;200,0;200,0;8;1600,0;0,0
2008-03-28;200,0;200,0;200,0;200,0;86;17200,0;0,0
2008-04-24;200,0;200,0;200,0;200,0;1;200,0;0,0
2008-04-29;200,0;200,0;200,0;200,0;8;1600,0;0,0
2008-07-01;200,0;200,0;200,0;200,0;200;40000,0;0,0
2008-07-04;208,0;208,0;208,0;208,0;10;2080,0;4,0
2008-07-22;215,0;215,0;215,0;215,0;20;4300,0;3,37
2008-07-24;230,0;230,0;230,0;230,0;50;11500,0;6,98
2008-07-30;240,0;240,0;240,0;240,0;10;2400,0;4,35
2008-07-31;240,0;240,0;240,0;240,0;8;1920,0;0,0
2008-08-01;240,0;240,0;240,0;240,0;16;3840,0;0,0
2008-08-06;250,0;250,0;250,0;250,0;10;2500,0;4,17
2008-08-13;289,0;289,0;289,0;289,0;10;2890,0;15,6
2008-08-18;290,0;290,0;290,0;290,0;45;13050,0;0,35
2008-08-20;312,0;312,0;312,0;312,0;10;3120,0;7,59
2008-08-21;320,0;320,0;320,0;320,0;10;3200,0;2,56
2008-08-22;322,0;322,0;322,0;322,0;20;6440,0;0,63
2008-08-25;330,0;330,0;330,0;330,0;13;4290,0;2,48
2008-08-27;342,0;342,0;342,0;342,0;28;9576,0;3,64
2008-09-01;350,0;350,0;350,0;350,0;30;10500,0;2,34
2008-09-02;350,0;350,0;350,0;350,0;30;10500,0;0,0
2008-09-04;350,0;350,0;350,0;350,0;3;1050,0;0,0
2008-09-05;350,0;350,0;350,0;350,0;19;6650,0;0,0
2008-09-22;350,0;350,0;350,0;350,0;10;3500,0;0,0
2008-09-25;350,0;350,0;350,0;350,0;10;3500,0;0,0
2008-09-26;350,0;350,0;350,0;350,0;12;4200,0;0,0
2008-10-03;350,0;350,0;350,0;350,0;5;1750,0;0,0
2008-10-08;350,0;350,0;350,0;350,0;10;3500,0;0,0
2008-10-14;350,0;350,0;350,0;350,0;1;350,0;0,0
2008-11-03;324,0;324,0;324,0;324,0;16;5184,0;-7,43
2008-12-31;315,0;315,0;315,0;315,0;20;6300,0;-2,78
2009-01-02;315,0;315,0;315,0;315,0;1;315,0;0,0
2009-01-14;300,0;300,0;300,0;300,0;8;2400,0;-4,76
2009-01-15;300,0;300,0;300,0;300,0;2;600,0;0,0
2009-03-13;300,0;300,0;300,0;300,0;3;900,0;0,0
2009-03-24;300,0;300,0;300,0;300,0;2;600,0;0,0
2009-04-03;300,0;300,0;300,0;300,0;9;2700,0;0,0
2009-04-09;300,0;300,0;300,0;300,0;8;2400,0;0,0
2009-05-13;300,0;300,0;300,0;300,0;24;7200,0;0,0
2009-06-10;300,0;300,0;300,0;300,0;3;900,0;0,0
2009-06-17;300,0;300,0;300,0;300,0;8;2400,0;0,0
2009-06-25;300,0;300,0;300,0;300,0;2;600,0;0,0
2009-06-30;277,0;277,0;277,0;277,0;18;4986,0;-7,67
2009-07-02;277,0;277,0;277,0;277,0;30;8310,0;0,0
2009-07-23;277,0;277,0;277,0;277,0;8;2216,0;0,0
2009-08-03;277,0;277,0;277,0;277,0;1;277,0;0,0
2009-08-04;257,0;257,0;257,0;257,0;11;2827,0;-7,22
2009-08-24;254,0;254,0;254,0;254,0;15;3810,0;-1,17
2009-10-02;250,0;250,0;250,0;250,0;20;5000,0;-1,57
2009-10-06;250,0;250,0;250,0;250,0;3;750,0;0,0
2009-10-07;250,0;250,0;250,0;250,0;20;5000,0;0,0
2009-10-19;249,0;249,0;249,0;249,0;8;1992,0;-0,4
2010-01-26;213,0;213,0;213,0;213,0;11;2343,0;-14,46
2010-01-29;197,0;197,0;197,0;197,0;10;1970,0;-7,51
2010-02-16;182,0;182,0;182,0;182,0;11;2002,0;-7,61
2010-03-04;144,0;144,0;144,0;144,0;11;1584,0;-20,88
2010-03-22;123,0;123,0;123,0;123,0;118;14514,0;-14,58
2010-03-25;120,0;120,0;120,0;120,0;150;18000,0;-2,44
2010-03-26;111,0;111,0;111,0;111,0;110;12210,0;-7,5
2010-03-29;111,0;111,0;111,0;111,0;35;3885,0;0,0
2010-04-01;111,0;111,0;111,0;111,0;25;2775,0;0,0
2010-04-02;111,0;111,0;111,0;111,0;3;333,0;0,0
2010-04-06;111,0;111,0;111,0;111,0;365;40515,0;0,0
2010-04-07;111,0;111,0;111,0;111,0;152;16872,0;0,0
2010-04-08;111,0;111,0;111,0;111,0;80;8880,0;0,0
2010-04-09;111,0;111,0;111,0;111,0;245;27195,0;0,0
2010-04-12;111,0;111,0;111,0;111,0;329;36519,0;0,0
2010-04-20;111,0;111,0;111,0;111,0;215;23865,0;0,0
2010-04-21;111,0;111,0;111,0;111,0;9;999,0;0,0
2010-04-23;111,0;111,0;111,0;111,0;11;1221,0;0,0
2010-04-28;115,0;115,0;115,0;115,0;10;1150,0;3,6
2010-04-29;120,0;120,0;120,0;120,0;20;2400,0;4,35
2010-05-04;120,0;120,0;120,0;120,0;5;600,0;0,0
2010-05-06;126,0;126,0;126,0;126,0;90;11340,0;5,0
2010-05-10;126,0;126,0;126,0;126,0;15;1890,0;0,0
2010-05-11;128,0;128,0;128,0;128,0;80;10240,0;1,59
2010-05-17;159,0;159,0;159,0;159,0;8;1272,0;24,22
2010-05-20;197,0;197,0;197,0;197,0;18;3546,0;23,9
2010-05-21;212,0;212,0;212,0;212,0;36;7632,0;7,61
2010-05-25;212,0;212,0;212,0;212,0;55;11660,0;0,0
2010-05-26;212,0;212,0;212,0;212,0;30;6360,0;0,0
2010-05-27;212,0;212,0;212,0;212,0;100;21200,0;0,0
2010-05-28;212,0;212,0;212,0;212,0;24;5088,0;0,0
2010-05-31;212,0;212,0;212,0;212,0;103;21836,0;0,0
2010-06-01;212,0;212,0;212,0;212,0;210;44520,0;0,0
2010-06-04;215,0;215,0;215,0;215,0;8;1720,0;1,42
2010-06-07;215,0;215,0;215,0;215,0;26;5590,0;0,0
2010-06-09;215,0;215,0;215,0;215,0;2;430,0;0,0
2010-06-16;173,0;173,0;173,0;173,0;50;8650,0;-19,53
2010-06-29;155,0;155,0;155,0;155,0;122;18910,0;-10,4
2010-07-01;150,0;150,0;150,0;150,0;28;4200,0;-3,23
2010-07-21;150,0;150,0;150,0;150,0;1;150,0;0,0
2010-08-12;161,0;161,0;161,0;161,0;17;2737,0;7,33
2010-08-13;161,0;161,0;161,0;161,0;5;805,0;0,0
2010-08-18;161,0;161,0;161,0;161,0;2;322,0;0,0
2010-09-01;161,0;161,0;161,0;161,0;195;31395,0;0,0
2010-09-02;170,0;170,0;170,0;170,0;10;1700,0;5,59
2010-09-03;180,0;180,0;180,0;180,0;15;2700,0;5,88
2010-09-07;185,0;185,0;185,0;185,0;17;3145,0;2,78
2010-09-13;199,0;199,0;199,0;199,0;77;15323,0;7,57
2010-09-15;200,0;200,0;200,0;200,0;40;8000,0;0,5
2010-09-16;200,0;200,0;200,0;200,0;14;2800,0;0,0
2010-09-20;200,0;200,0;200,0;200,0;21;4200,0;0,0
2010-09-22;205,0;205,0;205,0;205,0;20;4100,0;2,5
2010-09-27;205,0;205,0;205,0;205,0;5;1025,0;0,0
2010-09-28;205,0;205,0;205,0;205,0;36;7380,0;0,0
2010-10-01;200,0;200,0;200,0;200,0;25;5000,0;-2,44
2010-10-04;200,0;200,0;200,0;200,0;2;400,0;0,0
2010-10-06;200,0;200,0;200,0;200,0;5;1000,0;0,0
2010-10-07;200,0;200,0;200,0;200,0;250;50000,0;0,0
2010-10-08;200,0;200,0;200,0;200,0;54;10800,0;0,0
2010-10-11;200,0;200,0;200,0;200,0;22;4400,0;0,0
2010-10-12;200,0;200,0;200,0;200,0;15;3000,0;0,0
2010-10-14;200,0;200,0;200,0;200,0;50;10000,0;0,0
2010-10-15;200,0;200,0;200,0;200,0;5;1000,0;0,0
2010-10-20;200,0;200,0;200,0;200,0;5;1000,0;0,0
2010-10-21;200,0;200,0;200,0;200,0;8;1600,0;0,0
2010-10-22;185,0;185,0;185,0;185,0;47;8695,0;-7,5
2010-10-26;198,0;198,0;198,0;198,0;100;19800,0;7,03
2010-10-28;183,0;183,0;183,0;183,0;20;3660,0;-7,58
2010-11-02;183,0;183,0;183,0;183,0;6;1098,0;0,0
2010-11-05;200,0;200,0;200,0;200,0;12;2400,0;9,29
2010-11-09;195,0;195,0;195,0;195,0;43;8385,0;-2,5
2010-11-10;200,0;200,0;200,0;200,0;20;4000,0;2,56
2010-11-12;200,0;200,0;200,0;200,0;55;11000,0;0,0
2010-11-17;200,0;200,0;200,0;200,0;132;26400,0;0,0
2010-11-18;200,0;200,0;200,0;200,0;40;8000,0;0,0
2010-11-19;200,0;200,0;200,0;200,0;40;8000,0;0,0
2010-11-22;200,0;200,0;200,0;200,0;25;5000,0;0,0
2010-11-23;200,0;200,0;200,0;200,0;150;30000,0;0,0
2010-11-24;200,0;200,0;200,0;200,0;60;12000,0;0,0
2010-11-26;200,0;200,0;200,0;200,0;40;8000,0;0,0
2010-11-29;200,0;200,0;200,0;200,0;75;15000,0;0,0
