Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-02;675,0;675,0;675,0;675,0;117;78975,0;
2008-01-03;675,0;675,0;675,0;675,0;9;6075,0;0,0
2008-01-04;675,0;675,0;675,0;675,0;33;22275,0;0,0
2008-01-07;650,0;650,0;650,0;650,0;258;167700,0;-3,7
2008-01-08;650,0;650,0;650,0;650,0;56;36400,0;0,0
2008-01-09;650,0;650,0;650,0;650,0;54;35100,0;0,0
2008-01-10;650,0;650,0;650,0;650,0;97;63050,0;0,0
2008-01-11;650,0;650,0;650,0;650,0;11;7150,0;0,0
2008-01-15;675,0;675,0;675,0;675,0;10;6750,0;3,85
2008-01-17;676,0;676,0;676,0;676,0;36;24336,0;0,15
2008-01-18;688,0;688,0;688,0;688,0;48;33024,0;1,78
2008-01-21;688,0;688,0;688,0;688,0;54;37152,0;0,0
2008-01-24;693,0;693,0;693,0;693,0;50;34650,0;0,73
2008-01-29;698,0;698,0;698,0;698,0;15;10470,0;0,72
2008-02-01;700,0;700,0;700,0;700,0;33;23100,0;0,29
2008-02-04;701,0;701,0;701,0;701,0;15;10515,0;0,14
2008-02-07;710,0;710,0;710,0;710,0;121;85910,0;1,28
2008-02-08;715,0;715,0;715,0;715,0;21;15015,0;0,7
2008-02-11;750,0;750,0;750,0;750,0;121;90750,0;4,9
2008-02-18;776,0;776,0;776,0;776,0;22;17072,0;3,47
2008-02-19;776,0;776,0;776,0;776,0;60;46560,0;0,0
2008-02-20;780,0;780,0;780,0;780,0;90;70200,0;0,52
2008-02-22;800,0;800,0;800,0;800,0;44;35200,0;2,56
2008-02-25;850,0;850,0;850,0;850,0;64;54400,0;6,25
2008-02-26;825,0;825,0;825,0;825,0;26;21450,0;-2,94
2008-02-27;850,0;850,0;850,0;850,0;152;129200,0;3,03
2008-03-03;800,0;800,0;800,0;800,0;133;106400,0;-5,88
2008-03-04;800,0;800,0;800,0;800,0;277;221600,0;0,0
2008-03-05;840,0;840,0;840,0;840,0;14;11760,0;5,0
2008-03-06;835,0;835,0;835,0;835,0;28;23380,0;-0,6
