Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2017-12-12;4300;4300;4300;4300;7183;30886900,0;
2017-12-13;4622;4622;4622;4622;6063;28023186,0;7,49
2017-12-14;4890;4890;4890;4890;5854;28626060,0;5,8
2017-12-15;5199;5199;5199;5199;18446;95900754,0;6,32
2017-12-18;5588;5588;5588;5588;33219;185627772,0;7,48
2017-12-19;6000;6000;6000;6000;11940;71640000,0;7,37
2017-12-20;6300;6300;6300;6300;70025;441157500,0;5,0
2017-12-21;6379;6379;6379;6379;19615;125124085,0;1,25
2017-12-22;6000;6000;6000;6000;25825;154950000,0;-5,94
2017-12-26;5999;5999;5999;5999;47667;285954333,0;-0,02
2017-12-27;5600;5600;5600;5600;38784;217190400,0;-6,65
2017-12-28;5600;5600;5600;5600;36368;203660800,0;0,0
2017-12-29;5936;5936;5936;5936;39685;235570160,0;6,0
2018-01-02;5700;5700;5700;5700;235;1339500,0;-3,98
2018-01-03;5499;5499;5499;5499;121;665379,0;-3,53
2018-01-04;5100;5100;5100;5100;136;693600,0;-7,26
2018-01-05;5098;5098;5098;5098;1961;9997178,0;-0,04
2018-01-08;4716;4716;4716;4716;4016;18939456,0;-7,49
2018-01-09;4622;4622;4622;4622;949;4386278,0;-1,99
2018-01-10;4622;4622;4622;4622;1589;7344358,0;0,0
2018-01-11;4622;4622;4622;4622;557;2574454,0;0,0
2018-01-12;4622;4622;4622;4622;1882;8698604,0;0,0
2018-01-15;4620;4620;4620;4620;615;2841300,0;-0,04
2018-01-16;4600;4600;4600;4600;891;4098600,0;-0,43
2018-01-17;4945;4945;4945;4945;1346;6655970,0;7,5
2018-01-18;4800;4800;4800;4800;127;609600,0;-2,93
2018-01-19;4704;4704;4704;4704;609;2864736,0;-2,0
2018-01-22;4780;4780;4780;4780;1045;4995100,0;1,62
2018-01-23;4685;4685;4685;4685;291;1363335,0;-1,99
2018-01-24;4800;4800;4800;4800;157;753600,0;2,45
2018-01-25;5000;5000;5000;5000;4655;23275000,0;4,17
2018-01-26;4820;4820;4820;4820;1488;7172160,0;-3,6
2018-01-29;4798;4798;4798;4798;549;2634102,0;-0,46
2018-01-30;4760;4760;4760;4760;463;2203880,0;-0,79
2018-01-31;4799;4799;4799;4799;599;2874601,0;0,82
2018-02-01;4800;4800;4800;4800;2767;13281600,0;0,02
2018-02-02;4800;4800;4800;4800;64;307200,0;0,0
2018-02-05;4800;4800;4800;4800;1590;7632000,0;0,0
2018-02-06;4760;4760;4760;4760;1790;8520400,0;-0,83
2018-02-07;4799;4799;4799;4799;2230;10701770,0;0,82
2018-02-08;4740;4740;4740;4740;4740;22467600,0;-1,23
2018-02-09;4741;4741;4741;4741;1570;7443370,0;0,02
2018-02-12;4760;4760;4760;4760;3660;17421600,0;0,4
2018-02-13;4720;4720;4720;4720;1550;7316000,0;-0,84
2018-02-14;4980;4980;4980;4980;4160;20716800,0;5,51
2018-02-15;5000;5000;5000;5000;1110;5550000,0;0,4
2018-02-16;5197;5197;5197;5197;16440;85438680,0;3,94
2018-02-19;5100;5100;5100;5100;170;867000,0;-1,87
2018-02-20;5100;5100;5100;5100;985110;5024061000,0;0,0
2018-02-21;5001;5001;5001;5001;310;1550310,0;-1,94
2018-02-22;4800;4800;4800;4800;6230;29904000,0;-4,02
2018-02-23;4896;4896;4896;4896;2030;9938880,0;2,0
2018-02-26;4820;4820;4820;4820;750;3615000,0;-1,55
