Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2014-07-11;47;47;47;47;57868;2719796,0;
2014-07-14;48;48;48;48;244880;11754240,0;2,13
2014-07-15;48;48;48;48;109500;5256000,0;0,0
2014-07-16;48;48;48;48;162211;7786128,0;0,0
2014-07-17;49;49;49;49;21084;1033116,0;2,08
2014-07-18;48;48;48;48;62458;2997984,0;-2,04
2014-07-21;48;48;48;48;170615;8189520,0;0,0
2014-07-22;48;48;48;48;127910;6139680,0;0,0
2014-07-23;49;49;49;49;159421;7811629,0;2,08
2014-07-25;48;48;48;48;264416;12691968,0;-2,04
2014-07-29;48;48;48;48;12762;612576,0;0,0
2014-07-30;48;48;48;48;59598;2860704,0;0,0
2014-07-31;48;48;48;48;245006;11760288,0;0,0
2014-08-01;48;48;48;48;149485;7175280,0;0,0
2014-08-04;49;49;49;49;10046586;492282714,0;2,08
2014-08-05;48;48;48;48;44763;2148624,0;-2,04
2014-08-06;49;49;49;49;199432;9772168,0;2,08
2014-08-07;49;49;49;49;199432;9772168,0;0,0
2014-08-08;49;49;49;49;2876749;140960701,0;0,0
2014-08-11;50;50;50;50;7293820;364691000,0;2,04
2014-08-12;51;51;51;51;141648;7224048,0;2,0
2014-08-13;50;50;50;50;126383;6319150,0;-1,96
2014-08-14;49;49;49;49;230985;11318265,0;-2,0
2014-08-18;49;49;49;49;356232;17455368,0;0,0
2014-08-19;49;49;49;49;266037;13035813,0;0,0
2014-08-20;49;49;49;49;58832;2882768,0;0,0
2014-08-21;50;50;50;50;15843;792150,0;2,04
2014-08-22;50;50;50;50;11388;569400,0;0,0
2014-08-25;50;50;50;50;1060;53000,0;0,0
2014-08-26;50;50;50;50;65748;3287400,0;0,0
2014-08-27;49;49;49;49;453831;22237719,0;-2,0
2014-08-28;50;50;50;50;5256;262800,0;2,04
2014-08-29;50;50;50;50;425312;21265600,0;0,0
2014-09-01;50;50;50;50;3640;182000,0;0,0
2014-09-02;50;50;50;50;266586;13329300,0;0,0
2014-09-03;50;50;50;50;141818;7090900,0;0,0
2014-09-04;51;51;51;51;108297;5523147,0;2,0
2014-09-05;51;51;51;51;84031;4285581,0;0,0
2014-09-08;53;53;53;53;79392;4207776,0;3,92
2014-09-09;53;53;53;53;14044;744332,0;0,0
2014-09-10;52;52;52;52;36995;1923740,0;-1,89
2014-09-11;53;53;53;53;147405;7812465,0;1,92
2014-09-12;52;52;52;52;735077;38224004,0;-1,89
2014-09-15;55;55;55;55;27838;1531090,0;5,77
2014-09-16;59;59;59;59;124383;7338597,0;7,27
2014-09-17;61;61;61;61;2173297;132571117,0;3,39
2014-09-18;63;63;63;63;499567;31472721,0;3,28
2014-09-19;64;64;64;64;674668;43178752,0;1,59
2014-09-22;64;64;64;64;3086205;197517120,0;0,0
2014-09-23;63;63;63;63;724250;45627750,0;-1,56
2014-09-24;63;63;63;63;1321191;83235033,0;0,0
2014-09-25;63;63;63;63;2247093;141566859,0;0,0
2014-09-26;63;63;63;63;234532;14775516,0;0,0
2014-09-29;62;62;62;62;110309;6839158,0;-1,59
2014-09-30;62;62;62;62;422069;26168278,0;0,0
2014-10-01;63;63;63;63;156675;9870525,0;1,61
2014-10-02;62;62;62;62;578446;35863652,0;-1,59
2014-10-03;60;60;60;60;403391;24203460,0;-3,23
2014-10-06;62;62;62;62;6300;390600,0;3,33
2014-10-07;61;61;61;61;59581;3634441,0;-1,61
2014-10-08;60;60;60;60;13061;783660,0;-1,64
2014-10-09;60;60;60;60;214896;12893760,0;0,0
2014-10-10;59;59;59;59;674730;39809070,0;-1,67
2014-10-13;57;57;57;57;14301;815157,0;-3,39
2014-10-14;60;60;60;60;16429;985740,0;5,26
2014-10-15;57;57;57;57;72000;4104000,0;-5,0
2014-10-16;57;57;57;57;5814;331398,0;0,0
2014-10-17;56;56;56;56;295062;16523472,0;-1,75
2014-10-20;53;53;53;53;81147;4300791,0;-5,36
2014-10-21;52;52;52;52;224611;11679772,0;-1,89
2014-10-22;52;52;52;52;36943;1921036,0;0,0
2014-10-23;53;53;53;53;478354;25352762,0;1,92
2014-10-24;52;52;52;52;232591;12094732,0;-1,89
2014-10-27;53;53;53;53;785070;41608710,0;1,92
2014-10-28;52;52;52;52;27320;1420640,0;-1,89
2014-10-29;53;53;53;53;455282;24129946,0;1,92
2014-10-30;53;53;53;53;549855;29142315,0;0,0
2014-10-31;54;54;54;54;32000;1728000,0;1,89
2014-11-03;54;54;54;54;79124;4272696,0;0,0
2014-11-04;54;54;54;54;442595;23900130,0;0,0
2014-11-05;54;54;54;54;58484;3158136,0;0,0
2014-11-06;55;55;55;55;936527;51508985,0;1,85
2014-11-07;54;54;54;54;24160;1304640,0;-1,82
2014-11-10;54;54;54;54;15862;856548,0;0,0
2014-11-11;52;52;52;52;160736;8358272,0;-3,7
2014-11-12;53;53;53;53;304635;16145655,0;1,92
2014-11-13;53;53;53;53;304635;16145655,0;0,0
2014-11-14;53;53;53;53;34641;1835973,0;0,0
2014-11-17;53;53;53;53;2540;134620,0;0,0
2014-11-18;52;52;52;52;59220;3079440,0;-1,89
2014-11-19;53;53;53;53;87673;4646669,0;1,92
2014-11-20;52;52;52;52;44958;2337816,0;-1,89
