Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2024-12-13;5025;5160;5025;5160;17049;86822032,0;
2024-12-16;5160;5160;5150;5150;5894;30383570,0;-0,19
2024-12-17;5100;5100;5100;5100;45527;232187700,0;-0,97
2024-12-18;5095;5100;5095;5100;8151;41549722,0;0,0
2024-12-19;4900;4900;4895;4895;11051;54122272,0;-4,02
2024-12-20;4800;5000;4800;5000;8589;42086100,0;2,15
2024-12-23;4900;5000;4900;5000;4447;22012650,0;0,0
2024-12-24;4985;4985;4985;4985;507;2527395,0;-0,3
2024-12-25;4995;4995;4985;4985;507;2529930,0;0,0
2024-12-26;4950;4950;4950;4950;1007;4984650,0;-0,7
2024-12-27;4950;4950;4950;4950;516;2554200,0;0,0
2024-12-30;4950;4950;4900;4900;493;2428025,0;-1,01
2024-12-31;4800;4800;4730;4730;203;967295,0;-3,47
2025-01-01;4800;4800;4730;4730;203;967295,0;0,0
2025-01-02;4750;4750;4750;4750;2657;12620750,0;0,42
2025-01-03;4700;4845;4700;4845;935;4462288,0;2,0
2025-01-06;4800;4845;4800;4845;206;993435,0;0,0
2025-01-07;4830;4845;4830;4845;1422;6878925,0;0,0
2025-01-08;4835;4845;4835;4845;3505;16964200,0;0,0
2025-01-09;4845;4845;4825;4825;511;2470685,0;-0,41
2025-01-10;4845;4845;4845;4845;665;3221925,0;0,41
2025-01-13;4845;4845;4845;4845;250;1211250,0;0,0
2025-01-14;4715;4845;4715;4845;1135;5425300,0;0,0
2025-01-15;4845;4845;4845;4845;435;2107575,0;0,0
2025-01-16;4800;4840;4800;4840;1912;9215840,0;-0,1
2025-01-17;4840;4850;4840;4850;1783;8638635,0;0,21
2025-01-20;4800;4850;4800;4850;552;2663400,0;0,0
2025-01-21;4845;4850;4845;4850;3857;18696808,0;0,0
2025-01-22;4850;4875;4850;4875;4849;23578262,0;0,52
2025-01-23;4870;4875;4870;4875;3706;18057485,0;0,0
2025-01-24;4860;4875;4860;4875;7614;37061145,0;0,0
2025-01-27;4800;4875;4800;4875;192;928800,0;0,0
2025-01-28;4800;4875;4800;4875;1656;8010900,0;0,0
2025-01-29;4850;4875;4850;4875;678;3296775,0;0,0
2025-01-30;4875;4875;4875;4875;1023;4987125,0;0,0
2025-01-31;4875;5000;4875;5000;11509;56825688,0;2,56
2025-02-03;4995;4995;4995;4995;311;1553445,0;-0,1
2025-02-04;4730;4990;4730;4990;1574;7649640,0;-0,1
2025-02-05;4990;5000;4990;5000;651;3251745,0;0,2
2025-02-06;4995;5000;4995;5000;305;1524238,0;0,0
2025-02-07;4995;5000;4995;5000;496;2478760,0;0,0
2025-02-10;4900;4995;4900;4995;686;3393985,0;-0,1
2025-02-11;4995;4995;4995;4995;647;3231765,0;0,0
2025-02-12;4995;4995;4985;4985;2078;10369220,0;-0,2
