Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-06-09;174,0;174,0;174,0;174,0;10;1740,0;
2008-06-16;174,0;174,0;174,0;174,0;2;348,0;0,0
2008-07-01;161,0;161,0;161,0;161,0;12;1932,0;-7,47
2008-07-09;149,0;149,0;149,0;149,0;19;2831,0;-7,45
2008-08-01;149,0;149,0;149,0;149,0;108;16092,0;0,0
2008-08-11;149,0;149,0;149,0;149,0;2;298,0;0,0
2008-08-25;148,0;148,0;148,0;148,0;8;1184,0;-0,67
2008-08-26;146,0;146,0;146,0;146,0;10;1460,0;-1,35
2008-08-28;146,0;146,0;146,0;146,0;267;38982,0;0,0
2008-09-17;146,0;146,0;146,0;146,0;7;1022,0;0,0
2008-09-23;140,0;140,0;140,0;140,0;20;2800,0;-4,11
2008-10-02;136,0;136,0;136,0;136,0;30;4080,0;-2,86
2008-10-31;136,0;136,0;136,0;136,0;5;680,0;0,0
2008-11-12;136,0;136,0;136,0;136,0;1;136,0;0,0
2008-11-18;136,0;136,0;136,0;136,0;70;9520,0;0,0
2008-11-27;136,0;136,0;136,0;136,0;10;1360,0;0,0
2008-12-26;146,0;146,0;146,0;146,0;30;4380,0;7,35
2008-12-30;157,0;157,0;157,0;157,0;10;1570,0;7,53
2009-04-08;157,0;157,0;157,0;157,0;2;314,0;0,0
2009-07-02;152,0;152,0;152,0;152,0;10;1520,0;-3,18
2009-07-03;152,0;152,0;152,0;152,0;5;760,0;0,0
2009-10-16;144,0;144,0;144,0;144,0;15;2160,0;-5,26
2009-10-20;144,0;144,0;144,0;144,0;10;1440,0;0,0
2010-06-21;144,0;144,0;144,0;144,0;10;1440,0;0,0
2010-06-30;123,0;123,0;123,0;123,0;1074;132102,0;-14,58
2010-07-01;123,0;123,0;123,0;123,0;4;492,0;0,0
2010-07-20;123,0;123,0;123,0;123,0;364;44772,0;0,0
2010-11-19;123,0;123,0;123,0;123,0;2;246,0;0,0
2010-11-23;123,0;123,0;123,0;123,0;1;123,0;0,0
2011-07-05;123,0;123,0;123,0;123,0;1;123,0;0,0
2011-07-13;116,0;116,0;116,0;116,0;10;1160,0;-5,69
2011-07-14;116,0;116,0;116,0;116,0;20;2320,0;0,0
2011-07-15;116,0;116,0;116,0;116,0;9;1044,0;0,0
2011-07-20;120,0;120,0;120,0;120,0;91;10920,0;3,45
