Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2017-10-24;9675;9675;9675;9675;500;4837500,0;
2017-10-25;10400;10400;10400;10400;18444;191817600,0;7,49
2017-10-26;9850;9850;9850;9850;61557;606336450,0;-5,29
2017-10-27;9115;9115;9115;9115;18294;166749810,0;-7,46
2017-10-30;9700;9700;9700;9700;20407;197947900,0;6,42
2017-10-31;10000;10000;10000;10000;20372;203720000,0;3,09
2017-11-02;9890;9890;9890;9890;5086;50300540,0;-1,1
2017-11-03;9435;9435;9435;9435;20610;194455350,0;-4,6
2017-11-06;9425;9425;9425;9425;6475;61026875,0;-0,11
2017-11-07;9400;9400;9400;9400;13465;126571000,0;-0,27
2017-11-08;9220;9220;9220;9220;5430;50064600,0;-1,91
2017-11-09;9340;9340;9340;9340;43287;404300580,0;1,3
2017-11-10;9200;9200;9200;9200;5214;47968800,0;-1,5
2017-11-13;9100;9100;9100;9100;893;8126300,0;-1,09
2017-11-14;9145;9145;9145;9145;14580;133334100,0;0,49
2017-11-16;9090;9090;9090;9090;7229;65711610,0;-0,6
2017-11-17;9085;9085;9085;9085;10882;98862970,0;-0,06
2017-11-20;9075;9075;9075;9075;1021;9265575,0;-0,11
2017-11-21;9070;9070;9070;9070;1471;13341970,0;-0,06
2017-11-22;9050;9050;9050;9050;60790;550149500,0;-0,22
2017-11-23;9040;9040;9040;9040;6008;54312320,0;-0,11
2017-11-24;9040;9040;9040;9040;4162;37624480,0;0,0
2017-11-27;9035;9035;9035;9035;1718;15522130,0;-0,06
2017-11-28;9020;9020;9020;9020;34119;307753380,0;-0,17
2017-11-29;9005;9005;9005;9005;1343;12093715,0;-0,17
2017-11-30;9000;9000;9000;9000;10759;96831000,0;-0,06
2017-12-04;9000;9000;9000;9000;2687;24183000,0;0,0
2017-12-05;9000;9000;9000;9000;5602;50418000,0;0,0
2017-12-06;9000;9000;9000;9000;7914;71226000,0;0,0
2017-12-07;9000;9000;9000;9000;6199;55791000,0;0,0
2017-12-08;9000;9000;9000;9000;5857;52713000,0;0,0
2017-12-11;9000;9000;9000;9000;16170;145530000,0;0,0
2017-12-12;9000;9000;9000;9000;9701;87309000,0;0,0
2017-12-13;8990;8990;8990;8990;458;4117420,0;-0,11
2017-12-14;8900;8900;8900;8900;3294;29316600,0;-1,0
2017-12-15;9000;9000;9000;9000;8158;73422000,0;1,12
2017-12-18;8990;8990;8990;8990;1761;15831390,0;-0,11
2017-12-19;8950;8950;8950;8950;4937;44186150,0;-0,44
2017-12-20;8945;8945;8945;8945;11243;100568635,0;-0,06
2017-12-21;8795;8795;8795;8795;1706;15004270,0;-1,68
2017-12-22;8900;8900;8900;8900;4066;36187400,0;1,19
2017-12-26;9000;9000;9000;9000;12724;114516000,0;1,12
2017-12-27;9000;9000;9000;9000;7467;67203000,0;0,0
2017-12-28;8990;8990;8990;8990;2132;19166680,0;-0,11
2017-12-29;9660;9660;9660;9660;99390;960107400,0;7,45
2018-01-02;9000;9000;9000;9000;145;1305000,0;-6,83
2018-01-03;8760;8760;8760;8760;1822;15960720,0;-2,67
2018-01-04;8900;8900;8900;8900;2381;21190900,0;1,6
2018-01-05;8880;8880;8880;8880;3297;29277360,0;-0,22
2018-01-08;8800;8800;8800;8800;915;8052000,0;-0,9
2018-01-09;8750;8750;8750;8750;655;5731250,0;-0,57
2018-01-10;8845;8845;8845;8845;405;3582225,0;1,09
2018-01-11;8840;8840;8840;8840;1765;15602600,0;-0,06
2018-01-12;8700;8700;8700;8700;1272;11066400,0;-1,58
2018-01-15;8700;8700;8700;8700;301;2618700,0;0,0
2018-01-16;8700;8700;8700;8700;578;5028600,0;0,0
2018-01-17;8700;8700;8700;8700;695;6046500,0;0,0
2018-01-18;8700;8700;8700;8700;5156;44857200,0;0,0
2018-01-19;8695;8695;8695;8695;1034;8990630,0;-0,06
2018-01-22;8500;8500;8500;8500;418;3553000,0;-2,24
2018-01-23;8600;8600;8600;8600;2574;22136400,0;1,18
