Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-08;3320,0;3320,0;3320,0;3320,0;5;16600,0;
2008-01-11;3320,0;3320,0;3320,0;3320,0;5;16600,0;0,0
2008-01-16;3320,0;3320,0;3320,0;3320,0;5280;17529600,0;0,0
2008-01-17;3320,0;3320,0;3320,0;3320,0;240;796800,0;0,0
2008-01-29;3335,0;3335,0;3335,0;3335,0;9;30015,0;0,45
2008-02-06;3335,0;3335,0;3335,0;3335,0;10;33350,0;0,0
2008-02-11;3335,0;3335,0;3335,0;3335,0;4;13340,0;0,0
2008-02-12;3335,0;3335,0;3335,0;3335,0;4;13340,0;0,0
2008-02-18;3335,0;3335,0;3335,0;3335,0;5;16675,0;0,0
2008-02-20;3335,0;3335,0;3335,0;3335,0;29;96715,0;0,0
2008-03-04;3335,0;3335,0;3335,0;3335,0;41;136735,0;0,0
2008-03-06;3335,0;3335,0;3335,0;3335,0;51;170085,0;0,0
2008-03-17;3335,0;3335,0;3335,0;3335,0;6;20010,0;0,0
2008-03-18;3550,0;3550,0;3550,0;3550,0;9;31950,0;6,45
2008-03-26;3550,0;3550,0;3550,0;3550,0;9;31950,0;0,0
2008-03-31;3550,0;3550,0;3550,0;3550,0;1;3550,0;0,0
2008-04-02;3585,0;3585,0;3585,0;3585,0;20;71700,0;0,99
2008-04-08;3585,0;3585,0;3585,0;3585,0;108;387180,0;0,0
2008-04-10;3600,0;3600,0;3600,0;3600,0;13;46800,0;0,42
2008-04-15;3600,0;3600,0;3600,0;3600,0;133;478800,0;0,0
2008-04-21;3600,0;3600,0;3600,0;3600,0;1;3600,0;0,0
2008-04-24;3600,0;3600,0;3600,0;3600,0;50;180000,0;0,0
2008-05-02;3600,0;3600,0;3600,0;3600,0;1;3600,0;0,0
2008-05-06;3600,0;3600,0;3600,0;3600,0;10;36000,0;0,0
2008-05-19;3600,0;3600,0;3600,0;3600,0;44;158400,0;0,0
2008-05-20;3600,0;3600,0;3600,0;3600,0;13;46800,0;0,0
2008-05-23;3600,0;3600,0;3600,0;3600,0;15;54000,0;0,0
2008-06-02;3625,0;3625,0;3625,0;3625,0;25;90625,0;0,69
2008-06-05;3600,0;3600,0;3600,0;3600,0;999;3596400,0;-0,69
2008-06-09;3600,0;3600,0;3600,0;3600,0;13;46800,0;0,0
2008-06-10;3600,0;3600,0;3600,0;3600,0;1;3600,0;0,0
2008-06-16;3600,0;3600,0;3600,0;3600,0;11;39600,0;0,0
2008-06-17;3600,0;3600,0;3600,0;3600,0;2;7200,0;0,0
2008-06-24;3615,0;3615,0;3615,0;3615,0;97;350655,0;0,42
2008-06-27;3615,0;3615,0;3615,0;3615,0;7;25305,0;0,0
2008-07-02;3700,0;3700,0;3700,0;3700,0;10;37000,0;2,35
2008-07-08;3701,0;3701,0;3701,0;3701,0;36;133236,0;0,03
2008-07-10;3701,0;3701,0;3701,0;3701,0;16;59216,0;0,0
2008-07-15;3900,0;3900,0;3900,0;3900,0;560;2184000,0;5,38
2008-07-21;3900,0;3900,0;3900,0;3900,0;40;156000,0;0,0
2008-07-22;3900,0;3900,0;3900,0;3900,0;5;19500,0;0,0
2008-07-23;3900,0;3900,0;3900,0;3900,0;18;70200,0;0,0
2008-07-25;3900,0;3900,0;3900,0;3900,0;2;7800,0;0,0
2008-07-29;3900,0;3900,0;3900,0;3900,0;4;15600,0;0,0
2008-08-01;3900,0;3900,0;3900,0;3900,0;1;3900,0;0,0
2008-08-04;3900,0;3900,0;3900,0;3900,0;12;46800,0;0,0
2008-08-06;4000,0;4000,0;4000,0;4000,0;8;32000,0;2,56
2008-08-08;3900,0;3900,0;3900,0;3900,0;150;585000,0;-2,5
2008-08-11;3900,0;3900,0;3900,0;3900,0;22;85800,0;0,0
2008-08-12;3900,0;3900,0;3900,0;3900,0;11;42900,0;0,0
2008-08-18;4000,0;4000,0;4000,0;4000,0;13;52000,0;2,56
2008-08-21;4000,0;4000,0;4000,0;4000,0;196;784000,0;0,0
2008-08-28;4000,0;4000,0;4000,0;4000,0;2;8000,0;0,0
2008-08-29;4000,0;4000,0;4000,0;4000,0;36;144000,0;0,0
2008-09-01;4050,0;4050,0;4050,0;4050,0;73;295650,0;1,25
2008-09-02;4050,0;4050,0;4050,0;4050,0;31;125550,0;0,0
2008-09-04;4050,0;4050,0;4050,0;4050,0;3;12150,0;0,0
2008-09-05;4050,0;4050,0;4050,0;4050,0;25;101250,0;0,0
2008-09-09;4050,0;4050,0;4050,0;4050,0;10;40500,0;0,0
2008-09-10;4050,0;4050,0;4050,0;4050,0;19;76950,0;0,0
2008-09-11;4060,0;4060,0;4060,0;4060,0;40;162400,0;0,25
2008-09-12;4060,0;4060,0;4060,0;4060,0;59;239540,0;0,0
2008-09-16;4060,0;4060,0;4060,0;4060,0;30;121800,0;0,0
2008-09-19;4060,0;4060,0;4060,0;4060,0;22;89320,0;0,0
2008-09-22;4060,0;4060,0;4060,0;4060,0;15;60900,0;0,0
2008-09-26;4050,0;4050,0;4050,0;4050,0;42;170100,0;-0,25
2008-09-29;4050,0;4050,0;4050,0;4050,0;66;267300,0;0,0
2008-10-01;4050,0;4050,0;4050,0;4050,0;15;60750,0;0,0
2008-10-02;4050,0;4050,0;4050,0;4050,0;6;24300,0;0,0
2008-10-07;4050,0;4050,0;4050,0;4050,0;45;182250,0;0,0
2008-10-08;4050,0;4050,0;4050,0;4050,0;1;4050,0;0,0
2008-10-10;4050,0;4050,0;4050,0;4050,0;14;56700,0;0,0
2008-10-13;4000,0;4000,0;4000,0;4000,0;11;44000,0;-1,23
2008-10-14;4000,0;4000,0;4000,0;4000,0;3919;15676000,0;0,0
2008-10-27;4000,0;4000,0;4000,0;4000,0;325;1300000,0;0,0
2008-10-28;4000,0;4000,0;4000,0;4000,0;168;672000,0;0,0
2008-10-29;4000,0;4000,0;4000,0;4000,0;62;248000,0;0,0
2008-10-30;4000,0;4000,0;4000,0;4000,0;12;48000,0;0,0
2008-10-31;4000,0;4000,0;4000,0;4000,0;74;296000,0;0,0
2008-11-03;4000,0;4000,0;4000,0;4000,0;59;236000,0;0,0
2008-11-05;4000,0;4000,0;4000,0;4000,0;25;100000,0;0,0
2008-11-25;3500,0;3500,0;3500,0;3500,0;501;1753500,0;-12,5
2008-12-05;3500,0;3500,0;3500,0;3500,0;10;35000,0;0,0
2008-12-11;3500,0;3500,0;3500,0;3500,0;1;3500,0;0,0
2008-12-16;3400,0;3400,0;3400,0;3400,0;13;44200,0;-2,86
2008-12-24;3400,0;3400,0;3400,0;3400,0;37;125800,0;0,0
2008-12-30;3400,0;3400,0;3400,0;3400,0;5;17000,0;0,0
2009-01-02;3400,0;3400,0;3400,0;3400,0;10;34000,0;0,0
2009-01-07;3400,0;3400,0;3400,0;3400,0;5;17000,0;0,0
2009-01-08;3400,0;3400,0;3400,0;3400,0;1;3400,0;0,0
2009-01-13;3400,0;3400,0;3400,0;3400,0;4;13600,0;0,0
2009-01-14;3400,0;3400,0;3400,0;3400,0;1;3400,0;0,0
2009-01-15;3400,0;3400,0;3400,0;3400,0;3;10200,0;0,0
2009-01-16;3400,0;3400,0;3400,0;3400,0;20;68000,0;0,0
2009-01-19;3400,0;3400,0;3400,0;3400,0;17;57800,0;0,0
2009-01-20;3400,0;3400,0;3400,0;3400,0;5;17000,0;0,0
2009-01-27;3400,0;3400,0;3400,0;3400,0;11;37400,0;0,0
2009-01-28;3400,0;3400,0;3400,0;3400,0;3;10200,0;0,0
2009-01-29;3400,0;3400,0;3400,0;3400,0;6;20400,0;0,0
2009-01-30;3400,0;3400,0;3400,0;3400,0;7;23800,0;0,0
2009-02-04;3400,0;3400,0;3400,0;3400,0;15;51000,0;0,0
2009-02-05;3400,0;3400,0;3400,0;3400,0;6;20400,0;0,0
2009-02-10;3401,0;3401,0;3401,0;3401,0;35;119035,0;0,03
