Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2022-12-30;10210;10210;10210;10210;50274;513297540,0;
2023-01-02;10220;10925;10220;10925;14868;157191930,0;7,0
2023-01-03;10920;10920;10500;10500;31367;335940570,0;-3,89
2023-01-04;10475;10500;10475;10500;20463;214605712,0;0,0
2023-01-05;10290;10485;10290;10485;9471;98380012,0;-0,14
2023-01-06;10460;10460;10370;10370;2144;22329760,0;-1,1
2023-01-09;10290;10290;10190;10190;17793;182200320,0;-1,74
2023-01-10;10005;10200;10005;10200;11444;115613010,0;0,1
2023-01-11;10100;10100;10000;10000;32458;326202900,0;-1,96
2023-01-12;10200;10200;10200;10200;3242;33068400,0;2,0
2023-01-13;10200;10200;10190;10190;1684;17168380,0;-0,1
2023-01-16;10200;10200;10175;10175;864;8802000,0;-0,15
2023-01-17;10175;10175;10000;10000;8718;87942825,0;-1,72
2023-01-18;10090;10090;10000;10000;23407;235123315,0;0,0
2023-01-19;10000;10000;10000;10000;4589;45890000,0;0,0
2023-01-20;10000;10000;10000;10000;2722;27220000,0;0,0
2023-01-23;10000;10000;10000;10000;14486;144860000,0;0,0
2023-01-24;10000;10000;10000;10000;2952;29520000,0;0,0
2023-01-25;10000;10000;10000;10000;6663;66630000,0;0,0
2023-01-26;10000;10050;10000;10050;2951;29583775,0;0,5
2023-01-27;10050;10050;10050;10050;1690;16984500,0;0,0
2023-01-30;10050;10050;10050;10050;2129;21396450,0;0,0
2023-01-31;10050;10150;10050;10150;18653;188395300,0;1,0
2023-02-01;10105;10450;10105;10450;73631;756742602,0;2,96
2023-02-02;10300;10445;10300;10445;6768;70201080,0;-0,05
2023-02-03;10440;10440;10300;10300;109586;1136406820,0;-1,39
2023-02-06;10400;10495;10400;10495;222028;2319637530,0;1,89
2023-02-07;10360;10495;10360;10495;90975;948641812,0;0,0
2023-02-08;10495;10495;10485;10485;3408;35749920,0;-0,1
