Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2019-04-16;4250;4250;4195;4195;1585;6692662,0;
2019-04-17;4170;4170;4150;4150;12877;53568320,0;-1,07
2019-04-18;4000;4100;4000;4100;37495;151854750,0;-1,2
2019-04-19;4095;4165;4095;4165;37547;155069110,0;1,59
2019-04-22;4095;4165;4095;4165;37547;155069110,0;0,0
2019-04-23;4100;4200;4100;4200;29060;120599000,0;0,84
2019-04-24;4000;4270;4000;4270;44259;183010965,0;1,67
2019-04-25;4000;4300;4000;4300;36520;151558000,0;0,7
2019-04-26;4215;4495;4215;4495;13558;59045090,0;4,53
2019-04-29;4300;4690;4300;4690;14846;66732770,0;4,34
2019-04-30;4425;4995;4425;4995;10614;49991940,0;6,5
2019-05-01;4425;4995;4425;4995;10614;49991940,0;0,0
2019-05-02;4625;5000;4625;5000;31416;151189500,0;0,1
2019-05-03;4885;4890;4885;4890;49;239488,0;-2,2
2019-05-06;4585;4600;4585;4600;518;2378915,0;-5,93
2019-05-07;4495;4495;4440;4440;23;102752,0;-3,48
2019-05-08;4340;4340;4300;4300;35;151200,0;-3,15
2019-05-09;4275;4275;4100;4100;498;2085375,0;-4,65
2019-05-10;4050;4100;4050;4100;947;3859025,0;0,0
2019-05-13;4070;4100;4070;4100;1532;6258220,0;0,0
2019-05-14;4000;4100;4000;4100;2652;10740600,0;0,0
2019-05-15;4095;4100;4095;4100;351;1438222,0;0,0
2019-05-16;4100;4100;4100;4100;490;2009000,0;0,0
2019-05-17;4050;4100;4050;4100;575;2343125,0;0,0
2019-05-20;4100;4100;4100;4100;70;287000,0;0,0
2019-05-21;4000;4100;4000;4100;2870;11623500,0;0,0
2019-05-22;4095;4100;4095;4100;32;131120,0;0,0
2019-05-23;4000;4100;4000;4100;799;3235950,0;0,0
2019-05-24;4100;4100;4100;4100;2;8200,0;0,0
2019-05-27;4000;4100;4000;4100;1804;7306200,0;0,0
2019-05-28;3920;4100;3920;4100;270;1082700,0;0,0
2019-05-29;3950;4100;3950;4100;2440;9821000,0;0,0
2019-05-30;3950;4100;3950;4100;2440;9821000,0;0,0
2019-05-31;4095;4100;4095;4100;423;1733242,0;0,0
2019-06-03;3920;4100;3920;4100;493;1976930,0;0,0
2019-06-05;3920;4100;3920;4100;6381;25587810,0;0,0
2019-06-06;4095;4100;4095;4100;2000;8195000,0;0,0
2019-06-11;4025;4100;4025;4100;2016;8190000,0;0,0
2019-06-12;3920;4100;3920;4100;2113;8473130,0;0,0
2019-06-14;4050;4100;4050;4100;1010;4115750,0;0,0
2019-06-17;4050;4100;4050;4100;1262;5142650,0;0,0
2019-06-18;4090;4100;4090;4100;4110;16830450,0;0,0
2019-06-19;4090;4100;4090;4100;4073;16678935,0;0,0
2019-06-20;4095;4100;4095;4100;1501;6150348,0;0,0
2019-06-21;4050;4100;4050;4100;531;2163825,0;0,0
2019-06-24;4050;4100;4050;4100;935;3810125,0;0,0
2019-06-25;4045;4100;4045;4100;3800;15475500,0;0,0
2019-06-26;4090;4100;4090;4100;2923;11969685,0;0,0
2019-06-27;4000;4000;4000;4000;502;2008000,0;-2,44
2019-07-01;4000;4000;4000;4000;150;600000,0;0,0
2019-07-02;4000;4000;4000;4000;2;8000,0;0,0
2019-07-03;3995;4000;3995;4000;142;567645,0;0,0
2019-07-04;3900;4000;3900;4000;282;1113900,0;0,0
2019-07-05;4000;4000;4000;4000;349;1396000,0;0,0
2019-07-08;3900;4000;3900;4000;403;1591850,0;0,0
2019-07-09;4000;4000;4000;4000;100;400000,0;0,0
2019-07-10;3995;4000;3995;4000;176;703560,0;0,0
2019-07-11;3995;4000;3995;4000;703;2810242,0;0,0
2019-07-12;4000;4000;4000;4000;450;1800000,0;0,0
2019-07-15;3995;4000;3995;4000;758;3030105,0;0,0
2019-07-16;3995;4000;3995;4000;439;1754902,0;0,0
2019-07-17;3900;4000;3900;4000;537;2121150,0;0,0
2019-07-18;4000;4000;4000;4000;150;600000,0;0,0
2019-07-19;4000;4000;4000;4000;100;400000,0;0,0
2019-07-22;3900;4000;3900;4000;907;3582650,0;0,0
2019-07-23;3900;4000;3900;4000;105;414750,0;0,0
2019-07-24;3995;4000;3995;4000;1022;4085445,0;0,0
2019-07-25;3900;4000;3900;4000;1805;7129750,0;0,0
