Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2014-07-11;18000;18000;18000;18000;1405;25290000,0;
2014-07-14;17505;17505;17505;17505;475;8314875,0;-2,75
2014-07-15;18800;18800;18800;18800;67;1259600,0;7,4
2014-07-16;18800;18800;18800;18800;203;3816400,0;0,0
2014-07-17;18500;18500;18500;18500;5510;101935000,0;-1,6
2014-07-18;18400;18400;18400;18400;50;920000,0;-0,54
2014-07-21;18800;18800;18800;18800;23193;436028400,0;2,17
2014-07-22;18700;18700;18700;18700;9694;181277800,0;-0,53
2014-07-23;18500;18500;18500;18500;82;1517000,0;-1,07
2014-07-25;18500;18500;18500;18500;56;1036000,0;0,0
2014-07-29;18505;18505;18505;18505;336;6217680,0;0,03
2014-07-30;18700;18700;18700;18700;1852;34632400,0;1,05
2014-07-31;18800;18800;18800;18800;114;2143200,0;0,53
2014-08-01;18700;18700;18700;18700;2504;46824800,0;-0,53
2014-08-04;18695;18695;18695;18695;144;2692080,0;-0,03
2014-08-05;18600;18600;18600;18600;56;1041600,0;-0,51
2014-08-06;18695;18695;18695;18695;211;3944645,0;0,51
2014-08-07;18695;18695;18695;18695;211;3944645,0;0,0
2014-08-08;19000;19000;19000;19000;18100;343900000,0;1,63
2014-08-11;18600;18600;18600;18600;347;6454200,0;-2,11
2014-08-12;18605;18605;18605;18605;1100;20465500,0;0,03
2014-08-13;19000;19000;19000;19000;156;2964000,0;2,12
2014-08-14;18800;18800;18800;18800;323;6072400,0;-1,05
2014-08-18;18800;18800;18800;18800;875;16450000,0;0,0
2014-08-19;18800;18800;18800;18800;155;2914000,0;0,0
2014-08-20;18800;18800;18800;18800;163;3064400,0;0,0
2014-08-21;18800;18800;18800;18800;387;7275600,0;0,0
2014-08-22;18600;18600;18600;18600;478;8890800,0;-1,06
2014-08-25;18900;18900;18900;18900;28;529200,0;1,61
2014-08-26;18650;18650;18650;18650;2942;54868300,0;-1,32
2014-08-27;18500;18500;18500;18500;699;12931500,0;-0,8
2014-08-28;18005;18005;18005;18005;2032;36586160,0;-2,68
2014-08-29;18000;18000;18000;18000;255;4590000,0;-0,03
2014-09-01;18000;18000;18000;18000;519;9342000,0;0,0
2014-09-02;18000;18000;18000;18000;44;792000,0;0,0
2014-09-03;17995;17995;17995;17995;70;1259650,0;-0,03
2014-09-04;18000;18000;18000;18000;365;6570000,0;0,03
2014-09-05;17650;17650;17650;17650;109;1923850,0;-1,94
2014-09-08;17655;17655;17655;17655;63;1112265,0;0,03
2014-09-09;17500;17500;17500;17500;1216;21280000,0;-0,88
2014-09-10;17600;17600;17600;17600;33;580800,0;0,57
2014-09-11;17300;17300;17300;17300;1689;29219700,0;-1,7
2014-09-12;17300;17300;17300;17300;41;709300,0;0,0
2014-09-15;17210;17210;17210;17210;171;2942910,0;-0,52
2014-09-16;17495;17495;17495;17495;91;1592045,0;1,66
2014-09-17;17500;17500;17500;17500;3131;54792500,0;0,03
2014-09-18;17165;17165;17165;17165;90;1544850,0;-1,91
2014-09-19;17500;17500;17500;17500;17;297500,0;1,95
2014-09-22;17500;17500;17500;17500;10243;179252500,0;0,0
2014-09-23;17500;17500;17500;17500;4148;72590000,0;0,0
2014-09-24;17300;17300;17300;17300;809;13995700,0;-1,14
2014-09-25;17200;17200;17200;17200;87;1496400,0;-0,58
2014-09-26;17150;17150;17150;17150;1001;17167150,0;-0,29
2014-09-29;17300;17300;17300;17300;108;1868400,0;0,87
2014-09-30;17500;17500;17500;17500;4048;70840000,0;1,16
2014-10-01;17305;17305;17305;17305;442;7648810,0;-1,11
2014-10-02;17500;17500;17500;17500;1068;18690000,0;1,13
2014-10-03;17500;17500;17500;17500;14;245000,0;0,0
2014-10-06;17400;17400;17400;17400;115;2001000,0;-0,57
2014-10-07;17450;17450;17450;17450;43;750350,0;0,29
2014-10-08;17450;17450;17450;17450;56;977200,0;0,0
2014-10-09;17205;17205;17205;17205;176;3028080,0;-1,4
