Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-11;852,0;852,0;852,0;852,0;3;2556,0;
2008-01-16;859,0;859,0;859,0;859,0;69;59271,0;0,82
2008-01-17;859,0;859,0;859,0;859,0;1;859,0;0,0
2008-02-08;859,0;859,0;859,0;859,0;1;859,0;0,0
2008-04-18;859,0;859,0;859,0;859,0;1;859,0;0,0
2008-05-08;859,0;859,0;859,0;859,0;1;859,0;0,0
2008-06-16;1068,0;1068,0;1068,0;1068,0;23;24564,0;24,33
2008-06-17;1148,0;1148,0;1148,0;1148,0;10;11480,0;7,49
2008-06-18;1234,0;1234,0;1234,0;1234,0;8;9872,0;7,49
2008-06-24;1425,0;1425,0;1425,0;1425,0;10;14250,0;15,48
2008-06-27;1532,0;1532,0;1532,0;1532,0;15;22980,0;7,51
2008-07-01;1647,0;1647,0;1647,0;1647,0;12;19764,0;7,51
2008-07-02;1771,0;1771,0;1771,0;1771,0;10;17710,0;7,53
2008-07-03;1904,0;1904,0;1904,0;1904,0;13;24752,0;7,51
2008-07-04;2031,0;2031,0;2031,0;2031,0;19;38589,0;6,67
2008-07-07;2172,0;2172,0;2172,0;2172,0;10;21720,0;6,94
2008-07-08;2335,0;2335,0;2335,0;2335,0;24;56040,0;7,5
2008-07-09;2335,0;2335,0;2335,0;2335,0;1;2335,0;0,0
2008-07-10;2188,0;2188,0;2188,0;2188,0;18;39384,0;-6,3
2008-07-17;2188,0;2188,0;2188,0;2188,0;23;50324,0;0,0
2008-07-24;2266,0;2266,0;2266,0;2266,0;18;40788,0;3,56
2008-07-28;2344,0;2344,0;2344,0;2344,0;11;25784,0;3,44
2008-07-30;2344,0;2344,0;2344,0;2344,0;93;217992,0;0,0
2008-07-31;2458,0;2458,0;2458,0;2458,0;12;29496,0;4,86
2008-08-08;2458,0;2458,0;2458,0;2458,0;10;24580,0;0,0
2008-08-12;2458,0;2458,0;2458,0;2458,0;6;14748,0;0,0
2008-08-13;2458,0;2458,0;2458,0;2458,0;10;24580,0;0,0
2008-09-01;2458,0;2458,0;2458,0;2458,0;15;36870,0;0,0
2008-09-08;2458,0;2458,0;2458,0;2458,0;22;54076,0;0,0
2008-09-11;2458,0;2458,0;2458,0;2458,0;1;2458,0;0,0
2008-09-12;2458,0;2458,0;2458,0;2458,0;22;54076,0;0,0
2008-09-18;2458,0;2458,0;2458,0;2458,0;2;4916,0;0,0
2008-09-22;2458,0;2458,0;2458,0;2458,0;1;2458,0;0,0
2008-10-02;2458,0;2458,0;2458,0;2458,0;16;39328,0;0,0
2008-10-06;2458,0;2458,0;2458,0;2458,0;30;73740,0;0,0
2008-10-22;2492,0;2492,0;2492,0;2492,0;10;24920,0;1,38
2008-10-23;2492,0;2492,0;2492,0;2492,0;6;14952,0;0,0
2008-10-24;2492,0;2492,0;2492,0;2492,0;36;89712,0;0,0
2008-11-07;2492,0;2492,0;2492,0;2492,0;29;72268,0;0,0
2008-11-18;2492,0;2492,0;2492,0;2492,0;1;2492,0;0,0
2008-11-21;2344,0;2344,0;2344,0;2344,0;50;117200,0;-5,94
