Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2018-07-19;230;230;230;230;250;57500,0;
2018-08-08;220;220;220;220;425;93500,0;-4,35
2018-08-13;220;220;220;220;50;11000,0;0,0
2018-08-14;220;220;220;220;125;27500,0;0,0
2018-08-22;220;220;220;220;200;44000,0;0,0
2018-08-27;220;220;220;220;25;5500,0;0,0
2018-10-03;204;204;204;204;175;35700,0;-7,27
2018-10-12;216;216;216;216;5000;1080000,0;5,88
2018-10-17;200;200;200;200;50;10000,0;-7,41
2018-11-02;200;200;200;200;500;100000,0;0,0
2018-11-05;200;200;200;200;750;150000,0;0,0
2018-11-06;214;214;214;214;625;133750,0;7,0
2018-11-16;219;219;219;219;100;21900,0;2,34
2018-11-21;230;230;230;230;1150;264500,0;5,02
2018-11-26;228;228;228;228;250;57000,0;-0,87
2018-11-29;228;228;228;228;1925;438900,0;0,0
2018-12-06;224;224;224;224;300;67200,0;-1,75
2018-12-10;224;224;224;224;100;22400,0;0,0
2018-12-12;224;224;224;224;150;33600,0;0,0
2018-12-13;207;207;207;207;25;5175,0;-7,59
2018-12-14;208;208;208;208;5200;1081600,0;0,48
2018-12-17;212;212;212;212;50;10600,0;1,92
2018-12-19;212;212;212;212;50;10600,0;0,0
2019-01-08;210;210;210;210;140;29400,0;-0,94
2019-01-11;200;200;200;200;85;17000,0;-4,76
2019-02-01;215;215;215;215;60;12900,0;7,5
2019-02-25;215;215;215;215;160;34400,0;0,0
2019-02-28;215;215;215;215;5;1075,0;0,0
2019-03-04;220;220;220;220;175;38500,0;2,33
2019-03-05;215;215;215;215;1186;254990,0;-2,27
2019-03-06;205;205;205;205;1194;244770,0;-4,65
2019-03-13;205;205;205;205;90;18450,0;0,0
2019-04-10;215;215;215;215;1250;268750,0;4,88
2019-04-12;230;230;230;230;24;5520,0;6,98
2019-04-29;235;235;235;235;300;70500,0;2,17
2019-05-06;250;250;250;250;265;66250,0;6,38
2019-05-14;255;255;255;255;120;30600,0;2,0
2019-05-16;260;260;260;260;1675;435500,0;1,96
2019-05-22;260;260;260;260;65;16900,0;0,0
2019-05-23;275;275;275;275;135;37125,0;5,77
2019-06-05;280;280;280;280;20;5600,0;1,82
2019-06-06;280;280;280;280;80;22400,0;0,0
2019-06-20;300;300;300;300;625;187500,0;7,14
2019-07-03;320;320;320;320;25;8000,0;6,67
2019-07-04;340;340;340;340;200;68000,0;6,25
2019-07-05;365;365;365;365;200;73000,0;7,35
2019-07-08;390;390;390;390;200;78000,0;6,85
2019-07-09;415;415;415;415;250;103750,0;6,41
2019-07-11;445;445;445;445;150;66750,0;7,23
2019-07-15;475;475;475;475;50;23750,0;6,74
2019-07-16;510;510;510;510;50;25500,0;7,37
2019-07-17;545;545;545;545;1764;961380,0;6,86
2019-07-18;545;545;545;545;230;125350,0;0,0
2019-07-19;505;505;505;505;1991;1005455,0;-7,34
2019-07-22;540;540;540;540;550;297000,0;6,93
2019-07-24;580;580;580;580;209;121220,0;7,41
2019-07-26;540;540;540;540;351;189540,0;-6,9
2019-07-29;540;540;540;540;32;17280,0;0,0
2019-07-30;540;540;540;540;4;2160,0;0,0
2019-07-31;540;540;540;540;2;1080,0;0,0
2019-08-02;540;540;540;540;711;383940,0;0,0
2019-08-05;540;540;540;540;185;99900,0;0,0
2019-08-06;500;500;500;500;315;157500,0;-7,41
2019-08-07;500;500;500;500;315;157500,0;0,0
2019-08-13;495;495;495;495;60;29700,0;-1,0
2019-08-16;500;500;500;500;50;25000,0;1,01
2019-08-19;500;500;500;500;8;4000,0;0,0
2019-08-27;500;500;500;500;3;1500,0;0,0
2019-09-09;500;500;500;500;120;60000,0;0,0
2019-09-11;495;495;495;495;22;10890,0;-1,0
2019-09-13;460;460;460;460;28;12880,0;-7,07
2019-09-17;490;490;490;490;2;980,0;6,52
2019-09-18;460;460;460;460;6;2760,0;-6,12
2019-09-24;440;440;440;440;10;4400,0;-4,35
2019-10-02;440;440;440;440;50;22000,0;0,0
2019-10-04;450;450;450;450;20;9000,0;2,27
2019-10-10;425;425;425;425;5;2125,0;-5,56
2019-10-28;415;415;415;415;275;114125,0;-2,35
2019-10-30;385;385;385;385;5;1925,0;-7,23
2019-11-14;360;360;360;360;10;3600,0;-6,49
2019-11-26;360;360;360;360;150;54000,0;0,0
2019-11-28;360;360;360;360;50;18000,0;0,0
2019-12-06;345;345;345;345;20;6900,0;-4,17
2019-12-19;335;335;335;335;60;20100,0;-2,9
2019-12-24;335;335;335;335;100;33500,0;0,0
2019-12-25;335;335;335;335;100;33500,0;0,0
2020-01-20;335;335;335;335;1420;475700,0;0,0
2020-01-28;345;345;345;345;75;25875,0;2,99
2020-01-29;345;345;345;345;250;86250,0;0,0
2020-02-03;345;345;345;345;495;170775,0;0,0
2020-02-06;345;345;345;345;100;34500,0;0,0
2020-02-14;345;345;345;345;1;345,0;0,0
2020-02-19;330;330;330;330;10;3300,0;-4,35
2020-02-20;345;345;345;345;2;690,0;4,55
2020-02-21;330;330;330;330;15;4950,0;-4,35
2020-02-25;345;345;345;345;30;10350,0;4,55
2020-02-26;345;345;345;345;250;86250,0;0,0
2020-02-27;340;340;340;340;30;10200,0;-1,45
2020-03-03;345;345;345;345;30;10350,0;1,47
2020-03-04;340;340;340;340;150;51000,0;-1,45
2020-03-09;340;340;340;340;200;68000,0;0,0
2020-03-13;340;340;340;340;100;34000,0;0,0
2020-03-19;325;325;325;325;8;2600,0;-4,41
2020-03-20;340;340;340;340;200;68000,0;4,62
