Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2016-12-29;3494;3494;3494;3494;0;0,0;
2016-12-30;3755;3755;3755;3755;120;450600,0;7,47
2017-01-02;3624;3624;3624;3624;9978;36160272,0;-3,49
2017-01-03;3500;3500;3500;3500;3822;13377000,0;-3,42
2017-01-04;3499;3499;3499;3499;1131;3957369,0;-0,03
2017-01-05;3425;3425;3425;3425;1727;5914975,0;-2,11
2017-01-06;3375;3375;3375;3375;882;2976750,0;-1,46
2017-01-09;3250;3250;3250;3250;1269;4124250,0;-3,7
2017-01-10;3250;3250;3250;3250;1403;4559750,0;0,0
2017-01-11;3200;3200;3200;3200;835;2672000,0;-1,54
2017-01-12;3211;3211;3211;3211;744;2388984,0;0,34
2017-01-13;3013;3013;3013;3013;569;1714397,0;-6,17
2017-01-16;3013;3013;3013;3013;1673;5040749,0;0,0
2017-01-17;3000;3000;3000;3000;411;1233000,0;-0,43
2017-01-18;2800;2800;2800;2800;623;1744400,0;-6,67
2017-01-19;2873;2873;2873;2873;1428;4102644,0;2,61
2017-01-20;2875;2875;2875;2875;765;2199375,0;0,07
2017-01-23;2875;2875;2875;2875;1246;3582250,0;0,0
2017-01-24;2876;2876;2876;2876;519;1492644,0;0,03
2017-01-25;2903;2903;2903;2903;730;2119190,0;0,94
2017-01-26;2924;2924;2924;2924;718;2099432,0;0,72
2017-01-27;2924;2924;2924;2924;969;2833356,0;0,0
2017-01-30;2750;2750;2750;2750;742;2040500,0;-5,95
2017-01-31;2750;2750;2750;2750;224;616000,0;0,0
2017-02-01;2800;2800;2800;2800;2217;6207600,0;1,82
2017-02-02;2800;2800;2800;2800;1642;4597600,0;0,0
2017-02-03;2925;2925;2925;2925;3217;9409725,0;4,46
2017-02-06;2944;2944;2944;2944;1473;4336512,0;0,65
2017-02-07;2875;2875;2875;2875;267;767625,0;-2,34
2017-02-08;2828;2828;2828;2828;1002;2833656,0;-1,63
2017-02-09;2828;2828;2828;2828;355;1003940,0;0,0
2017-02-10;2825;2825;2825;2825;178;502850,0;-0,11
2017-02-13;2775;2775;2775;2775;394;1093350,0;-1,77
2017-02-14;2848;2848;2848;2848;203;578144,0;2,63
2017-02-15;2925;2925;2925;2925;1959;5730075,0;2,7
2017-02-16;2825;2825;2825;2825;326;920950,0;-3,42
2017-02-17;2799;2799;2799;2799;119;333081,0;-0,92
2017-02-20;2800;2800;2800;2800;961;2690800,0;0,04
2017-02-21;2875;2875;2875;2875;2449;7040875,0;2,68
2017-02-22;3090;3090;3090;3090;1818;5617620,0;7,48
2017-02-23;2988;2988;2988;2988;393;1174284,0;-3,3
2017-02-24;2963;2963;2963;2963;320;948160,0;-0,84
2017-02-27;2800;2800;2800;2800;396;1108800,0;-5,5
2017-02-28;3000;3000;3000;3000;5032;15096000,0;7,14
2017-03-01;2999;2999;2999;2999;1494;4480506,0;-0,03
2017-03-02;2801;2801;2801;2801;438;1226838,0;-6,6
2017-03-03;2999;2999;2999;2999;230;689770,0;7,07
2017-03-06;2849;2849;2849;2849;276;786324,0;-5,0
2017-03-07;2838;2838;2838;2838;165;468270,0;-0,39
2017-03-08;2753;2753;2753;2753;898;2472194,0;-3,0
2017-03-09;2750;2750;2750;2750;1372;3773000,0;-0,11
2017-03-10;2750;2750;2750;2750;179;492250,0;0,0
2017-03-13;2750;2750;2750;2750;1880;5170000,0;0,0
