Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-02;951,0;951,0;951,0;951,0;12;11412,0;
2008-01-03;991,0;991,0;991,0;991,0;11;10901,0;4,21
2008-01-04;991,0;991,0;991,0;991,0;90;89190,0;0,0
2008-01-07;991,0;991,0;991,0;991,0;15;14865,0;0,0
2008-01-08;991,0;991,0;991,0;991,0;10;9910,0;0,0
2008-01-14;991,0;991,0;991,0;991,0;3;2973,0;0,0
2008-01-15;990,0;990,0;990,0;990,0;30;29700,0;-0,1
2008-01-17;990,0;990,0;990,0;990,0;39;38610,0;0,0
2008-01-18;925,0;925,0;925,0;925,0;69;63825,0;-6,57
2008-01-21;925,0;925,0;925,0;925,0;578;534650,0;0,0
2008-01-30;994,0;994,0;994,0;994,0;15;14910,0;7,46
2008-02-01;994,0;994,0;994,0;994,0;3;2982,0;0,0
2008-02-06;994,0;994,0;994,0;994,0;1;994,0;0,0
2008-02-08;994,0;994,0;994,0;994,0;10;9940,0;0,0
2008-02-11;994,0;994,0;994,0;994,0;5;4970,0;0,0
2008-02-12;994,0;994,0;994,0;994,0;16;15904,0;0,0
2008-02-14;1000,0;1000,0;1000,0;1000,0;571;571000,0;0,6
2008-02-15;994,0;994,0;994,0;994,0;29;28826,0;-0,6
2008-02-18;994,0;994,0;994,0;994,0;20;19880,0;0,0
2008-03-05;1000,0;1000,0;1000,0;1000,0;24;24000,0;0,6
2008-03-11;1025,0;1025,0;1025,0;1025,0;24;24600,0;2,5
2008-03-12;1025,0;1025,0;1025,0;1025,0;45;46125,0;0,0
2008-03-13;1025,0;1025,0;1025,0;1025,0;3;3075,0;0,0
2008-03-14;1026,0;1026,0;1026,0;1026,0;96;98496,0;0,1
2008-03-25;1026,0;1026,0;1026,0;1026,0;1;1026,0;0,0
2008-04-02;1100,0;1100,0;1100,0;1100,0;146;160600,0;7,21
2008-04-03;1100,0;1100,0;1100,0;1100,0;39;42900,0;0,0
2008-04-04;1100,0;1100,0;1100,0;1100,0;18;19800,0;0,0
2008-04-08;1110,0;1110,0;1110,0;1110,0;58;64380,0;0,91
2008-04-09;1110,0;1110,0;1110,0;1110,0;36;39960,0;0,0
2008-04-16;1121,0;1121,0;1121,0;1121,0;21;23541,0;0,99
2008-04-17;1200,0;1200,0;1200,0;1200,0;31;37200,0;7,05
2008-04-23;1200,0;1200,0;1200,0;1200,0;20;24000,0;0,0
2008-04-29;1200,0;1200,0;1200,0;1200,0;1;1200,0;0,0
2008-04-30;1200,0;1200,0;1200,0;1200,0;9;10800,0;0,0
2008-05-07;1200,0;1200,0;1200,0;1200,0;188;225600,0;0,0
2008-05-08;1200,0;1200,0;1200,0;1200,0;25;30000,0;0,0
2008-05-09;1200,0;1200,0;1200,0;1200,0;93;111600,0;0,0
2008-05-13;1200,0;1200,0;1200,0;1200,0;70;84000,0;0,0
2008-05-14;1200,0;1200,0;1200,0;1200,0;59;70800,0;0,0
2008-05-15;1200,0;1200,0;1200,0;1200,0;15;18000,0;0,0
2008-05-16;1200,0;1200,0;1200,0;1200,0;27;32400,0;0,0
2008-05-19;1200,0;1200,0;1200,0;1200,0;36;43200,0;0,0
2008-05-21;1200,0;1200,0;1200,0;1200,0;11;13200,0;0,0
2008-05-22;1200,0;1200,0;1200,0;1200,0;1;1200,0;0,0
2008-06-02;1200,0;1200,0;1200,0;1200,0;10;12000,0;0,0
2008-06-06;1200,0;1200,0;1200,0;1200,0;576;691200,0;0,0
2008-06-09;1200,0;1200,0;1200,0;1200,0;73;87600,0;0,0
2008-06-11;1200,0;1200,0;1200,0;1200,0;26;31200,0;0,0
2008-06-12;1200,0;1200,0;1200,0;1200,0;4;4800,0;0,0
2008-06-17;1200,0;1200,0;1200,0;1200,0;6;7200,0;0,0
2008-06-18;1200,0;1200,0;1200,0;1200,0;90;108000,0;0,0
2008-06-23;1200,0;1200,0;1200,0;1200,0;235;282000,0;0,0
2008-06-25;1200,0;1200,0;1200,0;1200,0;2;2400,0;0,0
2008-06-26;1200,0;1200,0;1200,0;1200,0;752;902400,0;0,0
2008-07-01;1200,0;1200,0;1200,0;1200,0;50;60000,0;0,0
2008-07-02;1200,0;1200,0;1200,0;1200,0;24;28800,0;0,0
2008-07-04;1201,0;1201,0;1201,0;1201,0;14;16814,0;0,08
2008-07-11;1200,0;1200,0;1200,0;1200,0;27;32400,0;-0,08
2008-07-15;1200,0;1200,0;1200,0;1200,0;34;40800,0;0,0
2008-07-17;1200,0;1200,0;1200,0;1200,0;122;146400,0;0,0
2008-07-18;1200,0;1200,0;1200,0;1200,0;67;80400,0;0,0
2008-07-25;1200,0;1200,0;1200,0;1200,0;99;118800,0;0,0
2008-07-28;1200,0;1200,0;1200,0;1200,0;22;26400,0;0,0
2008-07-29;1200,0;1200,0;1200,0;1200,0;24;28800,0;0,0
2008-08-05;1200,0;1200,0;1200,0;1200,0;13;15600,0;0,0
2008-08-25;1200,0;1200,0;1200,0;1200,0;5;6000,0;0,0
2008-08-27;1200,0;1200,0;1200,0;1200,0;1;1200,0;0,0
2008-08-29;1200,0;1200,0;1200,0;1200,0;30;36000,0;0,0
2008-09-03;1200,0;1200,0;1200,0;1200,0;8;9600,0;0,0
2008-09-04;1200,0;1200,0;1200,0;1200,0;22;26400,0;0,0
2008-09-08;1200,0;1200,0;1200,0;1200,0;89;106800,0;0,0
2008-09-09;1290,0;1290,0;1290,0;1290,0;68;87720,0;7,5
2008-09-11;1387,0;1387,0;1387,0;1387,0;76;105412,0;7,52
2008-09-12;1490,0;1490,0;1490,0;1490,0;15;22350,0;7,43
2008-09-18;1600,0;1600,0;1600,0;1600,0;341;545600,0;7,38
2008-09-19;1600,0;1600,0;1600,0;1600,0;4;6400,0;0,0
2008-09-22;1590,0;1590,0;1590,0;1590,0;29;46110,0;-0,62
2008-09-23;1600,0;1600,0;1600,0;1600,0;69;110400,0;0,63
2008-09-25;1600,0;1600,0;1600,0;1600,0;4;6400,0;0,0
2008-09-26;1600,0;1600,0;1600,0;1600,0;137;219200,0;0,0
2008-09-29;1600,0;1600,0;1600,0;1600,0;11;17600,0;0,0
2008-10-01;1600,0;1600,0;1600,0;1600,0;36;57600,0;0,0
2008-10-02;1600,0;1600,0;1600,0;1600,0;2;3200,0;0,0
2008-10-03;1600,0;1600,0;1600,0;1600,0;7;11200,0;0,0
2008-10-06;1650,0;1650,0;1650,0;1650,0;13;21450,0;3,12
2008-10-08;1600,0;1600,0;1600,0;1600,0;41;65600,0;-3,03
2008-10-10;1600,0;1600,0;1600,0;1600,0;73;116800,0;0,0
2008-10-14;1600,0;1600,0;1600,0;1600,0;10;16000,0;0,0
2008-10-15;1600,0;1600,0;1600,0;1600,0;34;54400,0;0,0
2008-10-16;1600,0;1600,0;1600,0;1600,0;30;48000,0;0,0
2008-10-17;1600,0;1600,0;1600,0;1600,0;2;3200,0;0,0
2008-10-23;1600,0;1600,0;1600,0;1600,0;9;14400,0;0,0
2008-10-30;1530,0;1530,0;1530,0;1530,0;18;27540,0;-4,37
2008-10-31;1530,0;1530,0;1530,0;1530,0;135;206550,0;0,0
2008-11-04;1600,0;1600,0;1600,0;1600,0;22;35200,0;4,58
2008-11-07;1600,0;1600,0;1600,0;1600,0;1;1600,0;0,0
2008-11-11;1600,0;1600,0;1600,0;1600,0;17;27200,0;0,0
2008-11-19;1500,0;1500,0;1500,0;1500,0;134;201000,0;-6,25
2008-11-21;1400,0;1400,0;1400,0;1400,0;77;107800,0;-6,67
2008-12-05;1400,0;1400,0;1400,0;1400,0;1;1400,0;0,0
2008-12-29;1295,0;1295,0;1295,0;1295,0;41;53095,0;-7,5
2008-12-30;1392,0;1392,0;1392,0;1392,0;929;1293168,0;7,49
2008-12-31;1496,0;1496,0;1496,0;1496,0;32;47872,0;7,47
2009-01-09;1496,0;1496,0;1496,0;1496,0;1;1496,0;0,0
2009-01-16;1496,0;1496,0;1496,0;1496,0;7;10472,0;0,0
2009-01-20;1496,0;1496,0;1496,0;1496,0;2;2992,0;0,0
2009-01-27;1496,0;1496,0;1496,0;1496,0;5;7480,0;0,0
2009-02-02;1496,0;1496,0;1496,0;1496,0;2;2992,0;0,0
2009-02-04;1496,0;1496,0;1496,0;1496,0;10;14960,0;0,0
2009-02-24;1400,0;1400,0;1400,0;1400,0;1000;1400000,0;-6,42
2009-02-26;1400,0;1400,0;1400,0;1400,0;531;743400,0;0,0
2009-03-06;1400,0;1400,0;1400,0;1400,0;40;56000,0;0,0
2009-03-12;1400,0;1400,0;1400,0;1400,0;9;12600,0;0,0
2009-03-20;1300,0;1300,0;1300,0;1300,0;36;46800,0;-7,14
2009-03-23;1300,0;1300,0;1300,0;1300,0;27;35100,0;0,0
2009-03-30;1203,0;1203,0;1203,0;1203,0;63;75789,0;-7,46
2009-03-31;1203,0;1203,0;1203,0;1203,0;51;61353,0;0,0
2009-04-01;1203,0;1203,0;1203,0;1203,0;8;9624,0;0,0
2009-04-02;1203,0;1203,0;1203,0;1203,0;49;58947,0;0,0
2009-04-03;1203,0;1203,0;1203,0;1203,0;8;9624,0;0,0
2009-04-15;1203,0;1203,0;1203,0;1203,0;36;43308,0;0,0
2009-04-16;1113,0;1113,0;1113,0;1113,0;117;130221,0;-7,48
2009-04-17;1113,0;1113,0;1113,0;1113,0;95;105735,0;0,0
2009-04-20;1100,0;1100,0;1100,0;1100,0;20;22000,0;-1,17
2009-04-21;1100,0;1100,0;1100,0;1100,0;8;8800,0;0,0
2009-04-28;1100,0;1100,0;1100,0;1100,0;17;18700,0;0,0
2009-04-29;1100,0;1100,0;1100,0;1100,0;40;44000,0;0,0
2009-05-18;1100,0;1100,0;1100,0;1100,0;20;22000,0;0,0
2009-05-20;1100,0;1100,0;1100,0;1100,0;7;7700,0;0,0
2009-05-25;1100,0;1100,0;1100,0;1100,0;30;33000,0;0,0
2009-05-26;1100,0;1100,0;1100,0;1100,0;5;5500,0;0,0
2009-05-27;1100,0;1100,0;1100,0;1100,0;9;9900,0;0,0
2009-05-28;1100,0;1100,0;1100,0;1100,0;1;1100,0;0,0
2009-06-05;1100,0;1100,0;1100,0;1100,0;40;44000,0;0,0
2009-06-11;1100,0;1100,0;1100,0;1100,0;5;5500,0;0,0
2009-06-15;1100,0;1100,0;1100,0;1100,0;9;9900,0;0,0
2009-06-16;1100,0;1100,0;1100,0;1100,0;100;110000,0;0,0
2009-06-19;1100,0;1100,0;1100,0;1100,0;114;125400,0;0,0
2009-06-24;1100,0;1100,0;1100,0;1100,0;1;1100,0;0,0
2009-07-01;1101,0;1101,0;1101,0;1101,0;20;22020,0;0,09
2009-07-03;1101,0;1101,0;1101,0;1101,0;33;36333,0;0,0
2009-07-07;1101,0;1101,0;1101,0;1101,0;13;14313,0;0,0
2009-07-09;1112,0;1112,0;1112,0;1112,0;25;27800,0;1,0
2009-07-13;1135,0;1135,0;1135,0;1135,0;21;23835,0;2,07
2009-07-14;1150,0;1150,0;1150,0;1150,0;41;47150,0;1,32
2009-07-15;1151,0;1151,0;1151,0;1151,0;16;18416,0;0,09
2009-07-16;1151,0;1151,0;1151,0;1151,0;6;6906,0;0,0
2009-07-17;1151,0;1151,0;1151,0;1151,0;66;75966,0;0,0
2009-07-20;1151,0;1151,0;1151,0;1151,0;28;32228,0;0,0
2009-07-21;1150,0;1150,0;1150,0;1150,0;23;26450,0;-0,09
2009-07-22;1150,0;1150,0;1150,0;1150,0;3;3450,0;0,0
2009-07-23;1111,0;1111,0;1111,0;1111,0;13;14443,0;-3,39
2009-07-28;1110,0;1110,0;1110,0;1110,0;38;42180,0;-0,09
2009-07-29;1100,0;1100,0;1100,0;1100,0;10;11000,0;-0,9
2009-07-30;1100,0;1100,0;1100,0;1100,0;1;1100,0;0,0
2009-08-04;1080,0;1080,0;1080,0;1080,0;42;45360,0;-1,82
2009-08-05;1080,0;1080,0;1080,0;1080,0;3;3240,0;0,0
2009-08-13;1050,0;1050,0;1050,0;1050,0;62;65100,0;-2,78
2009-08-14;1050,0;1050,0;1050,0;1050,0;8;8400,0;0,0
2009-08-17;1050,0;1050,0;1050,0;1050,0;45;47250,0;0,0
2009-08-18;1050,0;1050,0;1050,0;1050,0;50;52500,0;0,0
2009-08-19;1050,0;1050,0;1050,0;1050,0;113;118650,0;0,0
2009-08-24;1050,0;1050,0;1050,0;1050,0;404;424200,0;0,0
2009-08-25;1050,0;1050,0;1050,0;1050,0;3;3150,0;0,0
2009-08-27;1050,0;1050,0;1050,0;1050,0;19;19950,0;0,0
2009-08-28;1050,0;1050,0;1050,0;1050,0;100;105000,0;0,0
2009-08-31;1050,0;1050,0;1050,0;1050,0;10;10500,0;0,0
2009-09-01;1050,0;1050,0;1050,0;1050,0;6;6300,0;0,0
2009-09-02;1050,0;1050,0;1050,0;1050,0;77;80850,0;0,0
2009-09-03;1050,0;1050,0;1050,0;1050,0;60;63000,0;0,0
2009-09-10;1024,0;1024,0;1024,0;1024,0;86;88064,0;-2,48
2009-09-11;1024,0;1024,0;1024,0;1024,0;69;70656,0;0,0
2009-09-14;1024,0;1024,0;1024,0;1024,0;11;11264,0;0,0
2009-09-15;1050,0;1050,0;1050,0;1050,0;54;56700,0;2,54
2009-09-16;1060,0;1060,0;1060,0;1060,0;23;24380,0;0,95
2009-09-18;1055,0;1055,0;1055,0;1055,0;41;43255,0;-0,47
2009-09-23;1050,0;1050,0;1050,0;1050,0;28;29400,0;-0,47
2009-09-25;1050,0;1050,0;1050,0;1050,0;2;2100,0;0,0
2009-09-30;1000,0;1000,0;1000,0;1000,0;98;98000,0;-4,76
2009-10-05;1000,0;1000,0;1000,0;1000,0;280;280000,0;0,0
2009-10-06;1000,0;1000,0;1000,0;1000,0;149;149000,0;0,0
