Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-02;950,0;950,0;950,0;950,0;53;50350,0;
2008-01-03;950,0;950,0;950,0;950,0;17;16150,0;0,0
2008-01-04;950,0;950,0;950,0;950,0;11;10450,0;0,0
2008-01-07;950,0;950,0;950,0;950,0;51;48450,0;0,0
2008-01-08;950,0;950,0;950,0;950,0;7;6650,0;0,0
2008-01-10;940,0;940,0;940,0;940,0;21;19740,0;-1,05
2008-01-11;940,0;940,0;940,0;940,0;12;11280,0;0,0
2008-01-14;940,0;940,0;940,0;940,0;13;12220,0;0,0
2008-01-15;940,0;940,0;940,0;940,0;18;16920,0;0,0
2008-01-21;940,0;940,0;940,0;940,0;123;115620,0;0,0
2008-01-24;918,0;918,0;918,0;918,0;30;27540,0;-2,34
2008-01-28;920,0;920,0;920,0;920,0;18;16560,0;0,22
2008-01-29;920,0;920,0;920,0;920,0;26;23920,0;0,0
2008-01-30;920,0;920,0;920,0;920,0;23;21160,0;0,0
2008-02-01;920,0;920,0;920,0;920,0;142;130640,0;0,0
2008-02-05;920,0;920,0;920,0;920,0;23;21160,0;0,0
2008-02-07;900,0;900,0;900,0;900,0;47;42300,0;-2,17
2008-02-08;880,0;880,0;880,0;880,0;158;139040,0;-2,22
2008-02-11;880,0;880,0;880,0;880,0;241;212080,0;0,0
2008-02-12;876,0;876,0;876,0;876,0;26;22776,0;-0,45
2008-02-13;860,0;860,0;860,0;860,0;124;106640,0;-1,83
2008-02-14;860,0;860,0;860,0;860,0;124;106640,0;0,0
2008-02-15;860,0;860,0;860,0;860,0;240;206400,0;0,0
2008-02-18;920,0;920,0;920,0;920,0;2192;2016640,0;6,98
2008-02-19;920,0;920,0;920,0;920,0;7513;6911960,0;0,0
2008-02-20;920,0;920,0;920,0;920,0;10;9200,0;0,0
2008-02-22;920,0;920,0;920,0;920,0;47;43240,0;0,0
2008-02-25;919,0;919,0;919,0;919,0;16;14704,0;-0,11
2008-02-26;920,0;920,0;920,0;920,0;251;230920,0;0,11
2008-02-27;920,0;920,0;920,0;920,0;37;34040,0;0,0
2008-02-28;920,0;920,0;920,0;920,0;230;211600,0;0,0
2008-03-03;900,0;900,0;900,0;900,0;40;36000,0;-2,17
2008-03-04;900,0;900,0;900,0;900,0;10;9000,0;0,0
2008-03-05;900,0;900,0;900,0;900,0;244;219600,0;0,0
2008-03-06;900,0;900,0;900,0;900,0;180;162000,0;0,0
2008-03-07;900,0;900,0;900,0;900,0;28;25200,0;0,0
2008-03-10;900,0;900,0;900,0;900,0;82;73800,0;0,0
2008-03-11;900,0;900,0;900,0;900,0;26;23400,0;0,0
2008-03-13;900,0;900,0;900,0;900,0;10;9000,0;0,0
2008-03-14;900,0;900,0;900,0;900,0;9;8100,0;0,0
2008-03-17;900,0;900,0;900,0;900,0;10;9000,0;0,0
2008-03-25;900,0;900,0;900,0;900,0;1;900,0;0,0
2008-03-28;968,0;968,0;968,0;968,0;18;17424,0;7,56
2008-04-01;970,0;970,0;970,0;970,0;28;27160,0;0,21
2008-04-07;985,0;985,0;985,0;985,0;8;7880,0;1,55
2008-04-09;1042,0;1042,0;1042,0;1042,0;25;26050,0;5,79
2008-04-11;1042,0;1042,0;1042,0;1042,0;10;10420,0;0,0
2008-04-23;1042,0;1042,0;1042,0;1042,0;32;33344,0;0,0
2008-04-28;1051,0;1051,0;1051,0;1051,0;25;26275,0;0,86
2008-04-29;1051,0;1051,0;1051,0;1051,0;9;9459,0;0,0
2008-05-05;1051,0;1051,0;1051,0;1051,0;196;205996,0;0,0
2008-05-06;1051,0;1051,0;1051,0;1051,0;10;10510,0;0,0
2008-05-07;1051,0;1051,0;1051,0;1051,0;130;136630,0;0,0
2008-05-15;960,0;960,0;960,0;960,0;110;105600,0;-8,66
2008-05-16;960,0;960,0;960,0;960,0;136;130560,0;0,0
2008-05-20;940,0;940,0;940,0;940,0;90;84600,0;-2,08
2008-05-22;920,0;920,0;920,0;920,0;42;38640,0;-2,13
2008-05-23;960,0;960,0;960,0;960,0;18;17280,0;4,35
2008-05-26;920,0;920,0;920,0;920,0;15;13800,0;-4,17
2008-05-27;920,0;920,0;920,0;920,0;300;276000,0;0,0
2008-05-28;920,0;920,0;920,0;920,0;105;96600,0;0,0
2008-05-29;920,0;920,0;920,0;920,0;33;30360,0;0,0
2008-05-30;920,0;920,0;920,0;920,0;47;43240,0;0,0
2008-06-03;900,0;900,0;900,0;900,0;180;162000,0;-2,17
2008-06-04;900,0;900,0;900,0;900,0;151;135900,0;0,0
2008-06-06;920,0;920,0;920,0;920,0;76;69920,0;2,22
2008-06-12;926,0;926,0;926,0;926,0;43;39818,0;0,65
2008-06-13;930,0;930,0;930,0;930,0;10;9300,0;0,43
2008-06-17;930,0;930,0;930,0;930,0;20;18600,0;0,0
