Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-02;2760,0;2760,0;2760,0;2760,0;56;154560,0;
2008-01-03;2760,0;2760,0;2760,0;2760,0;10;27600,0;0,0
2008-01-04;2750,0;2750,0;2750,0;2750,0;16;44000,0;-0,36
2008-01-07;2695,0;2695,0;2695,0;2695,0;63;169785,0;-2,0
2008-01-08;2695,0;2695,0;2695,0;2695,0;74;199430,0;0,0
2008-01-09;2700,0;2700,0;2700,0;2700,0;67;180900,0;0,19
2008-01-10;2700,0;2700,0;2700,0;2700,0;23;62100,0;0,0
2008-01-14;2761,0;2761,0;2761,0;2761,0;32;88352,0;2,26
2008-01-16;2800,0;2800,0;2800,0;2800,0;17;47600,0;1,41
2008-01-17;2816,0;2816,0;2816,0;2816,0;10;28160,0;0,57
2008-01-22;2850,0;2850,0;2850,0;2850,0;420;1197000,0;1,21
2008-01-24;2866,0;2866,0;2866,0;2866,0;38;108908,0;0,56
2008-02-05;2866,0;2866,0;2866,0;2866,0;5;14330,0;0,0
2008-02-08;2900,0;2900,0;2900,0;2900,0;9;26100,0;1,19
2008-02-12;2903,0;2903,0;2903,0;2903,0;79;229337,0;0,1
2008-02-14;2900,0;2900,0;2900,0;2900,0;100;290000,0;-0,1
2008-02-19;2903,0;2903,0;2903,0;2903,0;30;87090,0;0,1
2008-02-21;2903,0;2903,0;2903,0;2903,0;1;2903,0;0,0
2008-02-25;2905,0;2905,0;2905,0;2905,0;16;46480,0;0,07
2008-03-11;3101,0;3101,0;3101,0;3101,0;39;120939,0;6,75
2008-03-12;3303,0;3303,0;3303,0;3303,0;71;234513,0;6,51
2008-03-14;3303,0;3303,0;3303,0;3303,0;27;89181,0;0,0
2008-03-17;3303,0;3303,0;3303,0;3303,0;10;33030,0;0,0
2008-03-27;3551,0;3551,0;3551,0;3551,0;343;1217993,0;7,51
2008-03-28;3550,0;3550,0;3550,0;3550,0;111;394050,0;-0,03
2008-04-01;3601,0;3601,0;3601,0;3601,0;20;72020,0;1,44
2008-04-02;3601,0;3601,0;3601,0;3601,0;25;90025,0;0,0
2008-04-03;3600,0;3600,0;3600,0;3600,0;64;230400,0;-0,03
2008-04-04;3600,0;3600,0;3600,0;3600,0;21;75600,0;0,0
2008-04-08;3330,0;3330,0;3330,0;3330,0;228;759240,0;-7,5
2008-04-10;3700,0;3700,0;3700,0;3700,0;46143;170729100,0;11,11
2008-04-14;3700,0;3700,0;3700,0;3700,0;5;18500,0;0,0
2008-04-15;3699,0;3699,0;3699,0;3699,0;16;59184,0;-0,03
2008-04-16;3700,0;3700,0;3700,0;3700,0;16;59200,0;0,03
2008-04-21;3721,0;3721,0;3721,0;3721,0;9;33489,0;0,57
2008-04-30;3851,0;3851,0;3851,0;3851,0;20;77020,0;3,49
2008-05-06;3900,0;3900,0;3900,0;3900,0;20;78000,0;1,27
2008-05-07;3900,0;3900,0;3900,0;3900,0;20;78000,0;0,0
2008-05-09;3900,0;3900,0;3900,0;3900,0;14;54600,0;0,0
2008-05-13;3900,0;3900,0;3900,0;3900,0;60;234000,0;0,0
2008-05-15;4193,0;4193,0;4193,0;4193,0;44;184492,0;7,51
2008-05-16;4193,0;4193,0;4193,0;4193,0;37;155141,0;0,0
2008-05-19;4150,0;4150,0;4150,0;4150,0;50;207500,0;-1,03
2008-05-20;4193,0;4193,0;4193,0;4193,0;188;788284,0;1,04
2008-05-21;4300,0;4300,0;4300,0;4300,0;13;55900,0;2,55
2008-05-22;4300,0;4300,0;4300,0;4300,0;150;645000,0;0,0
2008-05-27;4300,0;4300,0;4300,0;4300,0;6;25800,0;0,0
2008-05-30;4600,0;4600,0;4600,0;4600,0;180;828000,0;6,98
2008-06-02;4600,0;4600,0;4600,0;4600,0;7;32200,0;0,0
2008-06-03;4601,0;4601,0;4601,0;4601,0;500;2300500,0;0,02
2008-06-04;4601,0;4601,0;4601,0;4601,0;500;2300500,0;0,0
2008-06-06;4601,0;4601,0;4601,0;4601,0;1017;4679217,0;0,0
2008-06-09;4601,0;4601,0;4601,0;4601,0;3;13803,0;0,0
2008-06-11;4601,0;4601,0;4601,0;4601,0;120;552120,0;0,0
2008-06-12;4611,0;4611,0;4611,0;4611,0;55;253605,0;0,22
2008-06-16;4611,0;4611,0;4611,0;4611,0;21;96831,0;0,0
2008-06-17;4611,0;4611,0;4611,0;4611,0;1;4611,0;0,0
2008-06-19;4750,0;4750,0;4750,0;4750,0;150;712500,0;3,01
2008-06-20;4500,0;4500,0;4500,0;4500,0;9;40500,0;-5,26
2008-06-23;4750,0;4750,0;4750,0;4750,0;501;2379750,0;5,56
2008-06-24;4751,0;4751,0;4751,0;4751,0;115;546365,0;0,02
2008-06-25;4751,0;4751,0;4751,0;4751,0;125;593875,0;0,0
2008-06-26;4770,0;4770,0;4770,0;4770,0;119;567630,0;0,4
2008-06-27;4770,0;4770,0;4770,0;4770,0;120;572400,0;0,0
2008-07-01;4770,0;4770,0;4770,0;4770,0;4;19080,0;0,0
2008-07-02;4770,0;4770,0;4770,0;4770,0;1;4770,0;0,0
2008-07-03;4700,0;4700,0;4700,0;4700,0;1430;6721000,0;-1,47
2008-07-04;4800,0;4800,0;4800,0;4800,0;594;2851200,0;2,13
2008-07-07;4800,0;4800,0;4800,0;4800,0;24;115200,0;0,0
2008-07-08;4700,0;4700,0;4700,0;4700,0;152;714400,0;-2,08
2008-07-09;4700,0;4700,0;4700,0;4700,0;1;4700,0;0,0
2008-07-10;4700,0;4700,0;4700,0;4700,0;3;14100,0;0,0
2008-07-15;4700,0;4700,0;4700,0;4700,0;17;79900,0;0,0
2008-07-16;4700,0;4700,0;4700,0;4700,0;250;1175000,0;0,0
2008-07-17;4700,0;4700,0;4700,0;4700,0;10;47000,0;0,0
2008-07-18;4700,0;4700,0;4700,0;4700,0;119;559300,0;0,0
2008-07-21;4700,0;4700,0;4700,0;4700,0;594;2791800,0;0,0
2008-07-22;4700,0;4700,0;4700,0;4700,0;20;94000,0;0,0
2008-07-23;4700,0;4700,0;4700,0;4700,0;37;173900,0;0,0
2008-07-28;4700,0;4700,0;4700,0;4700,0;68;319600,0;0,0
2008-07-29;4701,0;4701,0;4701,0;4701,0;493;2317593,0;0,02
2008-07-30;4705,0;4705,0;4705,0;4705,0;80;376400,0;0,09
2008-07-31;4760,0;4760,0;4760,0;4760,0;15;71400,0;1,17
2008-08-01;4810,0;4810,0;4810,0;4810,0;30;144300,0;1,05
2008-08-04;4850,0;4850,0;4850,0;4850,0;152;737200,0;0,83
2008-08-06;5000,0;5000,0;5000,0;5000,0;15;75000,0;3,09
2008-08-08;5000,0;5000,0;5000,0;5000,0;204;1020000,0;0,0
2008-08-12;5050,0;5050,0;5050,0;5050,0;30;151500,0;1,0
2008-08-13;5050,0;5050,0;5050,0;5050,0;40;202000,0;0,0
2008-08-14;5100,0;5100,0;5100,0;5100,0;31;158100,0;0,99
2008-08-20;5101,0;5101,0;5101,0;5101,0;21;107121,0;0,02
2008-08-21;5100,0;5100,0;5100,0;5100,0;94;479400,0;-0,02
2008-08-22;5100,0;5100,0;5100,0;5100,0;33;168300,0;0,0
2008-08-25;5100,0;5100,0;5100,0;5100,0;10;51000,0;0,0
2008-08-29;4950,0;4950,0;4950,0;4950,0;22;108900,0;-2,94
2008-09-01;4950,0;4950,0;4950,0;4950,0;78;386100,0;0,0
2008-09-02;4950,0;4950,0;4950,0;4950,0;4;19800,0;0,0
2008-09-04;5100,0;5100,0;5100,0;5100,0;5000;25500000,0;3,03
