Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-02;380,0;380,0;380,0;380,0;151;57380,0;
2008-01-03;380,0;380,0;380,0;380,0;160;60800,0;0,0
2008-01-04;380,0;380,0;380,0;380,0;170;64600,0;0,0
2008-01-07;380,0;380,0;380,0;380,0;15;5700,0;0,0
2008-01-08;380,0;380,0;380,0;380,0;92;34960,0;0,0
2008-01-09;380,0;380,0;380,0;380,0;44;16720,0;0,0
2008-01-10;380,0;380,0;380,0;380,0;78;29640,0;0,0
2008-01-14;400,0;400,0;400,0;400,0;44;17600,0;5,26
2008-01-15;400,0;400,0;400,0;400,0;67;26800,0;0,0
2008-01-17;400,0;400,0;400,0;400,0;62;24800,0;0,0
2008-01-18;400,0;400,0;400,0;400,0;22;8800,0;0,0
2008-01-22;380,0;380,0;380,0;380,0;10;3800,0;-5,0
2008-01-25;380,0;380,0;380,0;380,0;5;1900,0;0,0
2008-01-30;380,0;380,0;380,0;380,0;11;4180,0;0,0
2008-01-31;380,0;380,0;380,0;380,0;8;3040,0;0,0
2008-02-01;380,0;380,0;380,0;380,0;10;3800,0;0,0
2008-02-05;380,0;380,0;380,0;380,0;1;380,0;0,0
2008-02-06;378,0;378,0;378,0;378,0;35;13230,0;-0,53
2008-02-21;360,0;360,0;360,0;360,0;10;3600,0;-4,76
2008-02-25;360,0;360,0;360,0;360,0;17;6120,0;0,0
2008-02-26;360,0;360,0;360,0;360,0;20;7200,0;0,0
2008-02-27;360,0;360,0;360,0;360,0;57;20520,0;0,0
2008-02-28;360,0;360,0;360,0;360,0;90;32400,0;0,0
2008-02-29;360,0;360,0;360,0;360,0;3;1080,0;0,0
2008-03-03;360,0;360,0;360,0;360,0;15;5400,0;0,0
2008-03-04;340,0;340,0;340,0;340,0;15;5100,0;-5,56
2008-03-07;338,0;338,0;338,0;338,0;25;8450,0;-0,59
2008-03-12;338,0;338,0;338,0;338,0;41;13858,0;0,0
2008-03-13;338,0;338,0;338,0;338,0;3;1014,0;0,0
2008-03-18;338,0;338,0;338,0;338,0;225;76050,0;0,0
2008-03-21;324,0;324,0;324,0;324,0;38;12312,0;-4,14
2008-03-25;326,0;326,0;326,0;326,0;15;4890,0;0,62
2008-03-31;326,0;326,0;326,0;326,0;45;14670,0;0,0
2008-04-01;326,0;326,0;326,0;326,0;30;9780,0;0,0
2008-04-02;333,0;333,0;333,0;333,0;50;16650,0;2,15
2008-04-04;352,0;352,0;352,0;352,0;100;35200,0;5,71
2008-04-07;352,0;352,0;352,0;352,0;41;14432,0;0,0
2008-04-08;354,0;354,0;354,0;354,0;94;33276,0;0,57
2008-04-15;370,0;370,0;370,0;370,0;59;21830,0;4,52
2008-04-16;370,0;370,0;370,0;370,0;45;16650,0;0,0
2008-04-25;460,0;460,0;460,0;460,0;403;185380,0;24,32
2008-04-28;490,0;490,0;490,0;490,0;848;415520,0;6,52
2008-04-29;490,0;490,0;490,0;490,0;79;38710,0;0,0
2008-04-30;490,0;490,0;490,0;490,0;31;15190,0;0,0
2008-05-02;490,0;490,0;490,0;490,0;15;7350,0;0,0
2008-05-06;566,0;566,0;566,0;566,0;124;70184,0;15,51
2008-05-09;703,0;703,0;703,0;703,0;1008;708624,0;24,2
2008-05-13;703,0;703,0;703,0;703,0;245;172235,0;0,0
2008-05-14;710,0;710,0;710,0;710,0;371;263410,0;1,0
2008-05-15;600,0;600,0;600,0;600,0;70;42000,0;-15,49
2008-05-16;595,0;595,0;595,0;595,0;200;119000,0;-0,83
2008-05-21;560,0;560,0;560,0;560,0;605;338800,0;-5,88
2008-05-22;600,0;600,0;600,0;600,0;715;429000,0;7,14
2008-05-23;600,0;600,0;600,0;600,0;87;52200,0;0,0
2008-05-26;600,0;600,0;600,0;600,0;260;156000,0;0,0
2008-05-27;560,0;560,0;560,0;560,0;157;87920,0;-6,67
2008-05-28;560,0;560,0;560,0;560,0;1;560,0;0,0
2008-05-29;560,0;560,0;560,0;560,0;17;9520,0;0,0
2008-05-30;560,0;560,0;560,0;560,0;197;110320,0;0,0
2008-06-02;560,0;560,0;560,0;560,0;39;21840,0;0,0
2008-06-12;600,0;600,0;600,0;600,0;37;22200,0;7,14
2008-06-13;600,0;600,0;600,0;600,0;102;61200,0;0,0
2008-06-17;600,0;600,0;600,0;600,0;145;87000,0;0,0
2008-06-18;560,0;560,0;560,0;560,0;67;37520,0;-6,67
2008-06-20;570,0;570,0;570,0;570,0;90;51300,0;1,79
2008-06-23;570,0;570,0;570,0;570,0;7;3990,0;0,0
2008-06-24;570,0;570,0;570,0;570,0;30;17100,0;0,0
2008-06-25;570,0;570,0;570,0;570,0;40;22800,0;0,0
2008-06-26;600,0;600,0;600,0;600,0;150;90000,0;5,26
2008-06-27;600,0;600,0;600,0;600,0;65;39000,0;0,0
2008-06-30;605,0;605,0;605,0;605,0;65;39325,0;0,83
2008-07-04;620,0;620,0;620,0;620,0;50;31000,0;2,48
2008-07-07;650,0;650,0;650,0;650,0;27;17550,0;4,84
2008-07-10;670,0;670,0;670,0;670,0;25;16750,0;3,08
2008-07-11;680,0;680,0;680,0;680,0;482;327760,0;1,49
2008-07-14;680,0;680,0;680,0;680,0;267;181560,0;0,0
2008-07-15;670,0;670,0;670,0;670,0;116;77720,0;-1,47
2008-07-16;670,0;670,0;670,0;670,0;87;58290,0;0,0
2008-07-17;670,0;670,0;670,0;670,0;113;75710,0;0,0
2008-07-18;671,0;671,0;671,0;671,0;350;234850,0;0,15
2008-07-21;671,0;671,0;671,0;671,0;31;20801,0;0,0
2008-07-22;670,0;670,0;670,0;670,0;30;20100,0;-0,15
2008-07-23;670,0;670,0;670,0;670,0;130;87100,0;0,0
2008-07-28;690,0;690,0;690,0;690,0;18;12420,0;2,99
2008-07-29;680,0;680,0;680,0;680,0;212;144160,0;-1,45
2008-07-30;680,0;680,0;680,0;680,0;152;103360,0;0,0
2008-07-31;700,0;700,0;700,0;700,0;10;7000,0;2,94
2008-08-01;700,0;700,0;700,0;700,0;108;75600,0;0,0
2008-08-04;753,0;753,0;753,0;753,0;110;82830,0;7,57
2008-08-05;753,0;753,0;753,0;753,0;85;64005,0;0,0
2008-08-06;809,0;809,0;809,0;809,0;9;7281,0;7,44
2008-08-08;820,0;820,0;820,0;820,0;40;32800,0;1,36
2008-08-11;822,0;822,0;822,0;822,0;50;41100,0;0,24
2008-08-12;830,0;830,0;830,0;830,0;158;131140,0;0,97
2008-08-14;894,0;894,0;894,0;894,0;10;8940,0;7,71
2008-08-18;901,0;901,0;901,0;901,0;76;68476,0;0,78
2008-08-20;1042,0;1042,0;1042,0;1042,0;65;67730,0;15,65
2008-08-25;1294,0;1294,0;1294,0;1294,0;80;103520,0;24,18
2008-08-26;1330,0;1330,0;1330,0;1330,0;30;39900,0;2,78
