Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2016-10-27;1505,0;1505,0;1505,0;1505,0;700;1053500,0;
2016-10-28;1617,5;1617,5;1617,5;1617,5;40;64700,0;7,48
2016-10-31;1738,5;1738,5;1738,5;1738,5;172;299022,0;7,48
2016-11-02;1868,5;1868,5;1868,5;1868,5;274;511969,0;7,48
2016-11-03;2008,5;2008,5;2008,5;2008,5;38;76323,0;7,49
2016-11-04;2159,0;2159,0;2159,0;2159,0;658;1420622,0;7,49
2016-11-07;2320,5;2320,5;2320,5;2320,5;510;1183455,0;7,48
2016-11-08;2494,5;2494,5;2494,5;2494,5;5892;14697594,0;7,5
2016-11-09;2681,5;2681,5;2681,5;2681,5;10662;28590153,0;7,5
2016-11-10;2480,5;2480,5;2480,5;2480,5;79950;198315975,0;-7,5
2016-11-11;2300,0;2300,0;2300,0;2300,0;54428;125184400,0;-7,28
2016-11-14;2400,0;2400,0;2400,0;2400,0;11770;28248000,0;4,35
2016-11-16;2401,0;2401,0;2401,0;2401,0;22440;53878440,0;0,04
2016-11-17;2500,0;2500,0;2500,0;2500,0;7626;19065000,0;4,12
2016-11-18;2312,5;2312,5;2312,5;2312,5;9806;22676375,0;-7,5
2016-11-21;2380,0;2380,0;2380,0;2380,0;2456;5845280,0;2,92
2016-11-22;2250,0;2250,0;2250,0;2250,0;3330;7492500,0;-5,46
2016-11-23;2200,0;2200,0;2200,0;2200,0;4178;9191600,0;-2,22
2016-11-24;2060,5;2060,5;2060,5;2060,5;6566;13529243,0;-6,34
2016-11-25;2050,0;2050,0;2050,0;2050,0;7594;15567700,0;-0,51
2016-11-28;2050,0;2050,0;2050,0;2050,0;4130;8466500,0;0,0
2016-11-29;2040,0;2040,0;2040,0;2040,0;6466;13190640,0;-0,49
2016-11-30;2193,0;2193,0;2193,0;2193,0;6718;14732574,0;7,5
2016-12-01;2357,0;2357,0;2357,0;2357,0;4286;10102102,0;7,48
2016-12-02;2400,0;2400,0;2400,0;2400,0;23512;56428800,0;1,82
2016-12-05;2299,5;2299,5;2299,5;2299,5;3698;8503551,0;-4,19
2016-12-06;2199,5;2199,5;2199,5;2199,5;2964;6519318,0;-4,35
2016-12-07;2100,0;2100,0;2100,0;2100,0;28198;59215800,0;-4,52
2016-12-08;2150,0;2150,0;2150,0;2150,0;13220;28423000,0;2,38
2016-12-09;2151,5;2151,5;2151,5;2151,5;1842;3963063,0;0,07
2016-12-13;2100,0;2100,0;2100,0;2100,0;4870;10227000,0;-2,39
2016-12-14;2125,5;2125,5;2125,5;2125,5;9558;20315529,0;1,21
2016-12-15;2201,0;2201,0;2201,0;2201,0;6482;14266882,0;3,55
2016-12-16;2220,0;2220,0;2220,0;2220,0;3026;6717720,0;0,86
2016-12-19;2220,5;2220,5;2220,5;2220,5;2362;5244821,0;0,02
2016-12-20;2250,0;2250,0;2250,0;2250,0;6040;13590000,0;1,33
2016-12-21;2250,0;2250,0;2250,0;2250,0;3942;8869500,0;0,0
2016-12-22;2250,0;2250,0;2250,0;2250,0;3370;7582500,0;0,0
2016-12-23;2350,0;2350,0;2350,0;2350,0;6480;15228000,0;4,44
2016-12-27;2348,5;2348,5;2348,5;2348,5;4366;10253551,0;-0,06
2016-12-28;2300,0;2300,0;2300,0;2300,0;2006;4613800,0;-2,07
2016-12-29;2310,0;2310,0;2310,0;2310,0;7596;17546760,0;0,43
2016-12-30;2380,5;2380,5;2380,5;2380,5;5250;12497625,0;3,05
2017-01-02;2350,0;2350,0;2350,0;2350,0;376;883600,0;-1,28
2017-01-03;2340,0;2340,0;2340,0;2340,0;622;1455480,0;-0,43
2017-01-04;2339,5;2339,5;2339,5;2339,5;2378;5563331,0;-0,02
2017-01-05;2310,5;2310,5;2310,5;2310,5;1018;2352089,0;-1,24
2017-01-06;2270,0;2270,0;2270,0;2270,0;2420;5493400,0;-1,75
2017-01-09;2270,0;2270,0;2270,0;2270,0;7718;17519860,0;0,0
2017-01-10;2300,0;2300,0;2300,0;2300,0;2944;6771200,0;1,32
2017-01-11;2260,0;2260,0;2260,0;2260,0;2540;5740400,0;-1,74
2017-01-12;2296,0;2296,0;2296,0;2296,0;6198;14230608,0;1,59
2017-01-13;2230,0;2230,0;2230,0;2230,0;1738;3875740,0;-2,87
2017-01-16;2298,0;2298,0;2298,0;2298,0;1800;4136400,0;3,05
2017-01-17;2250,0;2250,0;2250,0;2250,0;2890;6502500,0;-2,09
2017-01-18;2250,0;2250,0;2250,0;2250,0;2086;4693500,0;0,0
2017-01-19;2250,0;2250,0;2250,0;2250,0;8588;19323000,0;0,0
2017-01-20;2250,0;2250,0;2250,0;2250,0;7678;17275500,0;0,0
2017-01-23;2260,0;2260,0;2260,0;2260,0;1304;2947040,0;0,44
