Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-18;5300;5300;5300;5300;5;26500,0;
2008-02-05;5300;5300;5300;5300;1;5300,0;0,0
2008-02-19;5300;5300;5300;5300;58;307400,0;0,0
2008-02-27;5300;5300;5300;5300;3;15900,0;0,0
2008-03-19;5300;5300;5300;5300;20;106000,0;0,0
2008-05-08;5300;5300;5300;5300;36;190800,0;0,0
2008-05-30;5300;5300;5300;5300;12;63600,0;0,0
2008-06-03;5300;5300;5300;5300;3;15900,0;0,0
2008-06-04;5295;5295;5295;5295;50;264750,0;-0,09
2008-06-13;5295;5295;5295;5295;146;773070,0;0,0
2008-07-07;5295;5295;5295;5295;88;465960,0;0,0
2008-07-15;5295;5295;5295;5295;1;5295,0;0,0
2008-07-24;5300;5300;5300;5300;20;106000,0;0,09
2008-08-04;5300;5300;5300;5300;7;37100,0;0,0
2008-08-05;5500;5500;5500;5500;10;55000,0;3,77
2008-08-08;5520;5520;5520;5520;18;99360,0;0,36
2008-08-14;5600;5600;5600;5600;37;207200,0;1,45
2008-08-20;5600;5600;5600;5600;29;162400,0;0,0
2008-08-22;5605;5605;5605;5605;21;117705,0;0,09
2008-09-11;5605;5605;5605;5605;2;11210,0;0,0
2008-09-12;5750;5750;5750;5750;150;862500,0;2,59
2008-09-16;5750;5750;5750;5750;8;46000,0;0,0
2008-09-18;5750;5750;5750;5750;380;2185000,0;0,0
2008-09-23;5800;5800;5800;5800;3985;23113000,0;0,87
2008-09-24;6000;6000;6000;6000;50;300000,0;3,45
2008-09-26;6000;6000;6000;6000;450;2700000,0;0,0
2008-09-29;6400;6400;6400;6400;50;320000,0;6,67
2008-10-06;6500;6500;6500;6500;195;1267500,0;1,56
2008-10-10;6905;6905;6905;6905;15;103575,0;6,23
2008-10-22;6905;6905;6905;6905;198;1367190,0;0,0
2008-10-27;6905;6905;6905;6905;500;3452500,0;0,0
2008-10-29;6905;6905;6905;6905;108;745740,0;0,0
2008-10-30;6905;6905;6905;6905;113;780265,0;0,0
2008-12-16;6905;6905;6905;6905;13;89765,0;0,0
2008-12-22;6600;6600;6600;6600;8;52800,0;-4,42
2008-12-29;6600;6600;6600;6600;2;13200,0;0,0
2009-05-04;6600;6600;6600;6600;2;13200,0;0,0
2009-10-12;6250;6250;6250;6250;23;143750,0;-5,3
2010-02-23;5000;5000;5000;5000;4352;21760000,0;-20,0
2010-06-24;5000;5000;5000;5000;7;35000,0;0,0
2010-07-15;5000;5000;5000;5000;1;5000,0;0,0
2010-10-19;4625;4625;4625;4625;10;46250,0;-7,5
2010-11-08;4625;4625;4625;4625;1640;7585000,0;0,0
2010-11-09;4625;4625;4625;4625;44;203500,0;0,0
2010-11-10;4625;4625;4625;4625;148;684500,0;0,0
2010-11-12;4600;4600;4600;4600;30;138000,0;-0,54
2011-01-11;4150;4150;4150;4150;25;103750,0;-9,78
2011-01-28;4100;4100;4100;4100;25;102500,0;-1,2
2011-08-05;3795;3795;3795;3795;10;37950,0;-7,44
2012-02-08;3795;3795;3795;3795;1;3795,0;0,0
2012-02-27;3795;3795;3795;3795;10;37950,0;0,0
2012-03-01;3795;3795;3795;3795;20;75900,0;0,0
2012-03-16;3795;3795;3795;3795;1;3795,0;0,0
2012-04-02;3795;3795;3795;3795;1;3795,0;0,0
2012-09-19;3600;3600;3600;3600;10;36000,0;-5,14
2012-09-20;3600;3600;3600;3600;10;36000,0;0,0
2012-10-09;3600;3600;3600;3600;1;3600,0;0,0
2012-11-08;3600;3600;3600;3600;120;432000,0;0,0
2012-11-29;3600;3600;3600;3600;7;25200,0;0,0
2012-12-03;3600;3600;3600;3600;6;21600,0;0,0
2013-01-18;3600;3600;3600;3600;10;36000,0;0,0
2013-02-15;3600;3600;3600;3600;5;18000,0;0,0
2013-02-18;3600;3600;3600;3600;96;345600,0;0,0
2013-03-14;3600;3600;3600;3600;4;14400,0;0,0
2013-03-15;3600;3600;3600;3600;10;36000,0;0,0
2013-04-09;3600;3600;3600;3600;2;7200,0;0,0
2013-05-31;3600;3600;3600;3600;1;3600,0;0,0
2013-07-23;3600;3600;3600;3600;5;18000,0;0,0
2013-07-30;3600;3600;3600;3600;8;28800,0;0,0
2013-08-01;3600;3600;3600;3600;10;36000,0;0,0
2013-08-21;3330;3330;3330;3330;30;99900,0;-7,5
2013-08-27;3330;3330;3330;3330;190;632700,0;0,0
2013-09-06;3330;3330;3330;3330;3;9990,0;0,0
2013-09-24;3575;3575;3575;3575;3;10725,0;7,36
2013-09-25;3600;3600;3600;3600;10;36000,0;0,7
2013-10-01;3600;3600;3600;3600;9;32400,0;0,0
2013-10-03;3330;3330;3330;3330;5;16650,0;-7,5
2013-10-10;3330;3330;3330;3330;10;33300,0;0,0
2013-10-25;3330;3330;3330;3330;5;16650,0;0,0
2014-01-08;3330;3330;3330;3330;3;9990,0;0,0
2014-01-09;3085;3085;3085;3085;2;6170,0;-7,36
2014-01-14;3310;3310;3310;3310;2;6620,0;7,29
2014-01-16;3310;3310;3310;3310;8;26480,0;0,0
2014-01-21;3555;3555;3555;3555;30;106650,0;7,4
2014-01-24;3820;3820;3820;3820;7;26740,0;7,45
2014-01-29;3820;3820;3820;3820;16;61120,0;0,0
2014-02-10;4105;4105;4105;4105;5;20525,0;7,46
2014-02-13;4400;4400;4400;4400;10;44000,0;7,19
2014-02-18;4400;4400;4400;4400;72;316800,0;0,0
2014-02-19;4100;4100;4100;4100;3;12300,0;-6,82
2014-03-14;4100;4100;4100;4100;57;233700,0;0,0
2014-04-01;4405;4405;4405;4405;5;22025,0;7,44
2014-04-08;4405;4405;4405;4405;300;1321500,0;0,0
2014-04-09;4405;4405;4405;4405;25;110125,0;0,0
2014-04-10;4405;4405;4405;4405;20;88100,0;0,0
2014-04-11;4405;4405;4405;4405;7;30835,0;0,0
2014-04-17;4405;4405;4405;4405;5;22025,0;0,0
2014-04-24;4405;4405;4405;4405;10;44050,0;0,0
2014-05-05;4405;4405;4405;4405;5;22025,0;0,0
2014-05-08;4405;4405;4405;4405;20;88100,0;0,0
2014-05-13;4405;4405;4405;4405;50;220250,0;0,0
2014-05-14;4405;4405;4405;4405;48;211440,0;0,0
2014-05-21;4735;4735;4735;4735;10;47350,0;7,49
2014-06-19;4750;4750;4750;4750;2;9500,0;0,32
2014-06-30;5105;5105;5105;5105;11;56155,0;7,47
2014-07-21;5300;5300;5300;5300;10;53000,0;3,82
2014-07-29;5305;5305;5305;5305;5;26525,0;0,09
2014-08-04;5305;5305;5305;5305;32;169760,0;0,0
2014-08-05;5305;5305;5305;5305;40;212200,0;0,0
2014-08-13;5700;5700;5700;5700;10;57000,0;7,45
2014-08-29;6125;6125;6125;6125;10;61250,0;7,46
2014-09-01;6125;6125;6125;6125;3;18375,0;0,0
2014-09-08;6125;6125;6125;6125;10;61250,0;0,0
2014-09-09;6100;6100;6100;6100;76;463600,0;-0,41
2014-09-11;5900;5900;5900;5900;12;70800,0;-3,28
2014-09-12;5500;5500;5500;5500;20;110000,0;-6,78
2014-09-15;5900;5900;5900;5900;41;241900,0;7,27
2014-09-16;5600;5600;5600;5600;45;252000,0;-5,08
2014-09-18;5600;5600;5600;5600;31;173600,0;0,0
2014-09-19;5895;5895;5895;5895;32;188640,0;5,27
2014-09-22;5895;5895;5895;5895;37;218115,0;0,0
2014-09-24;5895;5895;5895;5895;20;117900,0;0,0
2014-09-25;5600;5600;5600;5600;14;78400,0;-5,0
2014-09-26;5600;5600;5600;5600;10;56000,0;0,0
2014-09-29;5600;5600;5600;5600;6;33600,0;0,0
2014-09-30;5895;5895;5895;5895;74;436230,0;5,27
2014-10-02;5895;5895;5895;5895;1;5895,0;0,0
2014-10-07;5895;5895;5895;5895;1;5895,0;0,0
2014-10-15;5895;5895;5895;5895;20;117900,0;0,0
2014-10-17;5890;5890;5890;5890;4;23560,0;-0,08
2014-10-29;5885;5885;5885;5885;1;5885,0;-0,08
2014-11-07;5885;5885;5885;5885;15;88275,0;0,0
2014-11-20;5880;5880;5880;5880;30;176400,0;-0,08
2014-11-21;5885;5885;5885;5885;10;58850,0;0,09
2014-11-27;5445;5445;5445;5445;5;27225,0;-7,48
2014-11-28;5500;5500;5500;5500;1;5500,0;1,01
2014-12-01;5500;5500;5500;5500;1;5500,0;0,0
2014-12-03;5500;5500;5500;5500;5;27500,0;0,0
2014-12-04;5500;5500;5500;5500;60;330000,0;0,0
2014-12-08;5500;5500;5500;5500;11;60500,0;0,0
2014-12-10;5500;5500;5500;5500;2;11000,0;0,0
2014-12-11;5090;5090;5090;5090;3;15270,0;-7,45
2014-12-15;5090;5090;5090;5090;30;152700,0;0,0
2014-12-17;5090;5090;5090;5090;1;5090,0;0,0
2014-12-22;5090;5090;5090;5090;4;20360,0;0,0
2015-01-02;5000;5000;5000;5000;100;500000,0;-1,77
2015-01-05;5000;5000;5000;5000;50;250000,0;0,0
2015-01-07;5000;5000;5000;5000;200;1000000,0;0,0
2015-01-16;5000;5000;5000;5000;100;500000,0;0,0
2015-01-19;5000;5000;5000;5000;61;305000,0;0,0
2015-01-21;5000;5000;5000;5000;5;25000,0;0,0
2015-01-22;5000;5000;5000;5000;10;50000,0;0,0
2015-01-28;5000;5000;5000;5000;17;85000,0;0,0
2015-01-30;5000;5000;5000;5000;5;25000,0;0,0
2015-02-03;5000;5000;5000;5000;10;50000,0;0,0
2015-02-04;5000;5000;5000;5000;10;50000,0;0,0
2015-02-06;5000;5000;5000;5000;145;725000,0;0,0
2015-02-09;5000;5000;5000;5000;145;725000,0;0,0
2015-02-11;5000;5000;5000;5000;2;10000,0;0,0
2015-02-12;5000;5000;5000;5000;2;10000,0;0,0
2015-02-23;5100;5100;5100;5100;37;188700,0;2,0
2015-02-24;5100;5100;5100;5100;13;66300,0;0,0
2015-02-26;5000;5000;5000;5000;6;30000,0;-1,96
2015-03-03;5000;5000;5000;5000;14;70000,0;0,0
2015-03-18;5000;5000;5000;5000;2;10000,0;0,0
2015-03-19;5000;5000;5000;5000;10;50000,0;0,0
2015-03-20;5000;5000;5000;5000;7;35000,0;0,0
2015-03-23;5000;5000;5000;5000;30;150000,0;0,0
2015-03-24;5000;5000;5000;5000;11;55000,0;0,0
2015-03-30;5375;5375;5375;5375;1832;9847000,0;7,5
2015-04-01;5775;5775;5775;5775;3;17325,0;7,44
2015-04-02;6205;6205;6205;6205;1;6205,0;7,45
2015-04-03;6670;6670;6670;6670;1;6670,0;7,49
2015-04-06;6670;6670;6670;6670;1;6670,0;0,0
2015-04-07;7170;7170;7170;7170;1;7170,0;7,5
2015-04-09;7705;7705;7705;7705;1;7705,0;7,46
2015-04-10;8280;8280;8280;8280;1;8280,0;7,46
2015-04-13;8900;8900;8900;8900;1342;11943800,0;7,49
2015-04-14;8900;8900;8900;8900;14;124600,0;0,0
2015-04-15;9565;9565;9565;9565;41;392165,0;7,47
2015-04-16;10280;10280;10280;10280;54;555120,0;7,48
2015-04-17;10075;10075;10075;10075;20;201500,0;-1,99
2015-04-20;9995;9995;9995;9995;482;4817590,0;-0,79
2015-04-21;9980;9980;9980;9980;21;209580,0;-0,15
2015-04-22;10000;10000;10000;10000;81;810000,0;0,2
2015-04-23;9990;9990;9990;9990;168;1678320,0;-0,1
2015-04-24;9990;9990;9990;9990;52;519480,0;0,0
2015-04-27;9990;9990;9990;9990;7;69930,0;0,0
2015-04-29;9900;9900;9900;9900;1;9900,0;-0,9
2015-04-30;9900;9900;9900;9900;10;99000,0;0,0
2015-05-07;9890;9890;9890;9890;20;197800,0;-0,1
2015-05-08;9890;9890;9890;9890;4;39560,0;0,0
2015-05-13;9875;9875;9875;9875;1;9875,0;-0,15
2015-05-14;9875;9875;9875;9875;1;9875,0;0,0
2015-05-18;9870;9870;9870;9870;3;29610,0;-0,05
2015-05-19;9870;9870;9870;9870;2;19740,0;0,0
2015-05-27;9870;9870;9870;9870;50;493500,0;0,0
2015-05-29;9870;9870;9870;9870;1;9870,0;0,0
2015-06-01;9850;9850;9850;9850;1;9850,0;-0,2
2015-06-05;9850;9850;9850;9850;7;68950,0;0,0
2015-06-09;9600;9600;9600;9600;6;57600,0;-2,54
2015-06-15;9500;9500;9500;9500;2;19000,0;-1,04
2015-06-17;9445;9445;9445;9445;1;9445,0;-0,58
2015-06-19;9400;9400;9400;9400;1;9400,0;-0,48
2015-06-25;9400;9400;9400;9400;2;18800,0;0,0
