Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-03;18450,000000184496;18450,000000184496;18450,000000184496;18450,000000184496;190;3505500,0;
2008-01-08;18500,000000185;18500,000000185;18500,000000185;18500,000000185;110;2035000,0;0,27
2008-01-10;18500,000000185;18500,000000185;18500,000000185;18500,000000185;20;370000,0;0,0
2008-01-14;18500,000000185;18500,000000185;18500,000000185;18500,000000185;10;185000,0;0,0
2008-01-15;18500,000000185;18500,000000185;18500,000000185;18500,000000185;400;7400000,0;0,0
2008-01-18;18450,000000184496;18450,000000184496;18450,000000184496;18450,000000184496;90;1660500,0;-0,27
2008-01-23;18450,000000184496;18450,000000184496;18450,000000184496;18450,000000184496;0;0,0;0,0
2008-01-28;18450,000000184496;18450,000000184496;18450,000000184496;18450,000000184496;1110;20479500,0;0,0
2008-01-30;18450,000000184496;18450,000000184496;18450,000000184496;18450,000000184496;60;1107000,0;0,0
2008-02-04;18450,000000184496;18450,000000184496;18450,000000184496;18450,000000184496;20;369000,0;0,0
2008-02-05;18450,000000184496;18450,000000184496;18450,000000184496;18450,000000184496;20;369000,0;0,0
2008-02-07;18450,000000184496;18450,000000184496;18450,000000184496;18450,000000184496;90;1660500,0;0,0
2008-02-12;18450,000000184496;18450,000000184496;18450,000000184496;18450,000000184496;40;738000,0;0,0
2008-02-13;18500,000000185;18500,000000185;18500,000000185;18500,000000185;150;2775000,0;0,27
2008-02-14;18500,000000185;18500,000000185;18500,000000185;18500,000000185;10;185000,0;0,0
2008-02-18;18449,500000184493;18449,500000184493;18449,500000184493;18449,500000184493;2770;51105115,0;-0,27
2008-02-19;18450,000000184496;18450,000000184496;18450,000000184496;18450,000000184496;1990;36715500,0;0,0
2008-02-20;18450,000000184496;18450,000000184496;18450,000000184496;18450,000000184496;410;7564500,0;0,0
2008-02-21;18450,000000184496;18450,000000184496;18450,000000184496;18450,000000184496;390;7195500,0;0,0
2008-03-06;18500,000000185;18500,000000185;18500,000000185;18500,000000185;510;9435000,0;0,27
2008-03-10;18500,000000185;18500,000000185;18500,000000185;18500,000000185;10;185000,0;0,0
2008-03-19;18500,000000185;18500,000000185;18500,000000185;18500,000000185;0;0,0;0,0
2008-03-21;18500,000000185;18500,000000185;18500,000000185;18500,000000185;10;185000,0;0,0
2008-03-25;18500,000000185;18500,000000185;18500,000000185;18500,000000185;40;740000,0;0,0
2008-03-26;18500,000000185;18500,000000185;18500,000000185;18500,000000185;390;7215000,0;0,0
2008-04-02;18550,0000001855;18550,0000001855;18550,0000001855;18550,0000001855;90;1669500,0;0,27
2008-04-04;18550,0000001855;18550,0000001855;18550,0000001855;18550,0000001855;120;2226000,0;0,0
2008-04-07;18550,0000001855;18550,0000001855;18550,0000001855;18550,0000001855;40;742000,0;0,0
2008-04-08;18550,0000001855;18550,0000001855;18550,0000001855;18550,0000001855;90;1669500,0;0,0
2008-04-17;18500,000000185;18500,000000185;18500,000000185;18500,000000185;660;12210000,0;-0,27
2008-05-09;18250,0000001825;18250,0000001825;18250,0000001825;18250,0000001825;150;2737500,0;-1,35
2008-05-14;17000,00000017;17000,00000017;17000,00000017;17000,00000017;140;2380000,0;-6,85
2008-05-16;15750,0000001575;15750,0000001575;15750,0000001575;15750,0000001575;140;2205000,0;-7,35
2008-05-21;13999,800000139998;13999,800000139998;13999,800000139998;13999,800000139998;70;979986,0;-11,11
2008-05-22;13500,000000134998;13500,000000134998;13500,000000134998;13500,000000134998;90;1215000,0;-3,57
2008-05-28;12487,500000124874;12487,500000124874;12487,500000124874;12487,500000124874;290;3621375,0;-7,5
2008-05-29;12500,000000125;12500,000000125;12500,000000125;12500,000000125;210;2625000,0;0,1
2008-05-30;12100,000000121;12100,000000121;12100,000000121;12100,000000121;240;2904000,0;-3,2
2008-06-03;11500,000000115;11500,000000115;11500,000000115;11500,000000115;140;1610000,0;-4,96
2008-06-04;11500,000000115;11500,000000115;11500,000000115;11500,000000115;4960;57040000,0;0,0
2008-06-06;11500,000000115;11500,000000115;11500,000000115;11500,000000115;1490;17135000,0;0,0
2008-06-12;11500,000000115;11500,000000115;11500,000000115;11500,000000115;30;345000,0;0,0
2008-06-16;11500,000000115;11500,000000115;11500,000000115;11500,000000115;10;115000,0;0,0
2008-06-25;11530,000000115298;11530,000000115298;11530,000000115298;11530,000000115298;220;2536600,0;0,26
2008-06-27;11530,000000115298;11530,000000115298;11530,000000115298;11530,000000115298;90;1037700,0;0,0
2008-07-04;11625,00000011625;11625,00000011625;11625,00000011625;11625,00000011625;210;2441250,0;0,82
2008-07-16;12500,300000125;12500,300000125;12500,300000125;12500,300000125;190;2375057,0;7,53
2008-07-29;13300,300000133002;13300,300000133002;13300,300000133002;13300,300000133002;80;1064024,0;6,4
2008-07-31;13500,000000134998;13500,000000134998;13500,000000134998;13500,000000134998;310;4185000,0;1,5
2008-08-04;13750,3000001375;13750,3000001375;13750,3000001375;13750,3000001375;90;1237527,0;1,85
2008-08-12;14250,500000142503;14250,500000142503;14250,500000142503;14250,500000142503;90;1282545,0;3,64
2008-08-29;15025,300000150251;15025,300000150251;15025,300000150251;15025,300000150251;110;1652783,0;5,44
2008-09-05;15000,000000149998;15000,000000149998;15000,000000149998;15000,000000149998;190;2850000,0;-0,17
2008-09-12;14750,000000147502;14750,000000147502;14750,000000147502;14750,000000147502;150;2212500,0;-1,67
