Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-02;17600;17600;17600;17600;34;598400,0;
2008-01-03;17600;17600;17600;17600;337;5931200,0;0,0
2008-01-04;17600;17600;17600;17600;612;10771200,0;0,0
2008-01-07;17700;17700;17700;17700;1270;22479000,0;0,57
2008-01-08;17700;17700;17700;17700;36;637200,0;0,0
2008-01-09;17700;17700;17700;17700;43;761100,0;0,0
2008-01-10;17700;17700;17700;17700;52;920400,0;0,0
2008-01-11;18000;18000;18000;18000;220;3960000,0;1,69
2008-01-14;18000;18000;18000;18000;16;288000,0;0,0
2008-01-15;18000;18000;18000;18000;1055;18990000,0;0,0
2008-01-16;18000;18000;18000;18000;25;450000,0;0,0
2008-01-17;18000;18000;18000;18000;1052;18936000,0;0,0
2008-01-18;18500;18500;18500;18500;105;1942500,0;2,78
2008-01-21;18500;18500;18500;18500;15;277500,0;0,0
2008-01-22;18500;18500;18500;18500;48;888000,0;0,0
2008-01-23;18500;18500;18500;18500;16;296000,0;0,0
2008-01-24;19500;19500;19500;19500;410;7995000,0;5,41
2008-01-25;19500;19500;19500;19500;51;994500,0;0,0
2008-01-28;19500;19500;19500;19500;28;546000,0;0,0
2008-01-29;19500;19500;19500;19500;27;526500,0;0,0
2008-01-30;19500;19500;19500;19500;516;10062000,0;0,0
2008-01-31;19500;19500;19500;19500;10;195000,0;0,0
2008-02-01;19490;19490;19490;19490;231;4502190,0;-0,05
2008-02-04;19350;19350;19350;19350;249;4818150,0;-0,72
2008-02-05;19555;19555;19555;19555;244;4771420,0;1,06
2008-02-06;19901;19901;19901;19901;102;2029902,0;1,77
2008-02-07;19980;19980;19980;19980;70;1398600,0;0,4
2008-02-08;19950;19950;19950;19950;22;438900,0;-0,15
2008-02-12;18500;18500;18500;18500;15000;277500000,0;-7,27
2008-02-13;19800;19800;19800;19800;246;4870800,0;7,03
2008-02-14;19500;19500;19500;19500;1342;26169000,0;-1,52
2008-02-15;18500;18500;18500;18500;23516;435046000,0;-5,13
2008-02-18;19600;19600;19600;19600;3600;70560000,0;5,95
2008-02-20;19500;19500;19500;19500;107;2086500,0;-0,51
2008-02-21;19500;19500;19500;19500;22;429000,0;0,0
2008-02-22;19499;19499;19499;19499;1010;19693990,0;-0,01
2008-02-27;19000;19000;19000;19000;483;9177000,0;-2,56
2008-02-28;19400;19400;19400;19400;652;12648800,0;2,11
2008-02-29;19400;19400;19400;19400;9;174600,0;0,0
2008-03-03;19000;19000;19000;19000;444;8436000,0;-2,06
2008-03-04;19000;19000;19000;19000;102;1938000,0;0,0
2008-03-05;19000;19000;19000;19000;53;1007000,0;0,0
2008-03-06;19000;19000;19000;19000;2;38000,0;0,0
2008-03-07;19000;19000;19000;19000;145;2755000,0;0,0
2008-03-10;19000;19000;19000;19000;95;1805000,0;0,0
2008-03-11;19000;19000;19000;19000;42;798000,0;0,0
2008-03-12;19000;19000;19000;19000;122;2318000,0;0,0
2008-03-13;19000;19000;19000;19000;20;380000,0;0,0
2008-03-14;19000;19000;19000;19000;64;1216000,0;0,0
2008-03-17;19000;19000;19000;19000;26;494000,0;0,0
2008-03-18;19000;19000;19000;19000;13;247000,0;0,0
2008-03-19;19000;19000;19000;19000;501;9519000,0;0,0
2008-03-21;19000;19000;19000;19000;389;7391000,0;0,0
2008-03-25;19000;19000;19000;19000;466;8854000,0;0,0
2008-03-26;18200;18200;18200;18200;160;2912000,0;-4,21
2008-03-28;18200;18200;18200;18200;55;1001000,0;0,0
2008-03-31;18200;18200;18200;18200;125;2275000,0;0,0
2008-04-01;18190;18190;18190;18190;106;1928140,0;-0,05
2008-04-02;18200;18200;18200;18200;2140;38948000,0;0,05
2008-04-03;18100;18100;18100;18100;227;4108700,0;-0,55
2008-04-04;18200;18200;18200;18200;600;10920000,0;0,55
2008-04-07;18200;18200;18200;18200;136;2475200,0;0,0
2008-04-08;18200;18200;18200;18200;33;600600,0;0,0
2008-04-09;18200;18200;18200;18200;161;2930200,0;0,0
2008-04-10;18200;18200;18200;18200;2475;45045000,0;0,0
2008-04-11;18500;18500;18500;18500;802;14837000,0;1,65
2008-04-14;18900;18900;18900;18900;380;7182000,0;2,16
2008-04-15;18900;18900;18900;18900;181;3420900,0;0,0
2008-04-16;18900;18900;18900;18900;4;75600,0;0,0
2008-04-17;18900;18900;18900;18900;95;1795500,0;0,0
2008-04-18;18900;18900;18900;18900;23;434700,0;0,0
2008-04-21;18900;18900;18900;18900;11;207900,0;0,0
2008-04-22;18900;18900;18900;18900;105;1984500,0;0,0
2008-04-23;18900;18900;18900;18900;181;3420900,0;0,0
2008-04-24;18900;18900;18900;18900;230;4347000,0;0,0
2008-04-25;18900;18900;18900;18900;2247;42468300,0;0,0
2008-04-28;19000;19000;19000;19000;97;1843000,0;0,53
2008-04-29;18900;18900;18900;18900;493;9317700,0;-0,53
2008-04-30;18500;18500;18500;18500;240;4440000,0;-2,12
2008-05-02;18500;18500;18500;18500;361;6678500,0;0,0
2008-05-05;18500;18500;18500;18500;8;148000,0;0,0
2008-05-06;18500;18500;18500;18500;373;6900500,0;0,0
2008-05-07;18500;18500;18500;18500;40;740000,0;0,0
2008-05-08;18500;18500;18500;18500;4014;74259000,0;0,0
2008-05-09;18500;18500;18500;18500;730;13505000,0;0,0
2008-05-13;18400;18400;18400;18400;748;13763200,0;-0,54
2008-05-14;18400;18400;18400;18400;137;2520800,0;0,0
2008-05-15;18400;18400;18400;18400;499;9181600,0;0,0
2008-05-16;18400;18400;18400;18400;75;1380000,0;0,0
2008-05-19;18400;18400;18400;18400;63;1159200,0;0,0
2008-05-20;18100;18100;18100;18100;39;705900,0;-1,63
2008-05-21;18200;18200;18200;18200;700;12740000,0;0,55
2008-05-22;18100;18100;18100;18100;363;6570300,0;-0,55
2008-05-23;17899;17899;17899;17899;1222;21872578,0;-1,11
2008-05-27;18000;18000;18000;18000;2450;44100000,0;0,56
2008-05-28;18000;18000;18000;18000;2301;41418000,0;0,0
2008-05-29;18000;18000;18000;18000;709;12762000,0;0,0
2008-05-30;18000;18000;18000;18000;806;14508000,0;0,0
2008-06-02;18000;18000;18000;18000;680;12240000,0;0,0
2008-06-03;18000;18000;18000;18000;1396;25128000,0;0,0
2008-06-04;18000;18000;18000;18000;592;10656000,0;0,0
2008-06-05;18000;18000;18000;18000;75003;1350054000,0;0,0
2008-06-06;18000;18000;18000;18000;1174;21132000,0;0,0
2008-06-10;18000;18000;18000;18000;277;4986000,0;0,0
2008-06-11;18000;18000;18000;18000;4321;77778000,0;0,0
2008-06-12;18000;18000;18000;18000;130;2340000,0;0,0
2008-06-13;18000;18000;18000;18000;1155;20790000,0;0,0
2008-06-16;18000;18000;18000;18000;525;9450000,0;0,0
2008-06-17;18000;18000;18000;18000;266;4788000,0;0,0
2008-06-18;18000;18000;18000;18000;224;4032000,0;0,0
2008-06-19;18000;18000;18000;18000;13575;244350000,0;0,0
2008-06-20;18000;18000;18000;18000;1240;22320000,0;0,0
2008-06-23;18000;18000;18000;18000;656;11808000,0;0,0
2008-06-24;18000;18000;18000;18000;80;1440000,0;0,0
2008-06-25;18000;18000;18000;18000;5705;102690000,0;0,0
2008-06-26;18000;18000;18000;18000;363;6534000,0;0,0
2008-06-27;18000;18000;18000;18000;230;4140000,0;0,0
2008-06-30;18000;18000;18000;18000;200;3600000,0;0,0
2008-07-01;18000;18000;18000;18000;175;3150000,0;0,0
2008-07-02;18000;18000;18000;18000;343;6174000,0;0,0
2008-07-03;18000;18000;18000;18000;508;9144000,0;0,0
2008-07-04;18000;18000;18000;18000;308;5544000,0;0,0
2008-07-07;17900;17900;17900;17900;140;2506000,0;-0,56
2008-07-08;17900;17900;17900;17900;14;250600,0;0,0
2008-07-09;18000;18000;18000;18000;994;17892000,0;0,56
2008-07-10;18000;18000;18000;18000;362;6516000,0;0,0
2008-07-11;18000;18000;18000;18000;353;6354000,0;0,0
2008-07-14;18000;18000;18000;18000;785;14130000,0;0,0
2008-07-15;18000;18000;18000;18000;290;5220000,0;0,0
2008-07-17;17800;17800;17800;17800;85;1513000,0;-1,11
2008-07-18;17800;17800;17800;17800;103;1833400,0;0,0
2008-07-21;17800;17800;17800;17800;519;9238200,0;0,0
2008-07-22;17800;17800;17800;17800;169;3008200,0;0,0
2008-07-23;18500;18500;18500;18500;43000;795500000,0;3,93
2008-07-24;18000;18000;18000;18000;596;10728000,0;-2,7
2008-07-25;17800;17800;17800;17800;72;1281600,0;-1,11
2008-07-28;17800;17800;17800;17800;118;2100400,0;0,0
2008-07-30;17800;17800;17800;17800;508;9042400,0;0,0
2008-07-31;17800;17800;17800;17800;151;2687800,0;0,0
2008-08-01;17800;17800;17800;17800;568;10110400,0;0,0
2008-08-04;17800;17800;17800;17800;339;6034200,0;0,0
2008-08-05;17800;17800;17800;17800;70;1246000,0;0,0
2008-08-06;17800;17800;17800;17800;3520;62656000,0;0,0
2008-08-08;17800;17800;17800;17800;760;13528000,0;0,0
2008-08-11;17800;17800;17800;17800;61;1085800,0;0,0
2008-08-12;17800;17800;17800;17800;313;5571400,0;0,0
2008-08-13;17800;17800;17800;17800;260;4628000,0;0,0
