Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-03;5600;5600;5600;5600;156;873600,0;
2008-01-04;5600;5600;5600;5600;35;196000,0;0,0
2008-01-07;5600;5600;5600;5600;1470;8232000,0;0,0
2008-01-08;5600;5600;5600;5600;171;957600,0;0,0
2008-01-09;5600;5600;5600;5600;262;1467200,0;0,0
2008-01-10;5599;5599;5599;5599;264;1478136,0;-0,02
2008-01-11;5600;5600;5600;5600;352;1971200,0;0,02
2008-01-14;5800;5800;5800;5800;21;121800,0;3,57
2008-01-15;5798;5798;5798;5798;451;2614898,0;-0,03
2008-01-16;5798;5798;5798;5798;33;191334,0;0,0
2008-01-17;5600;5600;5600;5600;10508;58844800,0;-3,41
2008-01-18;6000;6000;6000;6000;50000;300000000,0;7,14
2008-01-21;6000;6000;6000;6000;56019;336114000,0;0,0
2008-01-22;5899;5899;5899;5899;8;47192,0;-1,68
2008-01-23;5901;5901;5901;5901;20;118020,0;0,03
2008-01-28;5899;5899;5899;5899;105;619395,0;-0,03
2008-01-29;5899;5899;5899;5899;25;147475,0;0,0
2008-01-30;5780;5780;5780;5780;226;1306280,0;-2,02
2008-01-31;5780;5780;5780;5780;60;346800,0;0,0
2008-02-01;5800;5800;5800;5800;245;1421000,0;0,35
2008-02-05;5800;5800;5800;5800;5;29000,0;0,0
2008-02-06;5800;5800;5800;5800;19;110200,0;0,0
2008-02-07;6000;6000;6000;6000;35;210000,0;3,45
2008-02-08;6000;6000;6000;6000;65;390000,0;0,0
2008-02-12;6000;6000;6000;6000;192;1152000,0;0,0
2008-02-13;5800;5800;5800;5800;2052;11901600,0;-3,33
2008-02-14;5999;5999;5999;5999;17;101983,0;3,43
2008-02-15;5820;5820;5820;5820;63;366660,0;-2,98
2008-02-18;6000;6000;6000;6000;419;2514000,0;3,09
2008-02-19;5999;5999;5999;5999;20;119980,0;-0,02
2008-02-20;5999;5999;5999;5999;3050;18296950,0;0,0
2008-02-21;6000;6000;6000;6000;379;2274000,0;0,02
2008-02-22;6000;6000;6000;6000;130904;785424000,0;0,0
2008-02-25;6000;6000;6000;6000;50055;300330000,0;0,0
2008-02-26;6000;6000;6000;6000;785;4710000,0;0,0
2008-02-27;6000;6000;6000;6000;18142;108852000,0;0,0
2008-02-28;6400;6400;6400;6400;104;665600,0;6,67
2008-02-29;6400;6400;6400;6400;271;1734400,0;0,0
2008-03-03;6500;6500;6500;6500;34;221000,0;1,56
2008-03-04;6500;6500;6500;6500;129;838500,0;0,0
2008-03-05;6480;6480;6480;6480;42;272160,0;-0,31
2008-03-06;6480;6480;6480;6480;110;712800,0;0,0
