Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-05-02;54,0;54,0;54,0;54,0;10;540,0;
2008-05-05;50,0;50,0;50,0;50,0;10;500,0;-7,41
2008-05-09;47,0;47,0;47,0;47,0;20;940,0;-6,0
2008-06-02;43,0;43,0;43,0;43,0;10;430,0;-8,51
2008-06-04;43,0;43,0;43,0;43,0;5;215,0;0,0
2008-07-11;43,0;43,0;43,0;43,0;9;387,0;0,0
2008-08-06;43,0;43,0;43,0;43,0;37;1591,0;0,0
2008-08-25;43,0;43,0;43,0;43,0;8;344,0;0,0
2008-08-28;43,0;43,0;43,0;43,0;500;21500,0;0,0
2008-08-29;41,0;41,0;41,0;41,0;1004;41164,0;-4,65
2008-10-08;49,0;49,0;49,0;49,0;15;735,0;19,51
2008-10-17;52,0;52,0;52,0;52,0;77;4004,0;6,12
2008-10-22;55,0;55,0;55,0;55,0;10;550,0;5,77
2008-10-31;55,0;55,0;55,0;55,0;140;7700,0;0,0
2008-11-04;59,0;59,0;59,0;59,0;10;590,0;7,27
2008-11-07;59,0;59,0;59,0;59,0;1;59,0;0,0
2008-11-11;59,0;59,0;59,0;59,0;3;177,0;0,0
2008-11-12;59,0;59,0;59,0;59,0;1;59,0;0,0
2008-11-13;59,0;59,0;59,0;59,0;2;118,0;0,0
2008-11-26;60,0;60,0;60,0;60,0;34;2040,0;1,69
2008-11-27;60,0;60,0;60,0;60,0;140;8400,0;0,0
2008-12-03;55,0;55,0;55,0;55,0;140;7700,0;-8,33
2008-12-04;51,0;51,0;51,0;51,0;150;7650,0;-7,27
2008-12-11;50,0;50,0;50,0;50,0;10;500,0;-1,96
2008-12-17;50,0;50,0;50,0;50,0;68;3400,0;0,0
2008-12-23;50,0;50,0;50,0;50,0;517;25850,0;0,0
2009-01-15;50,0;50,0;50,0;50,0;2;100,0;0,0
2009-07-09;50,0;50,0;50,0;50,0;9;450,0;0,0
2009-07-17;50,0;50,0;50,0;50,0;3;150,0;0,0
2009-07-21;50,0;50,0;50,0;50,0;47;2350,0;0,0
2009-07-22;50,0;50,0;50,0;50,0;20;1000,0;0,0
2009-07-23;50,0;50,0;50,0;50,0;10;500,0;0,0
2009-08-25;50,0;50,0;50,0;50,0;5;250,0;0,0
2009-08-28;50,0;50,0;50,0;50,0;30;1500,0;0,0
2009-10-19;50,0;50,0;50,0;50,0;10;500,0;0,0
2009-12-08;50,0;50,0;50,0;50,0;17;850,0;0,0
2010-02-25;46,0;46,0;46,0;46,0;12;552,0;-8,0
2010-04-20;46,0;46,0;46,0;46,0;1;46,0;0,0
2010-05-25;46,0;46,0;46,0;46,0;1;46,0;0,0
2010-07-28;46,0;46,0;46,0;46,0;27;1242,0;0,0
