Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-02;2500,0;2500,0;2500,0;2500,0;2;5000,0;
2008-01-03;2500,0;2500,0;2500,0;2500,0;10;25000,0;0,0
2008-01-07;2500,0;2500,0;2500,0;2500,0;97;242500,0;0,0
2008-01-08;2550,0;2550,0;2550,0;2550,0;52;132600,0;2,0
2008-01-09;2550,0;2550,0;2550,0;2550,0;12;30600,0;0,0
2008-01-10;2550,0;2550,0;2550,0;2550,0;10;25500,0;0,0
2008-01-11;2550,0;2550,0;2550,0;2550,0;15;38250,0;0,0
2008-01-14;2550,0;2550,0;2550,0;2550,0;23;58650,0;0,0
2008-01-15;2550,0;2550,0;2550,0;2550,0;34;86700,0;0,0
2008-01-16;2600,0;2600,0;2600,0;2600,0;21;54600,0;1,96
2008-01-17;2600,0;2600,0;2600,0;2600,0;10;26000,0;0,0
2008-01-18;2600,0;2600,0;2600,0;2600,0;94;244400,0;0,0
2008-01-21;2600,0;2600,0;2600,0;2600,0;5;13000,0;0,0
2008-01-24;2500,0;2500,0;2500,0;2500,0;35;87500,0;-3,85
2008-01-25;2500,0;2500,0;2500,0;2500,0;5;12500,0;0,0
2008-01-28;2495,0;2495,0;2495,0;2495,0;20;49900,0;-0,2
2008-01-29;2495,0;2495,0;2495,0;2495,0;2;4990,0;0,0
2008-01-30;2500,0;2500,0;2500,0;2500,0;11;27500,0;0,2
2008-01-31;2500,0;2500,0;2500,0;2500,0;7;17500,0;0,0
2008-02-04;2550,0;2550,0;2550,0;2550,0;28;71400,0;2,0
2008-02-05;2550,0;2550,0;2550,0;2550,0;7;17850,0;0,0
2008-02-06;2550,0;2550,0;2550,0;2550,0;2;5100,0;0,0
2008-02-07;2575,0;2575,0;2575,0;2575,0;30;77250,0;0,98
2008-02-11;2575,0;2575,0;2575,0;2575,0;82;211150,0;0,0
2008-02-13;2576,0;2576,0;2576,0;2576,0;41;105616,0;0,04
2008-02-14;2575,0;2575,0;2575,0;2575,0;100;257500,0;-0,04
2008-02-15;2575,0;2575,0;2575,0;2575,0;78;200850,0;0,0
2008-02-20;2600,0;2600,0;2600,0;2600,0;38;98800,0;0,97
2008-02-21;2600,0;2600,0;2600,0;2600,0;10;26000,0;0,0
2008-02-22;2605,0;2605,0;2605,0;2605,0;20;52100,0;0,19
2008-02-25;2605,0;2605,0;2605,0;2605,0;5;13025,0;0,0
2008-02-27;2800,0;2800,0;2800,0;2800,0;107;299600,0;7,49
2008-02-28;2800,0;2800,0;2800,0;2800,0;14;39200,0;0,0
2008-02-29;2800,0;2800,0;2800,0;2800,0;1;2800,0;0,0
2008-03-05;2800,0;2800,0;2800,0;2800,0;10;28000,0;0,0
2008-03-07;2800,0;2800,0;2800,0;2800,0;85;238000,0;0,0
2008-03-12;2925,0;2925,0;2925,0;2925,0;30;87750,0;4,46
2008-03-13;2925,0;2925,0;2925,0;2925,0;80;234000,0;0,0
2008-03-18;2950,0;2950,0;2950,0;2950,0;10;29500,0;0,85
2008-03-21;3000,0;3000,0;3000,0;3000,0;55;165000,0;1,69
2008-03-25;3000,0;3000,0;3000,0;3000,0;6;18000,0;0,0
2008-04-01;3000,0;3000,0;3000,0;3000,0;11;33000,0;0,0
2008-04-02;3000,0;3000,0;3000,0;3000,0;107;321000,0;0,0
2008-04-03;2997,0;2997,0;2997,0;2997,0;50;149850,0;-0,1
2008-04-04;2625,0;2625,0;2625,0;2625,0;525;1378125,0;-12,41
2008-04-07;2625,0;2625,0;2625,0;2625,0;338;887250,0;0,0
2008-04-08;2822,0;2822,0;2822,0;2822,0;9;25398,0;7,5
2008-04-11;2625,0;2625,0;2625,0;2625,0;67;175875,0;-6,98
2008-04-14;2625,0;2625,0;2625,0;2625,0;1098;2882250,0;0,0
2008-04-16;2625,0;2625,0;2625,0;2625,0;26;68250,0;0,0
2008-04-17;2625,0;2625,0;2625,0;2625,0;3;7875,0;0,0
2008-04-25;2625,0;2625,0;2625,0;2625,0;3;7875,0;0,0
2008-04-28;2650,0;2650,0;2650,0;2650,0;10;26500,0;0,95
2008-05-02;2701,0;2701,0;2701,0;2701,0;11;29711,0;1,92
2008-05-05;2800,0;2800,0;2800,0;2800,0;331;926800,0;3,67
2008-05-06;2800,0;2800,0;2800,0;2800,0;47;131600,0;0,0
2008-05-09;2805,0;2805,0;2805,0;2805,0;25;70125,0;0,18
2008-05-13;2810,0;2810,0;2810,0;2810,0;32;89920,0;0,18
2008-05-14;2810,0;2810,0;2810,0;2810,0;10;28100,0;0,0
2008-05-15;2810,0;2810,0;2810,0;2810,0;30;84300,0;0,0
2008-05-16;2810,0;2810,0;2810,0;2810,0;1;2810,0;0,0
2008-05-19;2810,0;2810,0;2810,0;2810,0;100;281000,0;0,0
2008-05-20;2810,0;2810,0;2810,0;2810,0;150;421500,0;0,0
2008-05-21;2810,0;2810,0;2810,0;2810,0;66;185460,0;0,0
2008-05-22;2810,0;2810,0;2810,0;2810,0;19;53390,0;0,0
2008-05-23;2810,0;2810,0;2810,0;2810,0;60;168600,0;0,0
2008-05-26;2810,0;2810,0;2810,0;2810,0;1;2810,0;0,0
2008-05-28;2811,0;2811,0;2811,0;2811,0;10;28110,0;0,04
2008-05-30;2811,0;2811,0;2811,0;2811,0;24;67464,0;0,0
2008-06-03;2811,0;2811,0;2811,0;2811,0;5;14055,0;0,0
2008-06-06;2750,0;2750,0;2750,0;2750,0;200;550000,0;-2,17
2008-06-09;2750,0;2750,0;2750,0;2750,0;20;55000,0;0,0
2008-06-11;2750,0;2750,0;2750,0;2750,0;26;71500,0;0,0
2008-06-12;2750,0;2750,0;2750,0;2750,0;1;2750,0;0,0
2008-06-17;2750,0;2750,0;2750,0;2750,0;9;24750,0;0,0
2008-06-18;2750,0;2750,0;2750,0;2750,0;16;44000,0;0,0
2008-06-23;2800,0;2800,0;2800,0;2800,0;22;61600,0;1,82
2008-06-25;2800,0;2800,0;2800,0;2800,0;13;36400,0;0,0
2008-06-27;2800,0;2800,0;2800,0;2800,0;1;2800,0;0,0
2008-07-01;2850,0;2850,0;2850,0;2850,0;10;28500,0;1,79
2008-07-02;2850,0;2850,0;2850,0;2850,0;10;28500,0;0,0
2008-07-03;2851,0;2851,0;2851,0;2851,0;60;171060,0;0,04
2008-07-04;3000,0;3000,0;3000,0;3000,0;120;360000,0;5,23
2008-07-10;3050,0;3050,0;3050,0;3050,0;26;79300,0;1,67
2008-07-11;3050,0;3050,0;3050,0;3050,0;200;610000,0;0,0
2008-07-14;3050,0;3050,0;3050,0;3050,0;121;369050,0;0,0
2008-07-15;3050,0;3050,0;3050,0;3050,0;192;585600,0;0,0
