Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-03;900,0;900,0;900,0;900,0;124;111600,0;
2008-01-04;900,0;900,0;900,0;900,0;1;900,0;0,0
2008-01-08;900,0;900,0;900,0;900,0;47;42300,0;0,0
2008-01-09;900,05;900,05;900,05;900,05;9;8100,0;0,01
2008-01-10;900,05;900,05;900,05;900,05;3;2700,0;0,0
2008-01-11;901,0;901,0;901,0;901,0;10;9010,0;0,11
2008-01-16;901,0;901,0;901,0;901,0;8;7208,0;0,0
2008-01-17;901,0;901,0;901,0;901,0;2;1802,0;0,0
2008-01-22;900,0;900,0;900,0;900,0;120;108000,0;-0,11
2008-01-23;900,0;900,0;900,0;900,0;1;900,0;0,0
2008-01-24;900,0;900,0;900,0;900,0;6;5400,0;0,0
2008-01-25;900,0;900,0;900,0;900,0;4;3600,0;0,0
2008-01-28;900,0;900,0;900,0;900,0;5;4500,0;0,0
2008-02-01;905,05;905,05;905,05;905,05;10;9050,0;0,56
2008-02-04;905,05;905,05;905,05;905,05;1;905,0;0,0
2008-02-05;905,05;905,05;905,05;905,05;22;19911,0;0,0
2008-02-08;905,05;905,05;905,05;905,05;124;112226,0;0,0
2008-02-13;905,1;905,1;905,1;905,1;10;9051,0;0,01
2008-02-15;909,55;909,55;909,55;909,55;1029;935927,0;0,49
2008-02-19;909,55;909,55;909,55;909,55;35;31834,0;0,0
2008-02-20;909,6;909,6;909,6;909,6;15;13644,0;0,01
2008-02-28;925,1;925,1;925,1;925,1;49;45330,0;1,7
2008-02-29;926,0;926,0;926,0;926,0;78;72228,0;0,1
2008-03-03;931,0;931,0;931,0;931,0;10;9310,0;0,54
2008-03-05;955,0;955,0;955,0;955,0;30;28650,0;2,58
2008-03-06;955,0;955,0;955,0;955,0;1;955,0;0,0
2008-03-11;960,1;960,1;960,1;960,1;9;8641,0;0,53
2008-03-12;965,0;965,0;965,0;965,0;11;10615,0;0,51
2008-03-18;968,0;968,0;968,0;968,0;21;20328,0;0,31
2008-04-09;1040,6;1040,6;1040,6;1040,6;9;9365,0;7,5
2008-04-11;1040,6;1040,6;1040,6;1040,6;12;12487,0;0,0
2008-04-15;1040,0;1040,0;1040,0;1040,0;258;268320,0;-0,06
2008-04-16;1040,0;1040,0;1040,0;1040,0;10;10400,0;0,0
2008-04-17;1040,0;1040,0;1040,0;1040,0;10;10400,0;0,0
2008-04-18;1045,0;1045,0;1045,0;1045,0;200;209000,0;0,48
2008-04-22;1045,0;1045,0;1045,0;1045,0;2;2090,0;0,0
2008-04-29;1045,0;1045,0;1045,0;1045,0;1;1045,0;0,0
2008-04-30;1060,1;1060,1;1060,1;1060,1;20;21202,0;1,44
2008-05-07;1070,0;1070,0;1070,0;1070,0;12;12840,0;0,93
2008-05-26;1080,25;1080,25;1080,25;1080,25;15;16204,0;0,96
2008-06-04;1090,0;1090,0;1090,0;1090,0;15;16350,0;0,9
2008-06-05;1090,0;1090,0;1090,0;1090,0;3;3270,0;0,0
2008-06-06;1090,0;1090,0;1090,0;1090,0;50;54500,0;0,0
2008-06-09;1095,0;1095,0;1095,0;1095,0;10;10950,0;0,46
2008-06-17;1095,0;1095,0;1095,0;1095,0;6;6570,0;0,0
2008-06-23;1150,0;1150,0;1150,0;1150,0;130;149500,0;5,02
2008-06-24;1150,0;1150,0;1150,0;1150,0;1;1150,0;0,0
2008-06-25;1090,0;1090,0;1090,0;1090,0;27;29430,0;-5,22
2008-06-26;1090,0;1090,0;1090,0;1090,0;57;62130,0;0,0
2008-06-27;1090,0;1090,0;1090,0;1090,0;12;13080,0;0,0
2008-07-02;1080,0;1080,0;1080,0;1080,0;18;19440,0;-0,92
2008-07-03;1080,1;1080,1;1080,1;1080,1;49;52925,0;0,01
2008-07-04;1080,0;1080,0;1080,0;1080,0;11;11880,0;-0,01
2008-07-07;1080,0;1080,0;1080,0;1080,0;234;252720,0;0,0
2008-07-08;1080,0;1080,0;1080,0;1080,0;1;1080,0;0,0
2008-07-09;1080,0;1080,0;1080,0;1080,0;8;8640,0;0,0
2008-07-10;1080,0;1080,0;1080,0;1080,0;4;4320,0;0,0
2008-07-16;1080,0;1080,0;1080,0;1080,0;55;59400,0;0,0
2008-07-17;1080,0;1080,0;1080,0;1080,0;2;2160,0;0,0
2008-07-18;1080,0;1080,0;1080,0;1080,0;9;9720,0;0,0
2008-07-21;1080,0;1080,0;1080,0;1080,0;16;17280,0;0,0
2008-07-22;1080,0;1080,0;1080,0;1080,0;12;12960,0;0,0
2008-07-28;1090,0;1090,0;1090,0;1090,0;17;18530,0;0,93
2008-07-29;1090,0;1090,0;1090,0;1090,0;20;21800,0;0,0
2008-07-30;1090,0;1090,0;1090,0;1090,0;54;58860,0;0,0
2008-07-31;1090,0;1090,0;1090,0;1090,0;24;26160,0;0,0
2008-08-01;1090,0;1090,0;1090,0;1090,0;6;6540,0;0,0
2008-08-05;1091,0;1091,0;1091,0;1091,0;15;16365,0;0,09
2008-08-14;1110,05;1110,05;1110,05;1110,05;9;9990,0;1,75
2008-08-19;1126,05;1126,05;1126,05;1126,05;26;29277,0;1,44
2008-08-22;1150,0;1150,0;1150,0;1150,0;11;12650,0;2,13
2008-08-25;1200,0;1200,0;1200,0;1200,0;10;12000,0;4,35
2008-08-27;1220,0;1220,0;1220,0;1220,0;51;62220,0;1,67
2008-08-28;1220,0;1220,0;1220,0;1220,0;91;111020,0;0,0
2008-08-29;1220,0;1220,0;1220,0;1220,0;9;10980,0;0,0
2008-09-01;1220,0;1220,0;1220,0;1220,0;43;52460,0;0,0
2008-09-02;1220,0;1220,0;1220,0;1220,0;4;4880,0;0,0
2008-09-03;1220,0;1220,0;1220,0;1220,0;100;122000,0;0,0
2008-09-04;1220,0;1220,0;1220,0;1220,0;18;21960,0;0,0
2008-09-05;1220,0;1220,0;1220,0;1220,0;30;36600,0;0,0
2008-09-15;1220,0;1220,0;1220,0;1220,0;88;107360,0;0,0
2008-09-16;1220,0;1220,0;1220,0;1220,0;1;1220,0;0,0
2008-09-17;1220,0;1220,0;1220,0;1220,0;1;1220,0;0,0
2008-09-19;1220,0;1220,0;1220,0;1220,0;93;113460,0;0,0
2008-09-22;1230,05;1230,05;1230,05;1230,05;23;28291,0;0,82
2008-09-25;1230,05;1230,05;1230,05;1230,05;5;6150,0;0,0
2008-09-26;1230,05;1230,05;1230,05;1230,05;51;62733,0;0,0
2008-10-06;1230,0;1230,0;1230,0;1230,0;49;60270,0;-0,0
2008-10-08;1230,0;1230,0;1230,0;1230,0;5;6150,0;0,0
2008-10-09;1230,0;1230,0;1230,0;1230,0;4;4920,0;0,0
2008-10-10;1230,0;1230,0;1230,0;1230,0;10;12300,0;0,0
2008-10-13;1230,0;1230,0;1230,0;1230,0;5;6150,0;0,0
2008-10-15;1230,0;1230,0;1230,0;1230,0;53;65190,0;0,0
2008-10-17;1230,0;1230,0;1230,0;1230,0;4;4920,0;0,0
2008-10-24;1189,0;1189,0;1189,0;1189,0;10;11890,0;-3,33
2008-10-31;1150,0;1150,0;1150,0;1150,0;44;50600,0;-3,28
2008-11-12;984,0;984,0;984,0;984,0;31;30504,0;-14,43
2008-11-17;900,0;900,0;900,0;900,0;166;149400,0;-8,54
2008-11-18;841,95;841,95;841,95;841,95;99;83353,0;-6,45
2008-11-19;830,0;830,0;830,0;830,0;85;70550,0;-1,42
2008-11-20;800,0;800,0;800,0;800,0;23;18400,0;-3,61
2008-11-21;740,0;740,0;740,0;740,0;23;17020,0;-7,5
2008-11-24;740,0;740,0;740,0;740,0;9;6660,0;0,0
2008-12-02;760,05;760,05;760,05;760,05;8;6080,0;2,71
2008-12-04;745,0;745,0;745,0;745,0;57;42465,0;-1,98
2008-12-05;740,0;740,0;740,0;740,0;91;67340,0;-0,67
2008-12-09;740,0;740,0;740,0;740,0;204;150960,0;0,0
2008-12-10;740,1;740,1;740,1;740,1;20;14802,0;0,01
2008-12-16;841,95;841,95;841,95;841,95;10;8420,0;13,76
2008-12-17;841,95;841,95;841,95;841,95;1;842,0;0,0
2008-12-18;841,95;841,95;841,95;841,95;5;4210,0;0,0
2008-12-23;740,0;740,0;740,0;740,0;992;734080,0;-12,11
2008-12-26;740,05;740,05;740,05;740,05;15;11101,0;0,01
2008-12-31;745,6;745,6;745,6;745,6;10;7456,0;0,75
