Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2010-08-09;47000;47000;47000;47000;30;1410000,0;
2010-08-11;48000;48000;48000;48000;13;624000,0;2,13
2010-08-12;48000;48000;48000;48000;2;96000,0;0,0
2010-08-13;48000;48000;48000;48000;24;1152000,0;0,0
2010-08-17;48000;48000;48000;48000;48;2304000,0;0,0
2010-08-18;48000;48000;48000;48000;5;240000,0;0,0
2010-08-19;48000;48000;48000;48000;20;960000,0;0,0
2010-08-23;47000;47000;47000;47000;14;658000,0;-2,08
2010-08-26;50525;50525;50525;50525;19;959975,0;7,5
2010-08-27;50400;50400;50400;50400;16;806400,0;-0,25
2010-08-30;47000;47000;47000;47000;27;1269000,0;-6,75
2010-08-31;47000;47000;47000;47000;8;376000,0;0,0
2010-09-02;47000;47000;47000;47000;43;2021000,0;0,0
2010-09-03;47000;47000;47000;47000;9;423000,0;0,0
2010-09-07;46000;46000;46000;46000;34;1564000,0;-2,13
2010-09-08;46000;46000;46000;46000;16;736000,0;0,0
2010-09-09;46020;46020;46020;46020;12;552240,0;0,04
2010-09-17;46020;46020;46020;46020;5;230100,0;0,0
2010-09-28;50000;50000;50000;50000;13;650000,0;8,65
2010-09-29;50000;50000;50000;50000;17;850000,0;0,0
2010-10-04;51000;51000;51000;51000;34;1734000,0;2,0
2010-10-05;51000;51000;51000;51000;2;102000,0;0,0
2010-10-08;58935;58935;58935;58935;49;2887815,0;15,56
2010-10-11;60000;60000;60000;60000;1000;60000000,0;1,81
2010-10-12;60000;60000;60000;60000;292;17520000,0;0,0
2010-10-13;60000;60000;60000;60000;16;960000,0;0,0
2010-10-14;60000;60000;60000;60000;10;600000,0;0,0
2010-10-15;60000;60000;60000;60000;18;1080000,0;0,0
2010-10-18;60000;60000;60000;60000;12;720000,0;0,0
2010-10-20;60000;60000;60000;60000;4;240000,0;0,0
2010-10-25;60000;60000;60000;60000;51;3060000,0;0,0
2010-10-27;60000;60000;60000;60000;16;960000,0;0,0
2010-10-28;60000;60000;60000;60000;1;60000,0;0,0
