Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-04;441;441;441;441;50;22050,0;
2008-01-10;472;472;472;472;145;68440,0;7,03
2008-01-14;507;507;507;507;50;25350,0;7,42
2008-01-16;545;545;545;545;100;54500,0;7,5
2008-01-17;584;584;584;584;42;24528,0;7,16
2008-01-18;624;624;624;624;35;21840,0;6,85
2008-01-21;624;624;624;624;4;2496,0;0,0
2008-01-23;624;624;624;624;15;9360,0;0,0
2008-01-25;625;625;625;625;10;6250,0;0,16
2008-01-29;672;672;672;672;52;34944,0;7,52
2008-01-30;720;720;720;720;25;18000,0;7,14
2008-01-31;768;768;768;768;50;38400,0;6,67
2008-02-01;826;826;826;826;35;28910,0;7,55
2008-02-04;880;880;880;880;33;29040,0;6,54
2008-02-05;880;880;880;880;3587;3156560,0;0,0
2008-02-06;880;880;880;880;17;14960,0;0,0
2008-03-13;814;814;814;814;50;40700,0;-7,5
2008-04-30;696;696;696;696;10;6960,0;-14,5
2008-05-29;696;696;696;696;258;179568,0;0,0
2008-05-30;696;696;696;696;15;10440,0;0,0
2008-06-03;696;696;696;696;20;13920,0;0,0
2008-06-11;724;724;724;724;8;5792,0;4,02
2008-06-17;724;724;724;724;1415;1024460,0;0,0
2008-06-18;724;724;724;724;2292;1659408,0;0,0
2008-06-19;778;778;778;778;112;87136,0;7,46
2008-06-20;836;836;836;836;10;8360,0;7,46
2008-06-23;896;896;896;896;15;13440,0;7,18
2008-06-24;896;896;896;896;50;44800,0;0,0
2008-06-25;896;896;896;896;3;2688,0;0,0
2008-06-27;880;880;880;880;11;9680,0;-1,79
2008-07-01;944;944;944;944;12;11328,0;7,27
2008-07-07;1015;1015;1015;1015;8;8120,0;7,52
2008-07-09;1090;1090;1090;1090;51;55590,0;7,39
2008-07-10;1140;1140;1140;1140;10;11400,0;4,59
2008-07-11;1160;1160;1160;1160;110;127600,0;1,75
2008-07-15;1208;1208;1208;1208;485;585880,0;4,14
2008-07-17;1208;1208;1208;1208;5;6040,0;0,0
2008-07-22;1208;1208;1208;1208;55;66440,0;0,0
2008-08-01;1120;1120;1120;1120;9;10080,0;-7,28
2008-08-21;1112;1112;1112;1112;18;20016,0;-0,71
2008-08-22;1160;1160;1160;1160;43;49880,0;4,32
2008-08-25;1160;1160;1160;1160;7;8120,0;0,0
2008-08-26;1160;1160;1160;1160;9;10440,0;0,0
2008-08-28;1160;1160;1160;1160;10;11600,0;0,0
2008-08-29;1160;1160;1160;1160;34;39440,0;0,0
2008-09-09;1073;1073;1073;1073;10;10730,0;-7,5
2008-09-10;1040;1040;1040;1040;26;27040,0;-3,08
2008-09-12;1040;1040;1040;1040;12;12480,0;0,0
2008-09-16;1000;1000;1000;1000;35;35000,0;-3,85
2008-09-22;1000;1000;1000;1000;20;20000,0;0,0
2008-09-23;1000;1000;1000;1000;7;7000,0;0,0
2008-09-24;1020;1020;1020;1020;23;23460,0;2,0
2008-09-25;1000;1000;1000;1000;152;152000,0;-1,96
2008-10-02;1000;1000;1000;1000;10;10000,0;0,0
2008-10-15;1000;1000;1000;1000;10;10000,0;0,0
2008-10-17;960;960;960;960;10;9600,0;-4,0
2008-10-28;960;960;960;960;21;20160,0;0,0
2008-10-30;960;960;960;960;10;9600,0;0,0
2008-11-04;960;960;960;960;4;3840,0;0,0
2009-01-27;919;919;919;919;12;11028,0;-4,27
2009-02-04;916;916;916;916;10;9160,0;-0,33
2009-06-03;916;916;916;916;2;1832,0;0,0
2009-06-26;916;916;916;916;2;1832,0;0,0
2009-07-01;880;880;880;880;8;7040,0;-3,93
2009-07-16;880;880;880;880;2;1760,0;0,0
2009-07-23;880;880;880;880;5;4400,0;0,0
2009-08-12;796;796;796;796;12;9552,0;-9,55
2009-08-17;736;736;736;736;17;12512,0;-7,54
2009-09-10;720;720;720;720;9;6480,0;-2,17
2009-09-23;720;720;720;720;5;3600,0;0,0
2009-09-25;720;720;720;720;1;720,0;0,0
2010-01-21;600;600;600;600;33;19800,0;-16,67
2010-01-22;592;592;592;592;29;17168,0;-1,33
2010-03-05;469;469;469;469;8;3752,0;-20,78
2010-03-10;468;468;468;468;20;9360,0;-0,21
2010-03-18;468;468;468;468;8;3744,0;0,0
2010-04-16;468;468;468;468;2;936,0;0,0
2010-04-27;468;468;468;468;1;468,0;0,0
2010-05-05;468;468;468;468;2;936,0;0,0
2010-05-07;468;468;468;468;1;468,0;0,0
2010-05-11;468;468;468;468;2;936,0;0,0
2010-05-19;468;468;468;468;1;468,0;0,0
2010-05-21;468;468;468;468;1;468,0;0,0
2010-05-26;468;468;468;468;1;468,0;0,0
2010-06-01;468;468;468;468;30;14040,0;0,0
2010-06-02;468;468;468;468;8;3744,0;0,0
2010-06-04;468;468;468;468;3;1404,0;0,0
2010-06-15;468;468;468;468;2;936,0;0,0
2010-06-16;468;468;468;468;31;14508,0;0,0
2010-06-22;468;468;468;468;1;468,0;0,0
2010-06-24;468;468;468;468;5;2340,0;0,0
2010-06-28;468;468;468;468;4;1872,0;0,0
2010-07-01;468;468;468;468;10;4680,0;0,0
2010-07-14;468;468;468;468;1;468,0;0,0
2010-07-29;433;433;433;433;10;4330,0;-7,48
2010-08-16;420;420;420;420;95;39900,0;-3,0
2010-08-18;420;420;420;420;900;378000,0;0,0
2010-09-07;400;400;400;400;30;12000,0;-4,76
2010-09-09;370;370;370;370;10;3700,0;-7,5
2010-09-28;370;370;370;370;7;2590,0;0,0
2010-09-30;370;370;370;370;12;4440,0;0,0
2010-10-05;370;370;370;370;7;2590,0;0,0
2010-10-21;400;400;400;400;10;4000,0;8,11
2010-10-29;370;370;370;370;34;12580,0;-7,5
2010-11-12;370;370;370;370;15;5550,0;0,0
2010-12-10;370;370;370;370;30;11100,0;0,0
2010-12-22;370;370;370;370;1;370,0;0,0
2011-01-27;370;370;370;370;2;740,0;0,0
2011-07-12;370;370;370;370;3;1110,0;0,0
2011-07-14;370;370;370;370;7;2590,0;0,0
2011-07-26;370;370;370;370;3;1110,0;0,0
2011-08-02;370;370;370;370;2;740,0;0,0
2011-08-03;370;370;370;370;1;370,0;0,0
2011-08-04;370;370;370;370;5;1850,0;0,0
2011-08-05;370;370;370;370;10;3700,0;0,0
2011-08-16;370;370;370;370;3;1110,0;0,0
2011-08-22;370;370;370;370;2;740,0;0,0
2011-09-06;342;342;342;342;351;120042,0;-7,57
2011-09-14;317;317;317;317;10;3170,0;-7,31
2011-09-23;300;300;300;300;40;12000,0;-5,36
2011-09-30;280;280;280;280;45;12600,0;-6,67
2011-10-03;280;280;280;280;106;29680,0;0,0
2011-10-05;280;280;280;280;110;30800,0;0,0
2011-10-07;280;280;280;280;33;9240,0;0,0
2011-10-27;280;280;280;280;15;4200,0;0,0
2011-10-28;296;296;296;296;10;2960,0;5,71
2011-11-04;296;296;296;296;2;592,0;0,0
2011-11-11;296;296;296;296;27;7992,0;0,0
2011-11-18;280;280;280;280;9;2520,0;-5,41
2011-11-28;276;276;276;276;16;4416,0;-1,43
2011-12-07;296;296;296;296;29;8584,0;7,25
2011-12-09;296;296;296;296;56;16576,0;0,0
2011-12-12;296;296;296;296;14;4144,0;0,0
2011-12-14;296;296;296;296;17;5032,0;0,0
2011-12-27;318;318;318;318;64;20352,0;7,43
2012-01-11;360;360;360;360;11;3960,0;13,21
2012-01-18;387;387;387;387;23;8901,0;7,5
2012-01-19;387;387;387;387;35;13545,0;0,0
2012-01-27;387;387;387;387;50;19350,0;0,0
2012-01-30;387;387;387;387;55;21285,0;0,0
2012-02-03;378;378;378;378;13;4914,0;-2,33
2012-02-07;350;350;350;350;18;6300,0;-7,41
2012-02-08;324;324;324;324;14;4536,0;-7,43
2012-02-10;320;320;320;320;20;6400,0;-1,23
2012-02-14;320;320;320;320;5;1600,0;0,0
2012-02-15;320;320;320;320;4;1280,0;0,0
2012-02-20;296;296;296;296;10;2960,0;-7,5
2012-02-22;296;296;296;296;5;1480,0;0,0
2012-02-28;280;280;280;280;40;11200,0;-5,41
2012-03-01;280;280;280;280;27;7560,0;0,0
2012-03-02;280;280;280;280;4;1120,0;0,0
2012-03-07;280;280;280;280;60;16800,0;0,0
2012-03-13;259;259;259;259;8;2072,0;-7,5
