Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2008-01-02;199,22;199,22;199,22;199,22;0;0,0;
2008-01-03;199,92;199,92;199,92;199,92;0;0,0;0,35
2008-01-04;199,88;199,88;199,88;199,88;0;0,0;-0,02
2008-01-07;200,27;200,27;200,27;200,27;0;0,0;0,2
2008-01-08;200,44;200,44;200,44;200,44;0;0,0;0,08
2008-01-09;200,45;200,45;200,45;200,45;0;0,0;0,0
2008-01-10;201,39;201,39;201,39;201,39;0;0,0;0,47
2008-01-11;203,0;203,0;203,0;203,0;0;0,0;0,8
2008-01-14;204,26;204,26;204,26;204,26;0;0,0;0,62
2008-01-15;204,69;204,69;204,69;204,69;0;0,0;0,21
2008-01-16;204,53;204,53;204,53;204,53;0;0,0;-0,08
2008-01-17;204,24;204,24;204,24;204,24;0;0,0;-0,14
2008-01-18;208,05;208,05;208,05;208,05;0;0,0;1,87
2008-01-21;208,05;208,05;208,05;208,05;0;0,0;0,0
2008-01-22;206,59;206,59;206,59;206,59;0;0,0;-0,7
2008-01-23;206,59;206,59;206,59;206,59;0;0,0;0,0
2008-01-24;211,83;211,83;211,83;211,83;0;0,0;2,54
2008-01-25;211,81;211,81;211,81;211,81;0;0,0;-0,01
2008-01-28;211,45;211,45;211,45;211,45;0;0,0;-0,17
2008-01-29;211,87;211,87;211,87;211,87;0;0,0;0,2
2008-01-30;211,84;211,84;211,84;211,84;0;0,0;-0,01
2008-01-31;213,18;213,18;213,18;213,18;0;0,0;0,63
2008-02-01;211,43;211,43;211,43;211,43;0;0,0;-0,82
2008-02-04;211,49;211,49;211,49;211,49;0;0,0;0,03
2008-02-05;213,11;213,11;213,11;213,11;0;0,0;0,77
2008-02-06;214,62;214,62;214,62;214,62;0;0,0;0,71
2008-02-07;215,7;215,7;215,7;215,7;0;0,0;0,5
2008-02-08;216,87;216,87;216,87;216,87;0;0,0;0,54
2008-02-11;216,88;216,88;216,88;216,88;0;0,0;0,0
2008-02-12;209,12;209,12;209,12;209,12;0;0,0;-3,58
2008-02-13;216,52;216,52;216,52;216,52;0;0,0;3,54
2008-02-14;215,29;215,29;215,29;215,29;0;0,0;-0,57
2008-02-15;209,7;209,7;209,7;209,7;0;0,0;-2,6
2008-02-18;215,99;215,99;215,99;215,99;0;0,0;3,0
