Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2025-01-02;99,16;99,16;99,16;99,16;0;0,0;
2025-01-03;98,97;98,97;98,97;98,97;0;0,0;-0,19
2025-01-06;100,17;100,17;100,17;100,17;0;0,0;1,21
2025-01-07;98,08;98,08;98,08;98,08;0;0,0;-2,09
2025-01-08;98,72;98,72;98,72;98,72;0;0,0;0,65
2025-01-09;97,69;97,69;97,69;97,69;0;0,0;-1,04
2025-01-10;98,49;98,49;98,49;98,49;0;0,0;0,82
2025-01-13;97,78;97,78;97,78;97,78;0;0,0;-0,72
2025-01-14;97,1;97,1;97,1;97,1;0;0,0;-0,7
2025-01-15;96,72;96,72;96,72;96,72;0;0,0;-0,39
2025-01-16;95,91;95,91;95,91;95,91;0;0,0;-0,84
2025-01-17;98,03;98,03;98,03;98,03;0;0,0;2,21
2025-01-20;98,38;98,38;98,38;98,38;0;0,0;0,36
2025-01-21;98,38;98,38;98,38;98,38;0;0,0;0,0
2025-01-22;98,7;98,7;98,7;98,7;0;0,0;0,33
2025-01-23;98,37;98,37;98,37;98,37;0;0,0;-0,33
2025-01-24;98,69;98,69;98,69;98,69;0;0,0;0,33
2025-01-27;98,9;98,9;98,9;98,9;0;0,0;0,21
2025-01-28;97,35;97,35;97,35;97,35;0;0,0;-1,57
2025-01-29;97,47;97,47;97,47;97,47;0;0,0;0,12
2025-01-31;98,24;98,24;98,24;98,24;0;0,0;0,79
2025-02-03;98,25;98,25;98,25;98,25;0;0,0;0,01
2025-02-04;98,48;98,48;98,48;98,48;0;0,0;0,23
2025-02-05;98,82;98,82;98,82;98,82;0;0,0;0,35
2025-02-06;99,23;99,23;99,23;99,23;0;0,0;0,41
2025-02-07;100,93;100,93;100,93;100,93;0;0,0;1,71
2025-02-10;104,95;104,95;104,95;104,95;0;0,0;3,98
2025-02-11;103,59;103,59;103,59;103,59;0;0,0;-1,3
2025-02-12;104,03;104,03;104,03;104,03;0;0,0;0,42
2025-02-13;104,1;104,1;104,1;104,1;0;0,0;0,07
2025-02-14;103,34;103,34;103,34;103,34;0;0,0;-0,73
2025-02-17;103,35;103,35;103,35;103,35;0;0,0;0,01
2025-02-18;102,87;102,87;102,87;102,87;0;0,0;-0,46
2025-02-19;103,12;103,12;103,12;103,12;0;0,0;0,24
2025-02-20;103,16;103,16;103,16;103,16;0;0,0;0,04
2025-02-21;104,63;104,63;104,63;104,63;0;0,0;1,42
2025-02-24;105,94;105,94;105,94;105,94;0;0,0;1,25
2025-02-25;105,82;105,82;105,82;105,82;0;0,0;-0,11
2025-02-26;105,54;105,54;105,54;105,54;0;0,0;-0,26
2025-02-27;105,77;105,77;105,77;105,77;0;0,0;0,22
2025-02-28;106,4;106,4;106,4;106,4;0;0,0;0,6
2025-03-03;107,66;107,66;107,66;107,66;0;0,0;1,18
2025-03-04;109,06;109,06;109,06;109,06;0;0,0;1,3
2025-03-05;111,99;111,99;111,99;111,99;0;0,0;2,69
2025-03-06;113,81;113,81;113,81;113,81;0;0,0;1,63
2025-03-07;114,13;114,13;114,13;114,13;0;0,0;0,28
2025-03-10;116,3;116,3;116,3;116,3;0;0,0;1,9
2025-03-11;116,77;116,77;116,77;116,77;0;0,0;0,4
2025-03-12;116,0;116,0;116,0;116,0;0;0,0;-0,66
2025-03-13;116,62;116,62;116,62;116,62;0;0,0;0,53
2025-03-14;118,35;118,35;118,35;118,35;0;0,0;1,48
2025-03-17;120,57;120,57;120,57;120,57;0;0,0;1,88
2025-03-18;120,98;120,98;120,98;120,98;0;0,0;0,34
2025-03-19;118,68;118,68;118,68;118,68;0;0,0;-1,9
2025-03-20;120,03;120,03;120,03;120,03;0;0,0;1,14
2025-03-21;120,44;120,44;120,44;120,44;0;0,0;0,34
2025-03-24;119,91;119,91;119,91;119,91;0;0,0;-0,44
2025-03-25;118,82;118,82;118,82;118,82;0;0,0;-0,91
2025-03-26;118,27;118,27;118,27;118,27;0;0,0;-0,46
2025-03-27;118,27;118,27;118,27;118,27;0;0,0;0,0
2025-03-28;119,6;119,6;119,6;119,6;0;0,0;1,12
2025-03-31;119,6;119,6;119,6;119,6;0;0,0;0,0
2025-04-01;117,65;117,65;117,65;117,65;0;0,0;-1,63
2025-04-02;116,7;116,7;116,7;116,7;0;0,0;-0,81
2025-04-03;116,54;116,54;116,54;116,54;0;0,0;-0,14
2025-04-04;117,23;117,23;117,23;117,23;0;0,0;0,59
2025-04-07;116,46;116,46;116,46;116,46;0;0,0;-0,66
2025-04-08;115,57;115,57;115,57;115,57;0;0,0;-0,76
2025-04-09;116,42;116,42;116,42;116,42;0;0,0;0,74
2025-04-10;115,41;115,41;115,41;115,41;0;0,0;-0,87
2025-04-11;116,09;116,09;116,09;116,09;0;0,0;0,59
2025-04-14;117,67;117,67;117,67;117,67;0;0,0;1,36
2025-04-15;117,31;117,31;117,31;117,31;0;0,0;-0,31
2025-04-16;118,1;118,1;118,1;118,1;0;0,0;0,67
2025-04-17;117,95;117,95;117,95;117,95;0;0,0;-0,13
2025-04-18;117,51;117,51;117,51;117,51;0;0,0;-0,37
2025-04-21;117,51;117,51;117,51;117,51;0;0,0;0,0
2025-04-22;117,79;117,79;117,79;117,79;0;0,0;0,24
2025-04-23;116,88;116,88;116,88;116,88;0;0,0;-0,77
2025-04-24;117,63;117,63;117,63;117,63;0;0,0;0,64
2025-04-25;117,02;117,02;117,02;117,02;0;0,0;-0,52
2025-04-28;116,67;116,67;116,67;116,67;0;0,0;-0,3
2025-04-29;117,06;117,06;117,06;117,06;0;0,0;0,33
2025-04-30;118,27;118,27;118,27;118,27;0;0,0;1,03
2025-05-01;118,27;118,27;118,27;118,27;0;0,0;0,0
2025-05-02;117,3;117,3;117,3;117,3;0;0,0;-0,82
2025-05-05;116,51;116,51;116,51;116,51;0;0,0;-0,67
2025-05-06;119,21;119,21;119,21;119,21;0;0,0;2,32
2025-05-07;120,18;120,18;120,18;120,18;0;0,0;0,81
2025-05-08;122,12;122,12;122,12;122,12;0;0,0;1,61
2025-05-09;125,22;125,22;125,22;125,22;0;0,0;2,54
2025-05-12;128,55;128,55;128,55;128,55;0;0,0;2,66
2025-05-13;127,92;127,92;127,92;127,92;0;0,0;-0,49
2025-05-14;128,97;128,97;128,97;128,97;0;0,0;0,82
2025-05-15;129,8;129,8;129,8;129,8;0;0,0;0,64
2025-05-16;131,1;131,1;131,1;131,1;0;0,0;1,0
