Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2025-01-02;99,57;99,57;99,57;99,57;0;0,0;
2025-01-03;99,45;99,45;99,45;99,45;0;0,0;-0,12
2025-01-06;98,98;98,98;98,98;98,98;0;0,0;-0,47
2025-01-07;97,23;97,23;97,23;97,23;0;0,0;-1,77
2025-01-08;97,81;97,81;97,81;97,81;0;0,0;0,6
2025-01-09;96,07;96,07;96,07;96,07;0;0,0;-1,78
2025-01-10;97,47;97,47;97,47;97,47;0;0,0;1,46
2025-01-13;96,78;96,78;96,78;96,78;0;0,0;-0,71
2025-01-14;96,46;96,46;96,46;96,46;0;0,0;-0,33
2025-01-15;96,06;96,06;96,06;96,06;0;0,0;-0,41
2025-01-16;96,71;96,71;96,71;96,71;0;0,0;0,68
2025-01-17;96,71;96,71;96,71;96,71;0;0,0;0,0
2025-01-20;96,66;96,66;96,66;96,66;0;0,0;-0,05
2025-01-21;96,66;96,66;96,66;96,66;0;0,0;0,0
2025-01-22;96,7;96,7;96,7;96,7;0;0,0;0,04
2025-01-23;96,41;96,41;96,41;96,41;0;0,0;-0,3
2025-01-24;96,91;96,91;96,91;96,91;0;0,0;0,52
2025-01-27;97,23;97,23;97,23;97,23;0;0,0;0,33
2025-01-28;97,42;97,42;97,42;97,42;0;0,0;0,2
2025-01-29;98,12;98,12;98,12;98,12;0;0,0;0,72
2025-01-31;98,59;98,59;98,59;98,59;0;0,0;0,48
2025-02-03;98,25;98,25;98,25;98,25;0;0,0;-0,34
2025-02-04;99,59;99,59;99,59;99,59;0;0,0;1,36
2025-02-05;99,51;99,51;99,51;99,51;0;0,0;-0,08
2025-02-06;99,6;99,6;99,6;99,6;0;0,0;0,09
2025-02-07;100,89;100,89;100,89;100,89;0;0,0;1,3
2025-02-10;100,65;100,65;100,65;100,65;0;0,0;-0,24
2025-02-11;100,06;100,06;100,06;100,06;0;0,0;-0,59
2025-02-12;100,84;100,84;100,84;100,84;0;0,0;0,78
2025-02-13;99,55;99,55;99,55;99,55;0;0,0;-1,28
2025-02-14;100,8;100,8;100,8;100,8;0;0,0;1,26
2025-02-17;102,57;102,57;102,57;102,57;0;0,0;1,76
2025-02-18;103,05;103,05;103,05;103,05;0;0,0;0,47
2025-02-19;103,1;103,1;103,1;103,1;0;0,0;0,05
2025-02-20;104,04;104,04;104,04;104,04;0;0,0;0,91
2025-02-21;104,65;104,65;104,65;104,65;0;0,0;0,59
2025-02-24;105,51;105,51;105,51;105,51;0;0,0;0,82
2025-02-25;105,12;105,12;105,12;105,12;0;0,0;-0,37
2025-02-26;105,38;105,38;105,38;105,38;0;0,0;0,25
2025-02-27;105,14;105,14;105,14;105,14;0;0,0;-0,23
2025-02-28;105,58;105,58;105,58;105,58;0;0,0;0,42
2025-03-03;106,13;106,13;106,13;106,13;0;0,0;0,52
2025-03-04;106,1;106,1;106,1;106,1;0;0,0;-0,03
2025-03-05;107,63;107,63;107,63;107,63;0;0,0;1,44
2025-03-06;108,46;108,46;108,46;108,46;0;0,0;0,77
2025-03-07;108,23;108,23;108,23;108,23;0;0,0;-0,21
2025-03-10;109,02;109,02;109,02;109,02;0;0,0;0,73
2025-03-11;109,08;109,08;109,08;109,08;0;0,0;0,06
2025-03-12;109,34;109,34;109,34;109,34;0;0,0;0,24
2025-03-13;109,7;109,7;109,7;109,7;0;0,0;0,33
2025-03-14;109,88;109,88;109,88;109,88;0;0,0;0,16
2025-03-17;109,77;109,77;109,77;109,77;0;0,0;-0,1
2025-03-18;110,74;110,74;110,74;110,74;0;0,0;0,88
2025-03-19;111,76;111,76;111,76;111,76;0;0,0;0,92
2025-03-20;110,83;110,83;110,83;110,83;0;0,0;-0,83
2025-03-21;113,18;113,18;113,18;113,18;0;0,0;2,12
2025-03-24;113,39;113,39;113,39;113,39;0;0,0;0,19
2025-03-25;113,68;113,68;113,68;113,68;0;0,0;0,26
2025-03-26;112,96;112,96;112,96;112,96;0;0,0;-0,63
2025-03-27;112,96;112,96;112,96;112,96;0;0,0;0,0
2025-03-28;112,88;112,88;112,88;112,88;0;0,0;-0,07
2025-03-31;112,88;112,88;112,88;112,88;0;0,0;0,0
2025-04-01;111,56;111,56;111,56;111,56;0;0,0;-1,17
2025-04-02;112,13;112,13;112,13;112,13;0;0,0;0,51
2025-04-03;111,87;111,87;111,87;111,87;0;0,0;-0,23
2025-04-04;111,48;111,48;111,48;111,48;0;0,0;-0,35
2025-04-07;111,96;111,96;111,96;111,96;0;0,0;0,43
2025-04-08;112,27;112,27;112,27;112,27;0;0,0;0,28
2025-04-09;111,94;111,94;111,94;111,94;0;0,0;-0,29
2025-04-10;113,1;113,1;113,1;113,1;0;0,0;1,04
2025-04-11;112,04;112,04;112,04;112,04;0;0,0;-0,94
2025-04-14;113,2;113,2;113,2;113,2;0;0,0;1,04
2025-04-15;113,28;113,28;113,28;113,28;0;0,0;0,07
2025-04-16;112,82;112,82;112,82;112,82;0;0,0;-0,41
2025-04-17;113,25;113,25;113,25;113,25;0;0,0;0,38
2025-04-18;112,61;112,61;112,61;112,61;0;0,0;-0,57
2025-04-21;112,61;112,61;112,61;112,61;0;0,0;0,0
2025-04-22;113,42;113,42;113,42;113,42;0;0,0;0,72
2025-04-23;113,26;113,26;113,26;113,26;0;0,0;-0,14
2025-04-24;113,64;113,64;113,64;113,64;0;0,0;0,34
2025-04-25;113,39;113,39;113,39;113,39;0;0,0;-0,22
2025-04-28;112,62;112,62;112,62;112,62;0;0,0;-0,68
2025-04-29;112,19;112,19;112,19;112,19;0;0,0;-0,38
2025-04-30;111,36;111,36;111,36;111,36;0;0,0;-0,74
2025-05-01;111,36;111,36;111,36;111,36;0;0,0;0,0
2025-05-02;111,88;111,88;111,88;111,88;0;0,0;0,47
2025-05-05;110,72;110,72;110,72;110,72;0;0,0;-1,04
2025-05-06;111,51;111,51;111,51;111,51;0;0,0;0,71
2025-05-07;112,0;112,0;112,0;112,0;0;0,0;0,44
2025-05-08;112,01;112,01;112,01;112,01;0;0,0;0,01
2025-05-09;112,75;112,75;112,75;112,75;0;0,0;0,66
2025-05-12;112,36;112,36;112,36;112,36;0;0,0;-0,35
2025-05-13;112,35;112,35;112,35;112,35;0;0,0;-0,01
2025-05-14;113,45;113,45;113,45;113,45;0;0,0;0,98
2025-05-15;114,94;114,94;114,94;114,94;0;0,0;1,31
