Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2020-01-02;4688403;4688403;4688403;4688403;0;0,0;
2020-01-03;4661438;4661438;4661438;4661438;0;0,0;-0,58
2020-01-06;4592779;4592779;4592779;4592779;0;0,0;-1,47
2020-01-07;4485377;4485377;4485377;4485377;0;0,0;-2,34
2020-01-08;4399346;4399346;4399346;4399346;0;0,0;-1,92
2020-01-09;4440237;4440237;4440237;4440237;0;0,0;0,93
2020-01-10;4414474;4414474;4414474;4414474;0;0,0;-0,58
2020-01-13;4410081;4410081;4410081;4410081;0;0,0;-0,1
2020-01-14;4400772;4400772;4400772;4400772;0;0,0;-0,21
2020-01-15;4452974;4452974;4452974;4452974;0;0,0;1,19
2020-01-16;4439262;4439262;4439262;4439262;0;0,0;-0,31
2020-01-17;4491789;4491789;4491789;4491789;0;0,0;1,18
2020-01-20;4518870;4518870;4518870;4518870;0;0,0;0,6
2020-01-21;4518262;4518262;4518262;4518262;0;0,0;-0,01
2020-01-22;4520066;4520066;4520066;4520066;0;0,0;0,04
2020-01-23;4536276;4536276;4536276;4536276;0;0,0;0,36
2020-01-24;4568019;4568019;4568019;4568019;0;0,0;0,7
2020-01-27;4545292;4545292;4545292;4545292;0;0,0;-0,5
2020-01-28;4533491;4533491;4533491;4533491;0;0,0;-0,26
2020-01-29;4534674;4534674;4534674;4534674;0;0,0;0,03
2020-01-30;4550099;4550099;4550099;4550099;0;0,0;0,34
2020-01-31;4548481;4548481;4548481;4548481;0;0,0;-0,04
2020-02-03;4510036;4510036;4510036;4510036;0;0,0;-0,85
2020-02-04;4530943;4530943;4530943;4530943;0;0,0;0,46
2020-02-05;4510068;4510068;4510068;4510068;0;0,0;-0,46
2020-02-06;4455001;4455001;4455001;4455001;0;0,0;-1,22
2020-02-07;4425699;4425699;4425699;4425699;0;0,0;-0,66
2020-02-10;4359841;4359841;4359841;4359841;0;0,0;-1,49
2020-02-11;4384997;4384997;4384997;4384997;0;0,0;0,58
2020-02-12;4338898;4338898;4338898;4338898;0;0,0;-1,05
2020-02-13;4327903;4327903;4327903;4327903;0;0,0;-0,25
2020-02-14;4307811;4307811;4307811;4307811;0;0,0;-0,46
2020-02-17;4349598;4349598;4349598;4349598;0;0,0;0,97
2020-02-18;4335367;4335367;4335367;4335367;0;0,0;-0,33
2020-02-19;4303523;4303523;4303523;4303523;0;0,0;-0,73
2020-02-20;4289921;4289921;4289921;4289921;0;0,0;-0,32
2020-02-21;4298323;4298323;4298323;4298323;0;0,0;0,2
2020-02-24;4291075;4291075;4291075;4291075;0;0,0;-0,17
2020-02-25;4266335;4266335;4266335;4266335;0;0,0;-0,58
2020-02-26;4281311;4281311;4281311;4281311;0;0,0;0,35
2020-02-27;4314933;4314933;4314933;4314933;0;0,0;0,79
2020-02-28;4346515;4346515;4346515;4346515;0;0,0;0,73
2020-03-02;4424073;4424073;4424073;4424073;0;0,0;1,78
2020-03-03;4379647;4379647;4379647;4379647;0;0,0;-1,0
2020-03-04;4369550;4369550;4369550;4369550;0;0,0;-0,23
2020-03-05;4342229;4342229;4342229;4342229;0;0,0;-0,63
2020-03-06;4359879;4359879;4359879;4359879;0;0,0;0,41
2020-03-09;4338293;4338293;4338293;4338293;0;0,0;-0,5
2020-03-10;4357221;4357221;4357221;4357221;0;0,0;0,44
2020-03-11;4332656;4332656;4332656;4332656;0;0,0;-0,56
2020-03-12;4318096;4318096;4318096;4318096;0;0,0;-0,34
2020-03-13;4318112;4318112;4318112;4318112;0;0,0;0,0
2020-03-16;4285184;4285184;4285184;4285184;0;0,0;-0,76
2020-03-17;4301727;4301727;4301727;4301727;0;0,0;0,39
2020-03-18;4288582;4288582;4288582;4288582;0;0,0;-0,31
2020-03-19;4207231;4207231;4207231;4207231;0;0,0;-1,9
2020-03-20;4209788;4209788;4209788;4209788;0;0,0;0,06
