Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2017-01-02;100,0;100,0;100,0;100,0;0;0,0;
2017-01-03;99,71;99,71;99,71;99,71;0;0,0;-0,29
2017-01-04;99,21;99,21;99,21;99,21;0;0,0;-0,5
2017-01-05;98,49;98,49;98,49;98,49;0;0,0;-0,73
2017-01-06;98,58;98,58;98,58;98,58;0;0,0;0,09
2017-01-09;98,33;98,33;98,33;98,33;0;0,0;-0,25
2017-01-10;98,11;98,11;98,11;98,11;0;0,0;-0,22
2017-01-11;98,06;98,06;98,06;98,06;0;0,0;-0,05
2017-01-12;97,93;97,93;97,93;97,93;0;0,0;-0,13
2017-01-13;96,73;96,73;96,73;96,73;0;0,0;-1,23
2017-01-16;96,99;96,99;96,99;96,99;0;0,0;0,27
2017-01-17;96,79;96,79;96,79;96,79;0;0,0;-0,21
2017-01-18;96,59;96,59;96,59;96,59;0;0,0;-0,21
2017-01-19;96,99;96,99;96,99;96,99;0;0,0;0,41
2017-01-20;97,44;97,44;97,44;97,44;0;0,0;0,46
2017-01-23;96,59;96,59;96,59;96,59;0;0,0;-0,87
2017-01-24;96,28;96,28;96,28;96,28;0;0,0;-0,32
2017-01-25;95,88;95,88;95,88;95,88;0;0,0;-0,42
2017-01-26;95,58;95,58;95,58;95,58;0;0,0;-0,31
2017-01-27;95,91;95,91;95,91;95,91;0;0,0;0,35
2017-01-30;95,62;95,62;95,62;95,62;0;0,0;-0,3
2017-01-31;96,08;96,08;96,08;96,08;0;0,0;0,48
2017-02-01;96,25;96,25;96,25;96,25;0;0,0;0,18
2017-02-02;96,44;96,44;96,44;96,44;0;0,0;0,2
2017-02-03;96,59;96,59;96,59;96,59;0;0,0;0,16
2017-02-06;96,66;96,66;96,66;96,66;0;0,0;0,07
2017-02-07;96,12;96,12;96,12;96,12;0;0,0;-0,56
2017-02-08;95,9;95,9;95,9;95,9;0;0,0;-0,23
2017-02-09;95,71;95,71;95,71;95,71;0;0,0;-0,2
2017-02-10;96,26;96,26;96,26;96,26;0;0,0;0,57
2017-02-13;95,51;95,51;95,51;95,51;0;0,0;-0,78
2017-02-14;95,81;95,81;95,81;95,81;0;0,0;0,31
2017-02-15;95,26;95,26;95,26;95,26;0;0,0;-0,57
2017-02-16;95,41;95,41;95,41;95,41;0;0,0;0,16
2017-02-17;95,56;95,56;95,56;95,56;0;0,0;0,16
2017-02-20;95,17;95,17;95,17;95,17;0;0,0;-0,41
2017-02-21;94,98;94,98;94,98;94,98;0;0,0;-0,2
2017-02-22;95,7;95,7;95,7;95,7;0;0,0;0,76
2017-02-23;95,56;95,56;95,56;95,56;0;0,0;-0,15
2017-02-24;97,16;97,16;97,16;97,16;0;0,0;1,67
2017-02-27;97,22;97,22;97,22;97,22;0;0,0;0,06
