Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2019-03-31;100,0;100,0;100,0;100,0;0;0,0;
2019-04-01;98,89;98,89;98,89;98,89;0;0,0;-1,11
2019-04-02;98,82;98,82;98,82;98,82;0;0,0;-0,07
2019-04-03;98,64;98,64;98,64;98,64;0;0,0;-0,18
2019-04-04;99,59;99,59;99,59;99,59;0;0,0;0,96
2019-04-05;100,11;100,11;100,11;100,11;0;0,0;0,52
2019-04-08;100,38;100,38;100,38;100,38;0;0,0;0,27
2019-04-09;100,87;100,87;100,87;100,87;0;0,0;0,49
2019-04-10;100,53;100,53;100,53;100,53;0;0,0;-0,34
2019-04-11;100,13;100,13;100,13;100,13;0;0,0;-0,4
2019-04-12;99,87;99,87;99,87;99,87;0;0,0;-0,26
2019-04-15;99,2;99,2;99,2;99,2;0;0,0;-0,67
2019-04-16;99,42;99,42;99,42;99,42;0;0,0;0,22
2019-04-17;100,43;100,43;100,43;100,43;0;0,0;1,02
2019-04-18;99,91;99,91;99,91;99,91;0;0,0;-0,52
2019-04-19;99,56;99,56;99,56;99,56;0;0,0;-0,35
2019-04-22;99,56;99,56;99,56;99,56;0;0,0;0,0
2019-04-23;100,71;100,71;100,71;100,71;0;0,0;1,16
2019-04-24;100,81;100,81;100,81;100,81;0;0,0;0,1
2019-04-25;100,6;100,6;100,6;100,6;0;0,0;-0,21
2019-04-26;101,04;101,04;101,04;101,04;0;0,0;0,44
2019-04-29;100,3;100,3;100,3;100,3;0;0,0;-0,73
2019-04-30;101,66;101,66;101,66;101,66;0;0,0;1,36
2019-05-01;101,66;101,66;101,66;101,66;0;0,0;0,0
2019-05-02;101,67;101,67;101,67;101,67;0;0,0;0,01
2019-05-03;101,29;101,29;101,29;101,29;0;0,0;-0,37
2019-05-06;100,27;100,27;100,27;100,27;0;0,0;-1,01
2019-05-07;101,3;101,3;101,3;101,3;0;0,0;1,03
2019-05-08;101,04;101,04;101,04;101,04;0;0,0;-0,26
2019-05-09;100,78;100,78;100,78;100,78;0;0,0;-0,26
2019-05-10;100,83;100,83;100,83;100,83;0;0,0;0,05
2019-05-13;99,81;99,81;99,81;99,81;0;0,0;-1,01
2019-05-14;99,72;99,72;99,72;99,72;0;0,0;-0,09
2019-05-15;99,47;99,47;99,47;99,47;0;0,0;-0,25
2019-05-16;99,74;99,74;99,74;99,74;0;0,0;0,27
2019-05-17;99,22;99,22;99,22;99,22;0;0,0;-0,52
2019-05-20;98,71;98,71;98,71;98,71;0;0,0;-0,51
2019-05-21;99,03;99,03;99,03;99,03;0;0,0;0,32
2019-05-22;98,34;98,34;98,34;98,34;0;0,0;-0,7
2019-05-23;98,14;98,14;98,14;98,14;0;0,0;-0,2
2019-05-24;98,12;98,12;98,12;98,12;0;0,0;-0,02
2019-05-27;98,19;98,19;98,19;98,19;0;0,0;0,07
2019-05-28;98,04;98,04;98,04;98,04;0;0,0;-0,15
2019-05-29;97,99;97,99;97,99;97,99;0;0,0;-0,05
2019-05-30;98,11;98,11;98,11;98,11;0;0,0;0,12
2019-05-31;98,19;98,19;98,19;98,19;0;0,0;0,08
2019-06-03;97,77;97,77;97,77;97,77;0;0,0;-0,43
2019-06-05;97,67;97,67;97,67;97,67;0;0,0;-0,1
2019-06-06;97,37;97,37;97,37;97,37;0;0,0;-0,31
2019-06-07;98,0;98,0;98,0;98,0;0;0,0;0,65
2019-06-11;97,63;97,63;97,63;97,63;0;0,0;-0,38
2019-06-12;97,77;97,77;97,77;97,77;0;0,0;0,14
2019-06-13;97,27;97,27;97,27;97,27;0;0,0;-0,51
2019-06-14;97,34;97,34;97,34;97,34;0;0,0;0,07
2019-06-17;96,52;96,52;96,52;96,52;0;0,0;-0,84
2019-06-18;96,66;96,66;96,66;96,66;0;0,0;0,15
2019-06-19;96,41;96,41;96,41;96,41;0;0,0;-0,26
2019-06-20;96,26;96,26;96,26;96,26;0;0,0;-0,16
2019-06-21;96,38;96,38;96,38;96,38;0;0,0;0,12
2019-06-24;95,73;95,73;95,73;95,73;0;0,0;-0,67
2019-06-25;94,89;94,89;94,89;94,89;0;0,0;-0,88
2019-06-26;95,73;95,73;95,73;95,73;0;0,0;0,89
2019-06-27;96,13;96,13;96,13;96,13;0;0,0;0,42
2019-06-28;95,84;95,84;95,84;95,84;0;0,0;-0,3
2019-07-01;95,96;95,96;95,96;95,96;0;0,0;0,13
2019-07-02;95,75;95,75;95,75;95,75;0;0,0;-0,22
2019-07-03;96,07;96,07;96,07;96,07;0;0,0;0,33
2019-07-04;96,13;96,13;96,13;96,13;0;0,0;0,06
2019-07-05;96,1;96,1;96,1;96,1;0;0,0;-0,03
2019-07-08;95,83;95,83;95,83;95,83;0;0,0;-0,28
2019-07-09;95,93;95,93;95,93;95,93;0;0,0;0,1
2019-07-10;95,78;95,78;95,78;95,78;0;0,0;-0,16
2019-07-11;95,7;95,7;95,7;95,7;0;0,0;-0,08
2019-07-12;95,71;95,71;95,71;95,71;0;0,0;0,01
2019-07-15;95,52;95,52;95,52;95,52;0;0,0;-0,2
2019-07-16;95,31;95,31;95,31;95,31;0;0,0;-0,22
2019-07-17;94,9;94,9;94,9;94,9;0;0,0;-0,43
2019-07-18;95,26;95,26;95,26;95,26;0;0,0;0,38
2019-07-19;96,6;96,6;96,6;96,6;0;0,0;1,41
2019-07-22;96,08;96,08;96,08;96,08;0;0,0;-0,54
2019-07-23;95,41;95,41;95,41;95,41;0;0,0;-0,7
2019-07-24;95,61;95,61;95,61;95,61;0;0,0;0,21
2019-07-25;96,0;96,0;96,0;96,0;0;0,0;0,41
2019-07-26;95,81;95,81;95,81;95,81;0;0,0;-0,2
2019-07-29;95,89;95,89;95,89;95,89;0;0,0;0,08
2019-07-30;96,32;96,32;96,32;96,32;0;0,0;0,45
2019-07-31;96,98;96,98;96,98;96,98;0;0,0;0,69
2019-08-01;96,89;96,89;96,89;96,89;0;0,0;-0,09
2019-08-02;96,48;96,48;96,48;96,48;0;0,0;-0,42
2019-08-05;96,4;96,4;96,4;96,4;0;0,0;-0,08
2019-08-06;96,58;96,58;96,58;96,58;0;0,0;0,19
2019-08-07;96,58;96,58;96,58;96,58;0;0,0;0,0
2019-08-08;96,37;96,37;96,37;96,37;0;0,0;-0,22
2019-08-09;96,99;96,99;96,99;96,99;0;0,0;0,64
2019-08-12;96,99;96,99;96,99;96,99;0;0,0;0,0
2019-08-13;96,41;96,41;96,41;96,41;0;0,0;-0,6
2019-08-14;96,14;96,14;96,14;96,14;0;0,0;-0,28
2019-08-15;96,14;96,14;96,14;96,14;0;0,0;0,0
2019-08-16;95,81;95,81;95,81;95,81;0;0,0;-0,34
2019-08-19;95,78;95,78;95,78;95,78;0;0,0;-0,03
2019-08-20;95,0;95,0;95,0;95,0;0;0,0;-0,81
2019-08-21;94,84;94,84;94,84;94,84;0;0,0;-0,17
2019-08-22;95,06;95,06;95,06;95,06;0;0,0;0,23
2019-08-23;95,01;95,01;95,01;95,01;0;0,0;-0,05
2019-08-26;94,98;94,98;94,98;94,98;0;0,0;-0,03
2019-08-27;94,87;94,87;94,87;94,87;0;0,0;-0,12
2019-08-28;94,88;94,88;94,88;94,88;0;0,0;0,01
2019-08-29;94,82;94,82;94,82;94,82;0;0,0;-0,06
2019-08-30;94,56;94,56;94,56;94,56;0;0,0;-0,27
2019-09-02;92,96;92,96;92,96;92,96;0;0,0;-1,69
2019-09-03;93,41;93,41;93,41;93,41;0;0,0;0,48
2019-09-04;93,33;93,33;93,33;93,33;0;0,0;-0,09
2019-09-05;93,82;93,82;93,82;93,82;0;0,0;0,53
2019-09-06;93,34;93,34;93,34;93,34;0;0,0;-0,51
2019-09-09;92,91;92,91;92,91;92,91;0;0,0;-0,46
2019-09-10;92,39;92,39;92,39;92,39;0;0,0;-0,56
2019-09-11;91,98;91,98;91,98;91,98;0;0,0;-0,44
2019-09-12;91,7;91,7;91,7;91,7;0;0,0;-0,3
2019-09-13;91,92;91,92;91,92;91,92;0;0,0;0,24
2019-09-16;93,96;93,96;93,96;93,96;0;0,0;2,22
2019-09-17;93,33;93,33;93,33;93,33;0;0,0;-0,67
2019-09-18;92,5;92,5;92,5;92,5;0;0,0;-0,89
2019-09-19;92,08;92,08;92,08;92,08;0;0,0;-0,45
2019-09-20;92,35;92,35;92,35;92,35;0;0,0;0,29
2019-09-23;91,63;91,63;91,63;91,63;0;0,0;-0,78
2019-09-24;90,9;90,9;90,9;90,9;0;0,0;-0,8
2019-09-25;90,78;90,78;90,78;90,78;0;0,0;-0,13
2019-09-26;89,64;89,64;89,64;89,64;0;0,0;-1,26
2019-09-27;90,17;90,17;90,17;90,17;0;0,0;0,59
2019-09-30;89,89;89,89;89,89;89,89;0;0,0;-0,31
2019-10-01;89,58;89,58;89,58;89,58;0;0,0;-0,34
2019-10-02;89,11;89,11;89,11;89,11;0;0,0;-0,52
2019-10-03;89,67;89,67;89,67;89,67;0;0,0;0,63
2019-10-04;89,86;89,86;89,86;89,86;0;0,0;0,21
2019-10-07;89,26;89,26;89,26;89,26;0;0,0;-0,67
2019-10-08;88,49;88,49;88,49;88,49;0;0,0;-0,86
2019-10-09;87,91;87,91;87,91;87,91;0;0,0;-0,66
2019-10-10;88,27;88,27;88,27;88,27;0;0,0;0,41
2019-10-11;88,52;88,52;88,52;88,52;0;0,0;0,28
2019-10-14;88,51;88,51;88,51;88,51;0;0,0;-0,01
2019-10-15;88,66;88,66;88,66;88,66;0;0,0;0,17
2019-10-16;88,96;88,96;88,96;88,96;0;0,0;0,34
2019-10-17;88,3;88,3;88,3;88,3;0;0,0;-0,74
