Ticker;Type;Nb_Lignes;Date_Min;Date_Max;Dernier_Cours
ABJC.ci;Action;3590;2008-01-04;2026-06-18;3440,0
BICB.bj;Action;297;2025-04-28;2026-06-18;5850,0
BICC.ci;Action;3451;2008-01-03;2026-06-18;28445,0
BNBC.ci;Action;3077;2008-01-07;2026-06-18;2015,0
BOABF.bf;Action;3478;2011-01-03;2026-06-18;5395,0
BOAB.bj;Action;4090;2008-01-16;2026-06-18;8945,0
BOAC.ci;Action;3572;2010-04-12;2026-06-18;9055,0
BOAM.ml;Action;2559;2016-05-31;2026-06-18;4505,0
BOAN.ne;Action;3959;2008-01-02;2026-06-18;3705,0
BOAS.sn;Action;2949;2014-12-10;2026-06-18;7400,0
CABC.ci;Action;3166;2008-02-12;2026-06-18;3900,0
CBIBF.bf;Action;2319;2016-12-23;2026-06-18;22400,0
CFAC.ci;Action;3161;2008-01-02;2026-06-18;1765,0
CIEC.ci;Action;4292;2008-01-02;2026-06-18;4995,0
ECOC.ci;Action;2186;2017-12-12;2026-06-18;16500,0
ETIT.tg;Action;2983;2014-07-11;2026-06-18;34,0
FTSC.ci;Action;4160;2008-01-07;2026-06-18;2100,0
LNBB.bj;Action;392;2024-12-13;2026-06-18;4100,0
NEIC.ci;Action;2303;2008-06-09;2026-06-18;2300,0
NSBC.ci;Action;2164;2017-10-24;2026-06-18;19040,0
NTLC.ci;Action;3156;2008-01-08;2026-06-18;15095,0
ONTBF.bf;Action;3946;2009-04-30;2026-06-18;2750,0
ORAC.ci;Action;901;2022-12-30;2026-06-18;15900,0
ORGT.tg;Action;1726;2019-04-16;2026-06-18;2680,0
PALC.ci;Action;2889;2014-07-11;2026-06-18;8650,0
PRSC.ci;Action;2169;2008-01-11;2026-06-18;4740,0
SAFC.ci;Action;1371;2018-07-19;2026-06-18;4095,0
SCRC.ci;Action;2396;2016-12-29;2026-06-18;3000,0
SDCC.ci;Action;3685;2008-01-02;2026-06-18;11990,0
SDSC.ci;Action;3677;2008-01-02;2026-06-18;2310,0
SEMC.ci;Action;121;2025-11-07;2026-06-18;1560,0
SGBC.ci;Action;4173;2008-01-02;2026-06-18;39000,0
SHEC.ci;Action;3991;2008-01-02;2026-06-18;2100,0
SIBC.ci;Action;2470;2016-10-27;2026-06-18;8650,0
SICC.ci;Action;1630;2008-01-18;2026-06-18;4460,0
SIVC.ci;Action;3767;2008-01-02;2026-06-18;2795,0
SLBC.ci;Action;2398;2008-01-03;2026-06-18;39000,0
SMBC.ci;Action;3146;2008-01-03;2026-06-18;15850,0
SNTS.sn;Action;4652;2008-01-02;2026-06-18;28000,0
SOGC.ci;Action;4131;2008-01-04;2026-06-18;8300,0
SPHC.ci;Action;4295;2008-01-03;2026-06-18;7575,0
STAC.ci;Action;2224;2008-05-02;2026-06-18;3500,0
STBC.ci;Action;3299;2008-01-02;2026-06-18;22450,0
TTLC.ci;Action;3670;2008-01-03;2026-06-18;2845,0
TTLS.sn;Action;2751;2015-02-20;2026-06-18;3495,0
UNLC.ci;Action;1765;2010-08-09;2026-06-18;57000,0
UNXC.ci;Action;3388;2008-01-04;2026-06-18;1950,0
BRVM30;Indice;902;2023-01-01;2026-06-18;204,94
BRVMC;Indice;4709;2008-01-02;2026-06-18;438,68
BRVMPA;Indice;899;2023-01-04;2026-06-18;315,46
BRVMPR;Indice;902;2023-01-01;2026-06-18;170,7
BRVM.CB;Indice;378;2025-01-02;2026-06-18;280,76
BRVM.CD;Indice;378;2025-01-02;2026-06-18;210,2
BRVM.EN;Indice;378;2025-01-02;2026-06-18;154,67
BRVM.IN;Indice;378;2025-01-02;2026-06-18;216,23
BRVM.SF;Indice;378;2025-01-02;2026-06-18;200,81
BRVM.TEL;Indice;378;2025-01-02;2026-06-18;103,66
CAPIBRVM;Indice;1665;2020-01-02;2026-06-18;16901281,0
SIKAIDX;Indice;2394;2017-01-02;2026-06-18;133,16
SIKATR;Indice;1873;2019-03-31;2026-06-18;466,14
